RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,Season
12,Marina MabreyTOR,G,14,27.7,17.9,5.9,14.0,42.3,2.9,8.3,35.3,3.1,3.6,88.0,3.4,3.4,1.2,0.4,2.7,0,0,2026
13,Natasha HowardMIN,F,14,28.6,17.8,7.4,11.5,64.6,0.1,0.4,20.0,2.9,4.5,63.5,7.4,3.0,1.8,0.7,3.4,3,0,2026
14,Aliyah BostonIND,C,12,26.3,17.0,6.1,12.3,49.3,1.1,2.6,41.9,3.8,4.5,83.3,8.4,2.7,1.1,1.2,2.8,4,0,2026
15,Courtney WilliamsMIN,G,14,30.2,16.9,7.5,15.1,49.5,1.4,3.4,41.7,0.5,0.6,77.8,5.5,4.1,1.3,0.4,1.9,0,0,2026
16,Sonia CitronWSH,G,11,33.2,16.6,5.1,10.5,48.3,1.3,4.1,31.1,5.2,6.1,85.1,3.1,3.3,1.3,0.5,2.3,0,0,2026
17,Gabby WilliamsGS,F,14,26.6,15.7,5.4,13.1,41.5,2.1,5.4,38.2,2.8,3.5,79.6,3.7,2.4,1.6,0.2,1.6,0,0,2026
18,Nneka OgwumikeLA,F,13,32.3,15.6,5.8,11.3,51.7,1.5,3.2,45.2,2.5,3.0,82.1,9.0,2.2,1.1,0.5,1.4,6,0,2026
19,Skylar DigginsCHI,G,12,29.9,15.2,4.8,12.3,39.5,1.3,3.5,38.1,4.2,5.3,78.1,3.6,4.3,0.9,0.7,1.6,1,0,2026
20,Arike OgunbowaleDAL,G,14,29.7,15.0,4.6,13.2,34.6,2.1,6.1,34.9,3.7,4.3,86.7,3.2,3.2,0.9,0.1,1.6,0,0,2026
21,Natisha HiedemanSEA,G,15,27.3,14.7,5.1,11.9,43.0,2.2,5.9,37.1,2.3,2.7,85.0,2.5,4.2,1.1,0.2,2.1,0,0,2026
22,Jackie YoungLV,G,14,31.4,14.7,5.6,13.8,40.9,1.8,5.1,34.7,1.6,1.8,92.0,4.8,6.7,0.7,0.4,2.1,2,0,2026
23,Angel ReeseATL,F,13,30.6,14.6,5.0,12.0,41.7,0.2,1.3,11.8,4.5,5.9,75.3,12.3,3.0,1.4,0.9,3.8,9,0,2026
24,Kiki IriafenWSH,F,10,25.7,14.6,5.3,9.8,54.1,0.5,1.4,35.7,3.5,5.2,67.3,8.9,1.6,0.6,0.4,1.6,4,0,2026
25,Alyssa ThomasPHX,F,14,33.6,14.5,5.2,10.6,49.0,0.0,0.0,0.0,4.1,5.9,68.7,7.2,8.1,1.6,0.2,3.6,4,0,2026
27,Chennedy CarterLV,G,10,17.8,14.4,5.6,9.1,61.5,1.0,1.9,52.6,2.2,3.0,73.3,2.0,1.4,1.0,0.3,1.5,0,0,2026
28,Kayla McBrideMIN,G,14,30.6,14.2,4.6,11.2,40.8,1.8,5.3,33.8,3.3,3.7,88.5,4.2,2.8,1.6,0.2,1.4,0,0,2026
30,Dearica HambyLA,F,14,29.5,13.9,4.9,9.6,51.5,0.3,1.1,25.0,3.8,5.1,73.6,8.0,2.4,1.3,0.3,1.4,1,0,2026
31,Jonquel JonesNY,C,13,28.8,13.8,4.5,9.8,45.3,1.7,4.3,39.3,3.2,3.8,85.7,9.2,2.8,0.8,1.3,2.2,4,0,2026
32,Janelle SalaunGS,F,14,24.4,13.8,4.4,10.7,40.7,2.7,6.9,39.6,2.4,2.9,80.5,4.1,1.4,0.7,0.1,0.7,0,0,2026
33,Jessica ShepardDAL,F,14,31.6,13.7,5.5,9.3,59.2,0.0,0.4,0.0,2.7,3.9,69.1,11.6,5.7,0.8,0.0,1.6,9,2,2026
35,Bridget CarletonPOR,F,15,29.3,13.1,4.3,10.7,40.4,2.3,6.5,36.1,2.1,2.3,91.2,3.3,1.9,1.6,0.3,1.3,0,0,2026
36,Azzi FuddDAL,G,13,27.9,12.9,5.3,10.1,52.7,1.7,4.4,38.6,0.6,0.7,88.9,1.5,1.5,1.2,1.0,0.8,0,0,2026
37,Kiki RiceTOR,G,10,26.7,12.7,4.0,7.5,53.3,0.9,2.3,39.1,3.8,4.5,84.4,4.7,2.6,1.0,0.1,1.3,0,0,2026
38,Nyara SaballyTOR,F,10,26.0,12.4,4.5,8.0,56.3,0.5,1.5,33.3,2.9,3.7,78.4,5.4,1.9,1.2,1.1,1.0,0,0,2026
39,Chelsea GrayLV,G,14,32.7,12.4,4.4,10.0,44.3,2.4,5.4,44.0,1.1,1.2,94.1,4.1,7.0,1.1,0.5,3.3,2,0,2026
40,Kamilla CardosoCHI,C,13,26.9,12.1,4.6,8.8,52.2,0.0,0.0,0.0,2.8,3.9,72.5,8.6,2.5,0.3,1.8,1.6,5,0,2026
41,Aneesah MorrowCON,F,13,25.5,12.0,4.7,11.8,39.9,1.1,3.8,28.0,1.5,2.5,62.5,10.5,1.5,0.8,0.5,1.9,7,0,2026
42,Marine JohannesNY,G,14,26.1,11.6,3.9,8.4,47.0,2.8,6.4,43.3,0.9,1.1,86.7,2.9,3.2,1.0,0.1,2.0,0,0,2026
43,Flau'jae JohnsonSEA,G,15,26.7,11.5,3.6,10.9,32.9,1.1,4.3,26.6,3.2,3.8,84.2,5.3,2.5,0.8,1.0,2.1,2,0,2026
44,Megan GustafsonPOR,C,16,19.6,11.4,4.6,7.9,57.9,0.8,2.4,34.2,1.4,1.8,82.1,3.8,0.7,0.1,0.5,0.4,1,0,2026
45,Pauline AstierNY,G,14,25.7,11.3,4.2,7.4,56.7,0.8,1.7,45.8,2.1,2.7,76.3,3.4,3.9,0.6,0.3,1.6,0,0,2026
46,NaLyssa SmithLV,F,14,23.2,11.2,4.6,6.7,68.1,0.1,0.2,33.3,2.0,3.9,50.9,7.0,0.9,0.4,0.6,1.1,1,0,2026
47,Jordin CanadaATL,G,13,30.1,10.6,3.8,8.3,45.4,0.8,2.7,31.4,2.2,2.8,78.4,3.5,6.8,2.0,0.1,2.3,2,0,2026
48,Rae BurrellLA,G,14,26.4,10.6,3.6,8.4,43.2,1.1,3.6,32.0,2.1,2.6,81.1,2.4,1.5,0.5,0.7,1.8,0,0,2026
49,Jovana NogicPHX,G,15,20.1,10.3,3.1,7.5,41.1,1.9,4.7,40.0,2.3,2.5,89.5,1.1,1.7,0.6,0.0,1.4,0,0,2026
50,Sarah Ashlee BarkerPOR,G,16,23.8,10.2,3.9,7.7,51.2,1.5,3.3,45.3,0.8,1.1,72.2,4.1,2.5,0.9,0.3,2.3,0,0,2026
51,Natasha MackPHX,F,15,25.7,10.1,4.3,6.3,67.4,0.1,0.3,50.0,1.5,1.9,78.6,8.3,1.6,1.0,1.5,0.9,4,0,2026
52,Natasha CloudCHI,G,12,28.6,9.9,3.3,7.3,45.5,0.8,2.8,30.3,2.4,3.1,78.4,3.8,4.3,0.9,0.5,2.9,0,0,2026
53,Sydney TaylorCHI,G,11,13.5,9.5,3.2,7.8,40.7,1.1,4.5,24.5,2.0,2.4,84.6,1.0,1.1,0.6,0.3,1.3,0,0,2026
54,Cameron BrinkLA,F,14,17.5,9.2,3.1,5.7,53.8,0.8,2.3,34.4,2.3,3.0,76.2,4.4,1.1,0.6,1.5,2.5,0,0,2026
55,Emily EngstlerPOR,F,16,23.1,9.2,3.4,7.3,46.2,1.0,2.7,37.2,1.4,1.9,74.2,4.6,1.3,1.4,2.0,2.1,1,0,2026
56,Kayla ThorntonGS,F,14,26.5,9.1,3.0,8.2,36.5,1.6,4.6,33.8,1.6,1.7,91.7,5.1,0.6,1.0,0.4,0.7,0,0,2026
57,Jade MelbourneSEA,G,15,23.1,8.9,2.6,6.1,42.4,0.5,1.8,29.6,3.2,3.9,81.4,2.0,3.4,1.0,0.3,1.7,0,0,2026
58,Naz HillmonATL,F,13,31.8,8.9,3.5,8.4,42.2,1.0,4.2,23.6,0.8,1.2,68.8,5.2,1.5,0.8,0.1,1.0,0,0,2026
59,Sophie CunninghamIND,G,12,22.5,8.9,2.9,6.1,47.9,1.4,3.8,37.0,1.7,1.9,87.0,2.4,1.6,0.6,0.1,0.8,0,0,2026
60,Ariel AtkinsLA,G,12,26.3,8.8,3.1,9.2,33.6,1.1,4.4,24.5,1.6,1.7,95.0,3.1,2.3,1.8,0.3,1.8,0,0,2026
61,Diamond MillerCON,F,15,21.5,8.8,2.8,8.3,33.6,0.9,3.3,26.5,2.3,2.8,83.3,2.2,1.1,0.7,0.1,1.3,0,0,2026
62,Nia CoffeyMIN,F,14,26.4,8.7,3.4,6.9,50.0,1.8,4.1,43.9,0.1,0.2,33.3,5.9,2.1,0.9,1.4,0.9,1,0,2026
63,Laura JuskaiteTOR,F,14,22.4,8.6,2.7,6.2,43.7,0.9,2.6,36.1,2.3,2.6,88.9,3.5,1.4,1.3,0.1,1.2,0,0,2026
64,DeWanna BonnerPHX,F,15,25.6,8.5,2.9,8.3,35.5,0.9,4.2,20.6,1.7,1.9,92.9,4.6,1.1,1.0,0.7,0.9,0,0,2026
65,Zia CookeSEA,G,15,15.3,8.0,2.7,7.9,33.6,1.0,2.9,34.1,1.7,2.1,78.1,1.9,1.0,0.4,0.0,1.4,0,0,2026
66,Saniya RiversCON,G,15,25.5,7.9,3.1,8.8,34.8,0.5,2.3,20.0,1.3,2.0,63.3,2.5,3.7,1.0,0.9,1.8,0,0,2026
67,Jewell LoydLV,G,12,27.3,7.8,2.8,7.6,36.3,1.7,5.3,31.3,0.6,0.9,63.6,2.6,1.6,1.0,0.3,0.9,0,0,2026
68,Tiffany HayesGS,G,12,15.1,7.7,2.4,5.3,45.3,0.4,1.5,27.8,2.4,2.8,85.3,1.6,2.3,0.5,0.0,1.1,0,0,2026
69,Jacy SheldonCHI,G,13,25.5,7.6,2.8,5.8,48.0,1.0,2.8,36.1,1.1,1.1,100.0,1.5,2.2,1.1,0.5,1.2,0,0,2026
