Player,2022 Salary,2022 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Aerial Powers  A Powers,"$196,267",UFA,35,31,27.0,14.4,4.9,12.6,38.5%,3.9,9.5,41.0%,0.9,3.1,30.8%,3.8,4.6,81.5%,1.3,3.4,4.7,2.9,2.6,1.2,0.3,1.8
Sylvia Fowles  S Fowles,"$200,000",UFA,30,30,27.7,14.4,6.1,9.9,62.2%,6.1,9.9,62.2%,0.0,0.0,--,2.1,3.2,66.0%,2.5,7.3,9.8,1.2,2.1,1.0,1.2,2.4
Brionna Jones  B Jones,"$120,000",RFA,36,7,25.1,13.8,5.2,9.1,56.9%,5.2,8.9,57.9%,0.0,0.2,0.0%,3.4,4.1,84.4%,2.6,2.5,5.1,1.2,1.5,1.2,0.4,2.6
Chelsea Gray  C Gray,"$206,267",UFA,35,35,29.7,13.7,5.2,10.7,49.1%,4.3,7.8,54.6%,1.0,2.9,34.0%,2.3,2.5,91.0%,0.3,2.9,3.2,6.1,2.3,1.6,0.3,1.5
Marina Mabrey  M Mabrey,"$72,141",--,34,32,28.0,13.6,5.2,12.5,42.0%,3.4,7.4,46.8%,1.8,5.1,35.1%,1.4,2.0,68.1%,0.6,3.1,3.6,3.7,2.4,0.8,0.4,2.5
NaLyssa Smith  N Smith,"$72,141",Rookie,32,32,30.7,13.5,5.0,11.9,41.9%,3.8,8.9,43.2%,1.2,3.0,38.1%,2.4,3.8,61.8%,2.2,5.7,7.9,1.4,2.4,0.5,0.3,2.9
DeWanna Bonner  D Bonner,"$227,900",--,33,33,30.0,13.5,4.7,10.8,43.9%,3.3,6.5,51.2%,1.4,4.2,32.9%,2.6,3.2,82.7%,0.8,4.0,4.7,2.8,1.6,1.2,0.3,1.8
Alyssa Thomas  A Thomas,"$206,000",UFA,36,36,32.1,13.4,5.2,10.4,50.0%,5.2,10.4,50.3%,0.0,0.1,0.0%,3.0,4.1,73.0%,2.1,6.1,8.2,6.1,2.9,1.7,0.2,2.8
Allisha Gray  A Gray,"$164,800",RFA,33,33,32.9,13.3,4.4,10.5,42.3%,2.5,5.7,43.6%,1.9,4.8,40.8%,2.5,3.2,79.8%,0.9,3.9,4.8,2.5,1.3,1.1,0.7,2.4
Kayla McBride  K McBride,"$196,267",UFA,31,31,29.8,13.3,4.4,10.9,40.5%,2.9,6.6,43.7%,1.5,4.3,35.6%,2.9,3.2,90.9%,0.5,2.3,2.8,2.1,1.5,1.0,0.1,1.4
Candace Parker  C Parker,"$195,000",UFA,32,32,28.2,13.2,5.0,10.8,45.8%,3.7,6.6,55.2%,1.3,4.2,31.1%,1.9,2.4,81.6%,0.9,7.7,8.6,4.5,2.4,1.0,1.0,2.2
Diamond DeShields  D DeShields,"$150,000",RFA,30,19,25.3,13.1,4.7,12.2,38.8%,4.0,9.2,43.7%,0.7,3.0,23.6%,2.9,3.8,76.5%,0.6,3.2,3.8,2.2,2.3,1.0,0.5,3.3
Liz Cambage  L Cambage,"$141,386",UFA,25,24,23.4,13.0,4.7,9.2,50.9%,4.5,8.6,52.3%,0.2,0.6,28.6%,3.5,4.4,78.4%,1.3,5.1,6.4,2.1,2.3,0.7,1.6,3.2
Brittney Sykes  B Sykes,"$113,300",RFA,32,24,28.8,12.7,4.8,11.0,43.3%,4.3,9.3,46.2%,0.4,1.6,26.9%,2.7,3.5,77.0%,0.7,2.9,3.7,3.7,2.6,2.0,0.7,2.6
Sophie Cunningham  S Cunningham,"$75,000",UFA,28,20,29.5,12.6,4.3,9.5,44.9%,1.8,3.3,54.3%,2.5,6.3,40.0%,1.5,1.7,87.5%,0.7,3.7,4.4,1.6,1.0,1.0,0.4,3.4
Emma Meesseman  E Meesseman,"$185,000",UFA,36,36,28.6,12.4,5.4,9.4,57.1%,5.0,8.4,59.9%,0.4,1.1,34.2%,1.3,1.5,88.7%,1.7,3.8,5.5,3.8,1.4,1.4,0.8,2.5
Cheyenne Parker-Tyus  C Parker-Tyus,"$190,550",UFA,36,35,26.2,11.8,4.9,9.8,50.0%,4.6,8.3,55.2%,0.3,1.5,21.8%,1.7,2.2,79.5%,1.6,4.5,6.2,2.0,2.0,1.0,0.9,2.7
Courtney Vandersloot  C Vandersloot,"$195,000",UFA,32,32,26.5,11.8,4.3,8.8,48.1%,3.3,6.4,52.5%,0.9,2.5,36.7%,2.3,3.1,76.5%,0.7,3.2,3.9,6.5,2.7,1.2,0.5,1.7
Allie Quigley  A Quigley,"$135,000",UFA,34,34,26.3,11.4,3.8,8.9,42.8%,2.4,4.8,49.1%,1.5,4.1,35.5%,2.2,2.4,95.0%,0.5,2.0,2.5,2.9,1.3,0.7,0.2,1.5
Satou Sabally  S Sabally,"$76,297",--,11,6,21.7,11.3,3.7,9.4,39.8%,2.8,5.5,51.7%,0.9,3.9,23.3%,2.9,3.2,91.4%,0.8,4.0,4.8,2.1,2.3,0.5,0.2,3.2
Betnijah Laney-Hamilton  B Laney-Hamilton,"$196,267",UFA,9,6,28.3,11.2,4.2,10.0,42.2%,3.0,6.8,44.3%,1.2,3.2,37.9%,1.6,1.8,87.5%,0.1,3.2,3.3,2.8,2.7,0.4,0.1,2.7
Courtney Williams  C Williams,"$103,000",UFA,34,34,28.0,11.1,4.9,11.4,42.6%,4.2,9.5,44.4%,0.6,1.9,33.8%,0.8,1.1,75.0%,0.9,3.7,4.6,3.3,1.7,1.0,0.4,1.6
Aari McDonald  A McDonald,"$71,441",Rookie,36,6,24.3,11.1,3.6,8.9,41.1%,2.3,4.9,46.9%,1.3,3.9,33.8%,2.4,2.8,87.1%,0.4,1.8,2.3,2.6,2.2,1.5,0.0,2.2
Teaira McCowan  T McCowan,"$72,141",--,33,15,18.9,11.0,4.2,7.0,60.2%,4.2,7.0,60.2%,0.0,0.0,--,2.5,4.2,60.0%,3.0,4.1,7.0,0.8,1.7,0.3,0.7,3.1
Maya Caldwell  M Caldwell,"$4,490",Hardship,9,7,23.7,10.9,4.2,8.2,51.4%,2.2,4.7,47.6%,2.0,3.6,56.3%,0.4,0.6,80.0%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Maya Caldwell  M Caldwell,"$3,143",Hardship,9,7,23.7,10.9,4.2,8.2,51.4%,2.2,4.7,47.6%,2.0,3.6,56.3%,0.4,0.6,80.0%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Maya Caldwell  M Caldwell,"$1,796",Hardship,9,7,23.7,10.9,4.2,8.2,51.4%,2.2,4.7,47.6%,2.0,3.6,56.3%,0.4,0.6,80.0%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Natasha Cloud  N Cloud,"$185,000",SuspCE,34,34,31.3,10.7,3.6,9.1,39.9%,2.4,5.1,46.2%,1.3,4.0,31.9%,2.2,2.7,82.4%,0.5,3.1,3.6,7.0,2.8,1.0,0.3,1.6
Azurá Stevens  A Stevens,"$140,000",--,35,8,21.9,10.6,4.3,9.1,47.2%,3.1,5.8,53.5%,1.2,3.3,36.2%,0.8,1.1,74.4%,0.6,3.3,3.9,0.8,0.7,0.5,1.1,1.7
Moriah Jefferson  M Jefferson,"$170,953",--,31,30,26.1,10.4,3.8,8.4,45.2%,2.6,5.9,44.3%,1.2,2.5,47.4%,1.7,2.1,81.5%,0.4,2.1,2.4,4.7,2.2,1.2,0.1,2.2
Moriah Jefferson  M Jefferson,"$67,141",UFA,31,30,26.1,10.4,3.8,8.4,45.2%,2.6,5.9,44.3%,1.2,2.5,47.4%,1.7,2.1,81.5%,0.4,2.1,2.4,4.7,2.2,1.2,0.1,2.2
Marine Johannes  M Johannes,"$40,713",ROS,24,10,25.5,10.0,3.5,7.5,46.4%,1.2,2.2,52.8%,2.3,5.3,43.7%,0.8,1.0,87.0%,0.2,1.5,1.7,3.4,1.8,0.6,0.1,1.6
Shey Peddy  S Peddy,"$72,141",Reserved,34,24,28.7,9.9,3.4,8.2,41.8%,2.0,3.9,51.5%,1.4,4.3,32.9%,1.6,1.9,88.9%,1.3,2.4,3.8,3.4,1.4,1.6,0.2,1.8
Victoria Vivians  V Vivians,"$72,141",Reserved,35,30,26.9,9.8,3.6,10.7,33.6%,2.3,6.2,37.6%,1.3,4.5,28.0%,1.3,1.8,74.2%,0.7,2.9,3.6,2.4,2.1,1.1,0.3,2.4
Katie Lou Samuelson  K Samuelson,"$72,141",--,32,29,29.5,9.7,3.3,9.0,37.3%,1.6,4.0,39.8%,1.8,5.0,35.2%,1.3,1.5,83.7%,0.5,2.4,3.0,1.9,1.1,1.0,0.2,1.6
Ezi Magbegor  E Magbegor,"$60,471",--,33,23,24.7,9.5,4.0,7.3,55.0%,3.7,6.5,57.7%,0.3,0.9,34.5%,1.2,1.6,73.6%,1.6,4.0,5.6,1.4,1.4,0.9,1.8,2.9
Dearica Hamby  D Hamby,"$152,800",--,34,32,26.5,9.3,3.4,7.3,46.6%,2.9,5.2,56.8%,0.5,2.1,21.9%,2.0,2.7,72.0%,1.4,5.6,7.1,1.1,1.5,1.1,0.1,2.0
Jordin Canada  J Canada,"$98,000",UFA,32,25,27.0,9.2,3.3,8.5,38.4%,3.0,6.9,43.9%,0.2,1.6,14.0%,2.5,3.1,80.6%,0.2,2.1,2.3,5.5,2.3,1.4,0.2,1.8
Natisha Hiedeman  N Hiedeman,"$72,141",Reserved,36,31,25.0,9.1,3.3,7.6,43.1%,1.4,2.9,46.2%,1.9,4.7,41.1%,0.7,0.8,80.0%,0.2,1.6,1.8,3.3,1.3,1.2,0.1,1.8
Myisha Hines-Allen  M Hines-Allen,"$170,000",RFA,34,15,19.3,8.9,3.4,8.1,41.5%,2.5,5.8,43.4%,0.9,2.3,36.7%,1.3,1.9,70.3%,1.1,4.2,5.3,1.9,1.7,0.8,0.3,1.6
Chennedy Carter  C Carter,"$76,297",--,24,2,16.4,8.9,3.5,7.9,45.0%,3.5,7.5,46.4%,0.1,0.4,20.0%,1.7,2.3,74.5%,0.4,1.5,1.9,1.9,1.8,0.6,0.4,2.2
