Player,2021 Salary,2021 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Kahleah Copper  K Copper,"$165,000",--,32,32,30.8,14.4,5.4,11.8,45.9%,4.6,9.1,50.3%,0.8,2.7,30.6%,2.8,3.4,81.8%,1.2,3.0,4.2,1.8,1.9,0.8,0.3,3.0
Diana Taurasi  D Taurasi,"$221,450",UFA,17,16,26.7,14.3,4.1,11.3,36.5%,1.7,4.2,40.8%,2.4,7.1,33.9%,3.6,4.2,86.1%,0.2,4.0,4.2,4.6,2.8,0.2,0.5,2.2
Liz Cambage  L Cambage,"$221,450",Core,25,24,23.8,14.2,5.6,10.3,54.3%,5.4,9.8,55.3%,0.2,0.6,35.7%,2.8,4.0,71.0%,1.6,6.7,8.2,1.3,1.8,0.9,1.6,3.0
Chennedy Carter  C Carter,"$69,360",--,11,11,25.5,14.2,5.5,12.0,45.5%,5.4,11.2,48.0%,0.1,0.8,11.1%,3.2,3.6,87.5%,0.5,0.8,1.3,3.3,2.1,0.7,0.4,3.0
Kayla McBride  K McBride,"$190,550",UFA,32,32,31.6,13.7,4.5,10.3,43.3%,2.6,5.3,48.5%,1.9,5.0,37.9%,2.8,3.1,91.0%,0.3,3.3,3.6,2.3,1.1,0.8,0.2,1.8
Elena Delle Donne  E Delle Donne,"$221,450",--,3,3,17.4,13.7,4.3,9.0,48.1%,3.3,7.3,45.5%,1.0,1.7,60.0%,4.0,4.0,100.0%,1.0,3.3,4.3,0.7,0.7,0.0,0.3,0.7
Erica Wheeler  E Wheeler,"$180,000",UFA,32,32,30.2,13.6,5.0,12.0,41.7%,4.0,9.1,43.6%,1.0,2.9,35.5%,2.5,3.1,82.7%,0.5,2.6,3.1,4.8,2.7,1.3,0.3,2.7
Aerial Powers  A Powers,"$190,550",UFA,14,7,22.0,13.4,4.4,10.2,42.7%,3.6,7.7,46.3%,0.8,2.5,31.4%,3.9,4.3,91.7%,0.9,2.7,3.6,2.1,2.9,0.4,0.4,2.1
Candace Parker  C Parker,"$190,000",UFA,23,23,26.8,13.3,5.0,11.0,45.8%,4.0,7.8,51.1%,1.0,3.2,32.9%,2.2,2.7,79.4%,1.4,7.0,8.4,4.0,2.4,0.8,1.1,1.6
Marina Mabrey  M Mabrey,"$58,710",--,32,8,24.2,13.3,4.9,12.2,40.5%,3.0,6.4,46.1%,2.0,5.8,34.2%,1.4,1.6,88.2%,0.7,3.2,3.9,2.9,2.1,1.0,0.3,2.5
Allie Quigley  A Quigley,"$194,000",--,26,11,24.4,13.2,4.7,10.4,44.8%,2.6,5.8,44.4%,2.1,4.6,45.4%,1.8,1.9,95.9%,0.7,2.0,2.7,2.3,1.2,0.5,0.3,1.4
Myisha Hines-Allen  M Hines-Allen,"$70,040",--,19,17,24.3,12.2,4.7,11.3,41.4%,4.0,9.2,43.7%,0.7,2.2,31.7%,2.2,2.9,73.2%,1.7,4.9,6.6,2.4,1.7,1.3,0.6,2.4
Jackie Young  J Young,"$60,069",--,32,32,31.8,12.2,4.8,9.6,50.7%,4.7,8.9,52.4%,0.2,0.6,25.0%,2.3,2.8,83.3%,0.6,3.4,4.1,3.2,1.5,1.1,0.3,1.8
Tiffany Mitchell  T Mitchell,"$144,200",--,28,25,27.3,12.0,3.8,9.1,42.1%,3.4,7.4,45.9%,0.4,1.7,25.5%,3.9,4.5,88.0%,0.9,2.0,2.9,2.0,1.9,0.6,0.0,1.9
Satou Sabally  S Sabally,"$69,360",--,17,14,24.9,11.9,4.1,9.7,41.8%,3.0,6.5,46.4%,1.1,3.2,32.7%,2.8,3.6,77.0%,1.6,4.3,5.9,2.8,2.3,0.2,0.8,3.2
Allisha Gray  A Gray,"$160,000",RFA,25,16,27.8,11.9,4.2,9.7,43.8%,3.0,6.4,47.5%,1.2,3.3,36.6%,2.2,2.6,86.2%,1.3,3.9,5.2,1.7,1.4,1.0,0.8,2.1
Sabrina Ionescu  S Ionescu,"$69,360",--,30,26,30.0,11.7,3.8,9.9,37.9%,2.0,4.4,44.7%,1.8,5.5,32.5%,2.4,2.6,91.1%,0.7,5.0,5.7,6.1,3.2,0.6,0.5,1.8
Sami Whitcomb  S Whitcomb,"$150,350",RFA,30,28,28.1,11.7,4.1,8.7,47.3%,1.6,2.8,57.8%,2.5,6.0,42.5%,0.9,1.1,81.8%,0.3,4.7,5.0,2.7,2.1,1.0,0.3,1.8
Dearica Hamby  D Hamby,"$152,300",--,29,0,24.5,11.6,4.4,8.0,54.5%,4.1,6.8,59.9%,0.3,1.2,25.0%,2.6,3.9,65.5%,1.1,5.5,6.7,1.7,1.5,1.1,0.1,2.0
Diamond DeShields  D DeShields,"$70,040",--,32,22,26.9,11.3,3.8,9.8,39.3%,3.1,7.3,42.5%,0.8,2.5,30.0%,2.8,3.5,82.0%,0.4,3.1,3.5,2.3,1.9,1.2,0.4,3.2
Teaira McCowan  T McCowan,"$60,069",--,32,23,26.5,11.3,4.3,8.0,53.7%,4.3,8.0,53.7%,0.0,0.0,--,2.7,4.1,64.4%,3.4,6.2,9.6,1.1,1.7,0.6,1.6,3.3
Chelsea Gray  C Gray,"$190,550",UFA,32,32,28.9,11.1,4.6,10.2,45.4%,3.8,8.0,47.5%,0.8,2.2,38.0%,1.0,1.1,88.9%,0.5,2.4,2.9,5.9,2.8,1.2,0.3,1.3
Isabelle Harrison  I Harrison,"$154,500",--,28,5,23.7,10.9,4.6,8.6,53.8%,4.6,8.5,54.0%,0.0,0.0,0.0%,1.7,2.1,78.3%,1.6,4.3,5.9,1.1,1.5,1.1,0.7,2.5
Jasmine Thomas  J Thomas,"$185,000",UFA,30,30,29.6,10.6,3.8,9.8,38.6%,2.4,6.3,37.8%,1.4,3.5,40.0%,1.6,1.9,87.5%,0.4,2.0,2.4,4.1,2.2,1.3,0.2,1.8
Riquna Williams  R Williams,"$91,250",UFA,32,32,26.0,10.5,3.6,8.0,44.4%,1.6,3.3,48.1%,2.0,4.7,41.7%,1.4,1.6,92.0%,0.2,2.4,2.6,1.6,0.7,0.8,0.3,1.5
Courtney Vandersloot  C Vandersloot,"$200,000",--,32,32,30.5,10.5,4.0,9.3,43.3%,2.9,6.1,47.9%,1.1,3.3,34.6%,1.3,1.5,85.7%,0.5,2.9,3.4,8.6,3.0,1.7,0.4,2.1
Cheyenne Parker-Tyus  C Parker-Tyus,"$185,000",UFA,13,11,20.8,10.2,3.8,8.5,45.5%,3.1,6.2,50.0%,0.8,2.3,33.3%,1.7,2.2,78.6%,1.0,3.5,4.5,1.2,1.3,1.2,0.9,2.2
Sue Bird  S Bird,"$221,450",UFA,30,30,27.7,10.0,3.5,8.2,43.1%,1.3,2.9,45.3%,2.2,5.3,41.9%,0.7,0.8,83.3%,0.3,2.3,2.6,5.3,1.6,0.9,0.1,1.0
Layshia Clarendon  L Clarendon,"$33,914",ROS,22,20,24.7,9.9,4.2,8.1,51.7%,4.0,7.5,53.0%,0.2,0.6,35.7%,1.3,1.7,78.4%,0.5,2.4,3.0,5.4,3.0,0.6,0.0,2.7
Layshia Clarendon  L Clarendon,"$17,694",Hardship,22,20,24.7,9.9,4.2,8.1,51.7%,4.0,7.5,53.0%,0.2,0.6,35.7%,1.3,1.7,78.4%,0.5,2.4,3.0,5.4,3.0,0.6,0.0,2.7
Layshia Clarendon  L Clarendon,"$120,000",--,22,20,24.7,9.9,4.2,8.1,51.7%,4.0,7.5,53.0%,0.2,0.6,35.7%,1.3,1.7,78.4%,0.5,2.4,3.0,5.4,3.0,0.6,0.0,2.7
Danielle Robinson  D Robinson,"$155,000",UFA,24,24,27.5,9.9,3.7,8.8,41.7%,3.5,7.8,44.6%,0.2,1.0,20.0%,2.3,2.6,88.9%,0.3,3.2,3.5,3.7,1.8,1.6,0.1,2.1
Kia Nurse  K Nurse,"$70,040",--,32,32,26.1,9.5,3.1,8.5,35.9%,1.2,3.3,36.8%,1.8,5.2,35.3%,1.5,1.9,79.0%,0.4,3.1,3.5,1.8,1.5,0.5,0.1,2.3
Brittney Sykes  B Sykes,"$110,000",RFA,32,20,29.4,9.4,3.6,8.9,40.5%,3.3,7.6,43.0%,0.3,1.3,26.2%,1.9,2.5,77.2%,1.2,3.4,4.6,2.2,1.4,1.8,0.5,2.5
Kristi Toliver  K Toliver,"$190,550",--,19,19,27.6,9.4,3.5,8.5,41.4%,2.1,4.2,49.4%,1.5,4.4,33.7%,0.8,1.0,84.2%,0.5,1.0,1.5,2.9,1.7,0.7,0.0,1.9
Amanda Zahui B.  A Zahui B.,"$135,000",UFA,30,27,23.8,9.2,3.5,8.2,42.9%,2.5,4.7,54.3%,1.0,3.6,28.0%,1.1,1.4,76.7%,0.8,4.3,5.1,1.0,1.8,0.6,1.2,3.3
Rebecca Allen  R Allen,"$105,037",SuspCE,25,13,24.6,9.2,3.0,8.6,34.3%,1.0,3.6,28.9%,1.9,5.0,38.1%,1.3,1.5,89.2%,0.8,2.9,3.7,1.1,0.8,1.6,1.2,2.2
Te'a Cooper  T Cooper,"$58,710",Reserved,31,13,22.0,9.1,3.1,8.3,37.9%,2.4,5.9,40.1%,0.8,2.4,32.4%,2.0,2.7,75.0%,0.1,1.6,1.7,1.4,1.8,0.9,0.2,2.2
Crystal Bradford  C Bradford,"$58,710",UFA,24,9,18.3,8.8,3.4,8.0,42.9%,2.2,4.6,48.2%,1.2,3.4,35.8%,0.8,1.6,46.2%,1.3,2.5,3.8,1.5,1.0,1.2,0.4,2.3
Odyssey Sims  O Sims,"$75,000",UFA,30,21,25.1,8.7,3.5,9.5,37.0%,3.0,7.2,41.4%,0.5,2.3,23.2%,1.2,1.6,72.9%,0.5,2.0,2.5,3.6,1.6,1.2,0.1,1.5
Odyssey Sims  O Sims,"$111,520",--,30,21,25.1,8.7,3.5,9.5,37.0%,3.0,7.2,41.4%,0.5,2.3,23.2%,1.2,1.6,72.9%,0.5,2.0,2.5,3.6,1.6,1.2,0.1,1.5
Natasha Cloud  N Cloud,"$190,000",SuspCE,27,27,31.6,8.7,3.0,7.7,38.9%,2.0,4.2,48.7%,1.0,3.5,27.4%,1.7,2.0,83.6%,0.4,3.2,3.6,6.4,2.2,1.4,0.1,2.3
Michaela Onyenwere  M Onyenwere,"$67,208",Rookie,32,29,22.2,8.6,2.8,7.1,40.1%,1.7,3.6,47.4%,1.2,3.5,32.7%,1.8,2.1,83.6%,0.7,2.3,2.9,0.6,1.1,0.4,0.3,2.5
Nia Coffey  N Coffey,"$70,040",UFA,32,17,25.2,8.3,2.9,6.9,42.1%,1.3,3.2,42.6%,1.6,3.8,41.7%,0.9,1.1,77.8%,0.6,3.3,3.8,0.9,1.4,0.8,1.2,2.7
Monique Billings  M Billings,"$70,040",--,31,9,23.9,8.1,3.2,6.5,49.5%,3.2,6.5,50.0%,0.0,0.1,0.0%,1.7,2.5,67.5%,2.8,3.6,6.5,1.0,1.4,1.2,1.0,2.5
Brianna Turner  B Turner,"$58,710",--,32,32,31.1,7.8,3.4,6.1,55.4%,3.4,6.1,55.7%,0.0,0.0,0.0%,1.0,1.4,71.7%,2.4,7.0,9.4,1.8,1.5,0.8,1.3,2.2
Crystal Dangerfield  C Dangerfield,"$60,946",--,31,10,20.1,7.7,2.8,7.2,38.8%,1.9,4.7,40.4%,0.9,2.5,35.9%,1.2,1.4,85.7%,0.3,1.7,2.0,2.8,1.4,0.7,0.1,1.9
Damiris Dantas  D Dantas,"$126,000",--,24,20,23.8,7.7,2.8,7.3,37.7%,1.3,3.0,43.8%,1.4,4.3,33.3%,0.8,1.0,75.0%,0.6,3.4,4.0,2.3,1.8,0.4,0.3,2.0
Natisha Hiedeman  N Hiedeman,"$58,710",Reserved,32,5,20.1,7.6,2.4,6.1,40.0%,0.8,2.1,40.3%,1.6,4.0,39.8%,1.1,1.6,70.0%,0.2,1.7,1.9,1.9,0.9,0.8,0.2,1.9
Kayla Thornton  K Thornton,"$89,200",--,31,25,27.6,7.5,2.7,6.4,42.1%,2.0,4.3,45.5%,0.7,2.0,34.9%,1.5,1.7,84.9%,2.1,3.5,5.6,1.5,1.0,0.8,0.2,2.0
Stefanie Dolson  S Dolson,"$175,000",--,24,15,20.0,7.5,3.0,6.1,48.6%,2.2,4.1,52.5%,0.8,2.0,40.4%,0.8,0.8,94.7%,0.7,2.8,3.5,1.3,1.3,0.3,0.8,2.7
Azurá Stevens  A Stevens,"$70,040",--,30,11,19.6,7.4,3.0,6.0,50.0%,2.5,4.5,55.6%,0.5,1.5,33.3%,0.9,1.1,81.3%,1.6,2.9,4.6,0.8,0.9,0.8,0.7,1.8
Mercedes Russell  M Russell,"$70,040",--,30,28,24.7,7.3,3.1,5.0,61.7%,3.1,5.0,61.7%,0.0,0.0,--,1.2,1.6,76.6%,1.7,4.5,6.1,1.6,1.3,0.9,0.4,2.6
Chiney Ogwumike  C Ogwumike,"$113,000",SuspCE,7,3,19.2,7.0,2.9,7.0,40.8%,2.4,6.4,37.8%,0.4,0.6,75.0%,0.9,1.1,75.0%,1.6,2.6,4.1,1.1,0.9,0.9,0.4,3.3
Katie Lou Samuelson  K Samuelson,"$60,069",--,27,24,21.0,7.0,2.7,5.9,45.6%,1.7,3.1,54.8%,1.0,2.7,35.1%,0.7,1.0,73.1%,0.4,3.1,3.5,1.7,1.1,0.7,0.3,1.7
Briann January  B January,"$121,500",--,29,29,30.2,7.0,2.4,5.8,42.5%,1.5,3.3,45.8%,0.9,2.4,38.0%,1.1,1.3,86.8%,0.3,1.1,1.4,3.1,1.8,0.9,0.1,2.0
Shatori Walker-Kimbrough  S Walker-Kimbrough,"$3,871",UFA,17,13,20.6,6.9,2.4,4.6,51.3%,1.9,3.1,60.4%,0.5,1.5,32.0%,1.8,2.1,85.7%,0.2,1.2,1.4,0.9,1.2,0.7,0.3,1.6
Shatori Walker-Kimbrough  S Walker-Kimbrough,"$10,322",7D,17,13,20.6,6.9,2.4,4.6,51.3%,1.9,3.1,60.4%,0.5,1.5,32.0%,1.8,2.1,85.7%,0.2,1.2,1.4,0.9,1.2,0.7,0.3,1.6
Shatori Walker-Kimbrough  S Walker-Kimbrough,"$24,330",ROS,17,13,20.6,6.9,2.4,4.6,51.3%,1.9,3.1,60.4%,0.5,1.5,32.0%,1.8,2.1,85.7%,0.2,1.2,1.4,0.9,1.2,0.7,0.3,1.6
Victoria Vivians  V Vivians,"$62,014",--,31,8,21.3,6.8,2.5,7.5,33.3%,1.5,3.4,43.3%,1.0,4.1,25.2%,0.8,1.0,83.3%,0.5,2.6,3.1,1.3,1.3,1.1,0.1,1.8
Ezi Magbegor  E Magbegor,"$58,710",--,30,3,15.2,6.7,2.7,5.3,50.6%,2.5,5.0,50.3%,0.2,0.3,55.6%,1.1,1.3,84.6%,1.5,2.3,3.9,0.8,0.9,0.6,0.9,2.2
Astou Ndour-Fall  A Ndour-Fall,"$70,040",UFA,20,8,17.1,6.6,2.3,5.8,39.7%,1.9,4.1,46.3%,0.4,1.7,23.5%,1.6,1.7,94.1%,1.6,3.2,4.8,0.4,0.9,0.4,0.8,2.2
Astou Ndour-Fall  A Ndour-Fall,"$108,421",--,20,8,17.1,6.6,2.3,5.8,39.7%,1.9,4.1,46.3%,0.4,1.7,23.5%,1.6,1.7,94.1%,1.6,3.2,4.8,0.4,0.9,0.4,0.8,2.2
Jantel Lavender  J Lavender,"$175,000",UFA,27,14,20.0,6.4,2.8,7.0,40.4%,2.7,6.2,42.9%,0.1,0.7,20.0%,0.7,0.7,90.0%,1.7,2.2,3.9,1.5,1.4,0.0,0.1,1.8
Candice Dupree  C Dupree,"$36,541",ROS,26,6,17.8,6.4,2.8,6.5,43.5%,2.8,6.3,44.8%,0.0,0.3,14.3%,0.7,0.8,81.8%,0.6,2.4,3.0,0.7,0.8,0.5,0.2,1.1
Candice Dupree  C Dupree,"$142,000",UFA,26,6,17.8,6.4,2.8,6.5,43.5%,2.8,6.3,44.8%,0.0,0.3,14.3%,0.7,0.8,81.8%,0.6,2.4,3.0,0.7,0.8,0.5,0.2,1.1
Theresa Plaisance  T Plaisance,"$70,040",UFA,31,11,18.0,6.4,2.3,6.5,35.1%,1.2,2.8,41.9%,1.1,3.7,30.2%,0.7,0.9,81.5%,0.7,3.7,4.4,1.4,1.2,0.8,0.7,2.2
Leilani Mitchell  L Mitchell,"$123,500",--,31,12,23.4,6.4,2.1,5.7,36.0%,0.5,1.2,36.8%,1.6,4.5,35.7%,0.6,0.7,82.6%,0.4,1.6,2.0,2.5,1.1,0.5,0.1,1.5
Aari McDonald  A McDonald,"$70,040",Rookie,30,4,16.4,6.3,1.9,5.8,32.2%,0.8,2.3,34.3%,1.1,3.5,30.8%,1.5,1.7,88.2%,0.3,1.3,1.6,2.0,1.2,0.8,0.2,1.8
Jazmine Jones  J Jones,"$63,751",--,27,0,16.6,5.9,2.0,5.5,35.6%,1.3,3.8,34.3%,0.7,1.7,38.3%,1.3,1.7,76.1%,0.4,2.0,2.4,1.1,1.6,0.5,0.4,2.4
Reshanda Gray  R Gray,"$34,651",ROS,15,0,14.0,5.9,2.3,4.3,53.1%,2.1,3.7,58.2%,0.1,0.6,22.2%,1.2,1.7,69.2%,0.9,2.7,3.5,0.3,1.4,0.3,0.3,3.1
Reshanda Gray  R Gray,"$10,506",Hardship,15,0,14.0,5.9,2.3,4.3,53.1%,2.1,3.7,58.2%,0.1,0.6,22.2%,1.2,1.7,69.2%,0.9,2.7,3.5,0.3,1.4,0.3,0.3,3.1
Jessica Breland  J Breland,"$145,000",UFA,26,18,20.9,5.8,2.6,6.9,37.2%,2.4,6.3,37.8%,0.2,0.6,31.3%,0.5,0.7,68.4%,1.4,4.8,6.3,2.0,1.8,0.6,1.5,2.0
Elizabeth Williams  E Williams,"$119,000",--,32,32,23.8,5.8,2.5,4.8,51.6%,2.5,4.8,51.6%,0.0,0.0,--,0.8,1.7,50.9%,2.0,2.9,4.9,1.2,0.8,1.1,1.3,1.9
Jordin Canada  J Canada,"$70,040",--,29,3,18.7,5.8,1.9,5.0,38.9%,1.8,4.5,40.8%,0.1,0.5,21.4%,1.8,2.2,84.1%,0.6,1.7,2.3,3.0,1.1,0.7,0.1,1.0
Ruthy Hebard  R Hebard,"$66,555",--,30,6,16.8,5.8,2.4,4.6,52.9%,2.4,4.5,53.7%,0.0,0.1,0.0%,0.9,1.1,79.4%,1.4,3.0,4.4,0.8,0.6,0.7,0.7,2.0
Epiphanny Prince  E Prince,"$115,000",UFA,29,2,14.3,5.8,2.0,4.6,43.9%,1.1,2.8,40.2%,0.9,1.7,50.0%,0.9,1.0,89.7%,0.3,1.3,1.6,1.7,0.9,0.7,0.2,1.1
Stephanie Talbot  S Talbot,"$70,040",SuspCE,30,9,17.9,5.7,2.3,4.8,48.3%,1.4,2.6,53.8%,0.9,2.2,41.5%,0.2,0.3,75.0%,0.4,2.5,2.9,1.6,1.6,0.5,0.4,1.9
Kylee Shook  K Shook,"$60,946",--,30,19,18.9,5.7,2.4,5.1,46.7%,1.6,3.0,51.6%,0.8,2.0,39.3%,0.1,0.2,80.0%,0.7,3.4,4.0,1.4,1.3,0.3,0.5,1.6
Sophie Cunningham  S Cunningham,"$58,710",--,30,4,17.5,5.6,2.0,4.5,43.7%,0.9,1.9,47.4%,1.1,2.6,41.0%,0.6,0.9,70.4%,0.3,1.7,2.0,1.1,0.5,0.5,0.2,1.9
Alyssa Thomas  A Thomas,"$200,000",UFA,2,0,17.6,5.5,2.0,7.5,26.7%,2.0,7.5,26.7%,0.0,0.0,--,1.5,2.0,75.0%,0.5,4.5,5.0,2.0,1.5,0.5,0.0,2.0
Emma Cannon  E Cannon,"$9,734",Hardship,20,6,14.7,5.5,2.3,5.1,44.6%,1.9,3.9,49.4%,0.4,1.2,29.2%,0.7,0.9,72.2%,1.3,2.5,3.7,0.9,1.6,0.3,0.2,2.1
Emma Cannon  E Cannon,"$12,978",7D,20,6,14.7,5.5,2.3,5.1,44.6%,1.9,3.9,49.4%,0.4,1.2,29.2%,0.7,0.9,72.2%,1.3,2.5,3.7,0.9,1.6,0.3,0.2,2.1
Emma Cannon  E Cannon,"$9,270",Hardship,20,6,14.7,5.5,2.3,5.1,44.6%,1.9,3.9,49.4%,0.4,1.2,29.2%,0.7,0.9,72.2%,1.3,2.5,3.7,0.9,1.6,0.3,0.2,2.1
Emma Cannon  E Cannon,"$11,124",Reserved,20,6,14.7,5.5,2.3,5.1,44.6%,1.9,3.9,49.4%,0.4,1.2,29.2%,0.7,0.9,72.2%,1.3,2.5,3.7,0.9,1.6,0.3,0.2,2.1
Moriah Jefferson  M Jefferson,"$175,100",--,29,28,17.2,5.4,2.3,5.1,44.9%,1.5,3.3,44.3%,0.8,1.7,46.0%,0.1,0.2,60.0%,0.4,1.6,2.0,2.5,1.4,0.8,0.2,1.4
Lindsay Allen  L Allen,"$70,040",Reserved,32,8,17.8,5.4,2.0,4.8,42.8%,1.6,3.3,48.6%,0.4,1.5,29.8%,0.9,1.2,81.1%,0.3,1.2,1.5,3.0,1.0,0.5,0.1,1.1
Shey Peddy  S Peddy,"$58,710",Reserved,32,5,17.5,5.4,1.9,4.6,41.2%,1.1,2.1,50.7%,0.8,2.5,33.3%,0.7,0.8,92.0%,0.8,1.6,2.3,2.5,1.0,0.9,0.1,1.0
Rachel Banham  R Banham,"$52,042",--,27,0,12.6,5.0,1.9,4.8,39.5%,0.9,2.0,42.6%,1.0,2.8,37.3%,0.2,0.3,62.5%,0.1,1.1,1.2,1.6,0.9,0.3,0.1,1.7
Rachel Banham  R Banham,"$31,702",ROS,27,0,12.6,5.0,1.9,4.8,39.5%,0.9,2.0,42.6%,1.0,2.8,37.3%,0.2,0.3,62.5%,0.1,1.1,1.2,1.6,0.9,0.3,0.1,1.7
Tianna Hawkins  T Hawkins,"$140,000",UFA,28,8,15.5,4.9,1.8,4.5,39.7%,1.2,2.1,56.7%,0.6,2.4,24.2%,0.8,0.8,91.3%,0.5,2.6,3.1,0.6,1.1,0.4,0.5,2.2
Bernadett Hatar  B Hatar,"$58,710",SuspCE,7,2,15.2,4.9,2.0,4.1,48.3%,2.0,4.1,48.3%,0.0,0.0,--,0.9,1.0,85.7%,1.0,1.6,2.6,0.3,1.6,0.4,0.4,2.6
Bridget Carleton  B Carleton,"$58,710",Reserved,32,10,19.3,4.8,1.7,4.3,40.1%,0.9,2.0,44.4%,0.8,2.3,36.5%,0.5,0.6,80.0%,0.7,1.6,2.3,1.5,0.8,0.8,0.2,1.5
Kia Vaughn  K Vaughn,"$110,000",UFA,28,2,15.8,4.6,2.1,4.8,44.4%,2.1,4.7,44.7%,0.0,0.0,0.0%,0.4,0.7,60.0%,0.8,1.9,2.7,1.3,1.3,0.2,0.2,1.6
