year,team,conference,elo,week
2012,Arizona State,Pac-12,1712,4
2012,Arkansas,SEC,1626,4
2012,Arkansas State,Sun Belt,1452,4
2012,Army,FBS Independents,1279,4
2012,Auburn,SEC,1561,4
2012,Ball State,Mid-American,1302,4
2012,Baylor,Big 12,1690,4
2012,Boise State,Mountain West,1873,4
2012,Boston College,ACC,1472,4
2012,Bowling Green,Mid-American,1256,4
2012,Buffalo,Mid-American,1217,4
2012,BYU,FBS Independents,1651,4
2012,California,Pac-12,1529,4
2012,Central Michigan,Mid-American,1271,4
2012,Cincinnati,Big East,1656,4
2012,Clemson,ACC,1634,4
2012,Coastal Carolina,Big South,1314,4
2012,Colorado,Pac-12,1163,4
2012,Colorado State,Mountain West,1220,4
2012,Duke,ACC,1421,4
2012,East Carolina,Conference USA,1369,4
2012,Eastern Michigan,Mid-American,1150,4
2012,Florida,SEC,1781,4
2012,Florida Atlantic,Sun Belt,1089,4
2012,Florida International,Sun Belt,1387,4
2012,Florida State,ACC,1879,4
2012,Fresno State,Mountain West,1552,4
2012,Georgia,SEC,1909,4
2012,Georgia State,CAA,1235,4
2012,Georgia Tech,ACC,1662,4
2012,Hawai'i,Mountain West,1257,4
2012,Houston,Conference USA,1567,4
2012,Idaho,Western Athletic,1165,4
2012,Illinois,Big Ten,1408,4
2012,Indiana,Big Ten,1376,4
2012,Iowa,Big Ten,1567,4
2012,Iowa State,Big 12,1547,4
2012,James Madison,CAA,1387,4
2012,Kansas,Big 12,1239,4
2012,Kansas State,Big 12,1744,4
2012,Kent State,Mid-American,1308,4
2012,Kentucky,SEC,1376,4
2012,Liberty,Big South,1450,4
2012,Louisiana,Sun Belt,1360,4
2012,Louisiana Tech,Western Athletic,1662,4
2012,Louisville,Big East,1595,4
2012,LSU,SEC,2042,4
2012,Marshall,Conference USA,1334,4
2012,Maryland,ACC,1437,4
2012,Massachusetts,Mid-American,1111,4
2012,Memphis,Conference USA,1050,4
2012,Miami,ACC,1548,4
2012,Miami (OH),Mid-American,1324,4
2012,Michigan,Big Ten,1765,4
2012,Michigan State,Big Ten,1722,4
2012,Middle Tennessee,Sun Belt,1218,4
2012,Minnesota,Big Ten,1384,4
2012,Mississippi State,SEC,1653,4
2012,Missouri,SEC,1585,4
2012,Navy,FBS Independents,1357,4
2012,NC State,ACC,1617,4
2012,Nebraska,Big Ten,1744,4
2012,Nevada,Mountain West,1734,4
2012,New Mexico,Mountain West,1019,4
2012,New Mexico State,Western Athletic,1090,4
2012,North Carolina,ACC,1595,4
2012,Northern Illinois,Mid-American,1626,4
2012,North Texas,Sun Belt,1370,4
2012,Northwestern,Big Ten,1542,4
2012,Notre Dame,FBS Independents,1837,4
2012,Ohio,Mid-American,1530,4
2012,Ohio State,Big Ten,1766,4
2012,Oklahoma,Big 12,1809,4
2012,Oklahoma State,Big 12,1901,4
2012,Ole Miss,SEC,1401,4
2012,Oregon,Pac-12,2007,4
2012,Oregon State,Pac-12,1517,4
2012,Penn State,Big Ten,1611,4
2012,Pittsburgh,Big East,1551,4
2012,Purdue,Big Ten,1510,4
2012,Rice,Conference USA,1225,4
2012,Rutgers,Big East,1583,4
2012,San Diego State,Mountain West,1552,4
2012,San José State,Western Athletic,1373,4
2012,SMU,Conference USA,1321,4
2012,South Alabama,Sun Belt,1385,4
2012,South Carolina,SEC,1878,4
2012,Southern Miss,Conference USA,1497,4
2012,South Florida,Big East,1532,4
2012,Stanford,Pac-12,1919,4
2012,Syracuse,Big East,1439,4
2012,TCU,Big 12,1773,4
2012,Temple,Big East,1584,4
2012,Tennessee,SEC,1594,4
2012,Texas,Big 12,1765,4
2012,Texas A&M,SEC,1804,4
2012,Texas State,Western Athletic,1247,4
2012,Texas Tech,Big 12,1570,4
2012,Toledo,Mid-American,1558,4
2012,Troy,Sun Belt,1314,4
2012,Tulane,Conference USA,1013,4
2012,Tulsa,Conference USA,1639,4
2012,UAB,Conference USA,1154,4
2012,UCF,Conference USA,1603,4
2012,UCLA,Pac-12,1573,4
2012,UConn,Big East,1574,4
2012,UL Monroe,Sun Belt,1434,4
2012,UNLV,Mountain West,1180,4
2012,USC,Pac-12,1832,4
2012,Utah,Pac-12,1498,4
2012,Utah State,Western Athletic,1455,4
2012,UTEP,Conference USA,1370,4
2012,UTSA,Western Athletic,1537,4
2012,Vanderbilt,SEC,1456,4
2012,Virginia,ACC,1346,4
2012,Virginia Tech,ACC,1685,4
2012,Wake Forest,ACC,1324,4
2012,Washington,Pac-12,1468,4
2012,Washington State,Pac-12,1358,4
2012,Western Kentucky,Sun Belt,1485,4
2012,Western Michigan,Mid-American,1483,4
2012,West Virginia,Big 12,1792,4
2012,Wisconsin,Big Ten,1875,4
2012,Wyoming,Mountain West,1382,4
2012,Air Force,Mountain West,1563,5
2012,Akron,Mid-American,973,5
2012,Alabama,SEC,2136,5
2012,App State,Southern,1327,5
2012,Arizona,Pac-12,1495,5
2012,Arizona State,Pac-12,1717,5
2012,Arkansas,SEC,1506,5
2012,Arkansas State,Sun Belt,1426,5
2012,Army,FBS Independents,1279,5
2012,Auburn,SEC,1561,5
2012,Ball State,Mid-American,1301,5
2012,Baylor,Big 12,1686,5
2012,Boise State,Mountain West,1835,5
2012,Boston College,ACC,1455,5
2012,Bowling Green,Mid-American,1256,5
2012,Buffalo,Mid-American,1226,5
2012,BYU,FBS Independents,1738,5
2012,California,Pac-12,1524,5
2012,Central Michigan,Mid-American,1229,5
2012,Cincinnati,Big East,1663,5
2012,Clemson,ACC,1651,5
2012,Coastal Carolina,Big South,1314,5
2012,Colorado,Pac-12,1134,5
2012,Colorado State,Mountain West,1202,5
2012,Duke,ACC,1427,5
2012,East Carolina,Conference USA,1386,5
2012,Eastern Michigan,Mid-American,1150,5
2012,Florida,SEC,1781,5
2012,Florida Atlantic,Sun Belt,1098,5
2012,Florida International,Sun Belt,1310,5
2012,Florida State,ACC,1877,5
2012,Fresno State,Mountain West,1575,5
2012,Georgia,SEC,1902,5
2012,Georgia State,CAA,1235,5
2012,Georgia Tech,ACC,1550,5
2012,Hawai'i,Mountain West,1170,5
2012,Houston,Conference USA,1578,5
2012,Idaho,Western Athletic,1018,5
2012,Illinois,Big Ten,1356,5
2012,Indiana,Big Ten,1359,5
2012,Iowa,Big Ten,1590,5
2012,Iowa State,Big 12,1526,5
2012,James Madison,CAA,1387,5
2012,Kansas,Big 12,1239,5
2012,Kansas State,Big 12,1744,5
2012,Kent State,Mid-American,1309,5
2012,Kentucky,SEC,1374,5
2012,Liberty,Big South,1450,5
2012,Louisiana,Sun Belt,1437,5
2012,Louisiana Tech,Western Athletic,1651,5
2012,Louisville,Big East,1595,5
2012,LSU,SEC,2042,5
2012,Marshall,Conference USA,1329,5
2012,Maryland,ACC,1437,5
2012,Massachusetts,Mid-American,1130,5
2012,Memphis,Conference USA,1050,5
2012,Miami,ACC,1562,5
2012,Miami (OH),Mid-American,1311,5
2012,Michigan,Big Ten,1765,5
2012,Michigan State,Big Ten,1723,5
2012,Middle Tennessee,Sun Belt,1330,5
2012,Minnesota,Big Ten,1361,5
2012,Mississippi State,SEC,1653,5
2012,Missouri,SEC,1595,5
2012,Navy,FBS Independents,1332,5
2012,NC State,ACC,1603,5
2012,Nebraska,Big Ten,1747,5
2012,Nevada,Mountain West,1721,5
2012,New Mexico,Mountain West,1057,5
2012,New Mexico State,Western Athletic,1083,5
2012,North Carolina,ACC,1742,5
2012,Northern Illinois,Mid-American,1668,5
2012,North Texas,Sun Belt,1361,5
2012,Northwestern,Big Ten,1559,5
2012,Notre Dame,FBS Independents,1837,5
2012,Ohio,Mid-American,1511,5
2012,Ohio State,Big Ten,1765,5
2012,Oklahoma,Big 12,1809,5
2012,Oklahoma State,Big 12,1882,5
2012,Ole Miss,SEC,1423,5
2012,Oregon,Pac-12,2005,5
2012,Oregon State,Pac-12,1520,5
2012,Penn State,Big Ten,1663,5
2012,Pittsburgh,Big East,1551,5
2012,Purdue,Big Ten,1515,5
2012,Rice,Conference USA,1214,5
