season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2010,postseason,1,,Coaches Poll,219,Old Dominion,CAA,,1,0
2010,regular,1,,Coaches Poll,213,Notre Dame,Big East,,22,0
2010,regular,1,,Coaches Poll,229,Pittsburgh,Big East,,19,0
2010,regular,1,,Coaches Poll,163,Memphis,CUSA,,3,0
2010,regular,1,,Coaches Poll,304,Tulsa,CUSA,,17,0
2010,regular,1,,Coaches Poll,60,Cornell,Ivy,,3,0
2010,regular,1,,Coaches Poll,264,Siena,MAAC,,72,0
2010,postseason,1,,Coaches Poll,97,Georgetown,Big East,,92,0
2010,regular,1,,Coaches Poll,61,Creighton,MVC,,7,0
2010,regular,1,,Coaches Poll,273,Southern Illinois,MVC,,3,0
2010,regular,1,,Coaches Poll,209,Northern Iowa,MVC,,1,0
2010,regular,1,,Coaches Poll,257,San Diego State,Mountain West,,8,0
2010,regular,1,,Coaches Poll,322,UNLV,Mountain West,,2,0
2010,regular,1,,Coaches Poll,18,BYU,Mountain West,,16,0
2010,regular,1,,Coaches Poll,293,Texas A&M,Big 12,,4,0
2010,postseason,1,,Coaches Poll,184,Murray State,OVC,,12,0
2010,regular,1,,Coaches Poll,177,Missouri,Big 12,,28,0
2010,postseason,1,,Coaches Poll,177,Missouri,Big 12,,5,0
2010,regular,1,,Coaches Poll,132,Kansas State,Big 12,,16,0
2010,regular,1,,Coaches Poll,218,Oklahoma State,Big 12,,29,0
2010,regular,1,,Coaches Poll,323,USC,Pac-12,,22,0
2010,regular,1,,Coaches Poll,87,Florida,SEC,,13,0
2010,regular,1,,Coaches Poll,26,Boston College,ACC,,4,0
2010,postseason,1,,Coaches Poll,336,Vanderbilt,SEC,,21,0
2010,regular,1,,Coaches Poll,336,Vanderbilt,SEC,,38,0
2010,regular,2,,AP Top 25,131,Kansas,Big 12,1.0,1616,58
2010,regular,2,,AP Top 25,169,Michigan State,Big Ten,2.0,1520,5
2010,regular,2,,AP Top 25,295,Texas,Big 12,3.0,1412,1
2010,regular,2,,AP Top 25,135,Kentucky,SEC,4.0,1370,1
2010,regular,2,,AP Top 25,338,Villanova,Big East,5.0,1353,0
2010,regular,2,,AP Top 25,200,North Carolina,ACC,6.0,1301,0
2010,regular,2,,AP Top 25,236,Purdue,Big Ten,7.0,1297,0
2010,regular,2,,AP Top 25,347,West Virginia,Big East,8.0,1139,0
2010,regular,2,,AP Top 25,72,Duke,ACC,9.0,1078,0
2010,regular,2,,AP Top 25,292,Tennessee,SEC,10.0,938,0
2010,regular,2,,AP Top 25,34,Butler,Horizon,11.0,859,0
2010,regular,2,,AP Top 25,314,UConn,Big East,12.0,830,0
2010,regular,2,,AP Top 25,40,California,Pac-12,13.0,792,0
2010,regular,2,,AP Top 25,343,Washington,Pac-12,14.0,783,0
2010,regular,2,,AP Top 25,216,Ohio State,Big Ten,15.0,598,0
2010,regular,2,,AP Top 25,170,Michigan,Big Ten,15.0,598,0
2010,regular,2,,AP Top 25,217,Oklahoma,Big 12,17.0,490,0
2010,regular,2,,AP Top 25,64,Dayton,A-10,18.0,372,0
2010,regular,2,,AP Top 25,97,Georgetown,Big East,19.0,358,0
2010,regular,2,,AP Top 25,150,Louisville,Big East,20.0,344,0
2010,regular,2,,AP Top 25,101,Georgia Tech,ACC,21.0,320,0
2010,regular,2,,AP Top 25,52,Clemson,ACC,22.0,265,0
2010,regular,2,,AP Top 25,118,Illinois,Big Ten,23.0,261,0
2010,regular,2,,AP Top 25,173,Minnesota,Big Ten,24.0,170,0
2010,regular,2,,AP Top 25,160,Maryland,ACC,25.0,167,0
2010,regular,2,,AP Top 25,264,Siena,MAAC,,125,0
2010,regular,2,,AP Top 25,213,Notre Dame,Big East,,91,0
2010,regular,2,,AP Top 25,336,Vanderbilt,SEC,,82,0
2010,regular,2,,AP Top 25,90,Florida State,ACC,,76,0
2010,regular,2,,AP Top 25,286,Syracuse,Big East,,67,0
2010,regular,2,,AP Top 25,342,Wake Forest,ACC,,59,0
2010,regular,2,,AP Top 25,87,Florida,SEC,,58,0
2010,regular,2,,AP Top 25,218,Oklahoma State,Big 12,,57,0
2010,regular,2,,AP Top 25,266,South Carolina,SEC,,42,0
2010,regular,2,,AP Top 25,359,Xavier,A-10,,36,0
2010,regular,2,,AP Top 25,313,UCLA,Pac-12,,36,0
2010,regular,2,,AP Top 25,18,BYU,Mountain West,,28,0
2010,regular,2,,AP Top 25,102,Gonzaga,WCC,,22,0
2010,regular,2,,AP Top 25,304,Tulsa,CUSA,,21,0
2010,regular,2,,AP Top 25,132,Kansas State,Big 12,,19,0
2010,regular,2,,AP Top 25,209,Northern Iowa,MVC,,16,0
2010,regular,2,,AP Top 25,174,Mississippi State,SEC,,16,0
2010,regular,2,,AP Top 25,293,Texas A&M,Big 12,,8,0
2010,regular,2,,AP Top 25,243,Rider,MAAC,,7,0
2010,regular,2,,AP Top 25,177,Missouri,Big 12,,7,0
2010,regular,2,,AP Top 25,220,Ole Miss,SEC,,6,0
2010,regular,2,,AP Top 25,26,Boston College,ACC,,6,0
2010,regular,2,,AP Top 25,229,Pittsburgh,Big East,,3,0
2010,regular,2,,AP Top 25,333,VCU,CAA,,2,0
2010,regular,2,,AP Top 25,329,Utah State,WAC,,1,0
2010,regular,2,,AP Top 25,219,Old Dominion,CAA,,1,0
2010,regular,2,,AP Top 25,219,Old Dominion,Sun Belt,,1,0
2010,regular,2,,AP Top 25,60,Cornell,Ivy,,1,0
2010,regular,2,,AP Top 25,350,Western Kentucky,Sun Belt,,1,0
2010,regular,2,,Coaches Poll,131,Kansas,Big 12,1.0,770,27
2010,regular,2,,Coaches Poll,169,Michigan State,Big Ten,2.0,738,3
2010,regular,2,,Coaches Poll,295,Texas,Big 12,3.0,691,0
2010,regular,2,,Coaches Poll,200,North Carolina,ACC,4.0,671,1
2010,regular,2,,Coaches Poll,135,Kentucky,SEC,5.0,640,0
2010,regular,2,,Coaches Poll,338,Villanova,Big East,6.0,617,0
2010,regular,2,,Coaches Poll,236,Purdue,Big Ten,7.0,584,0
2010,regular,2,,Coaches Poll,72,Duke,ACC,8.0,538,0
2010,regular,2,,Coaches Poll,347,West Virginia,Big East,9.0,535,0
2010,regular,2,,Coaches Poll,34,Butler,Horizon,10.0,436,0
2010,regular,2,,Coaches Poll,292,Tennessee,SEC,11.0,433,0
2010,regular,2,,Coaches Poll,40,California,Pac-12,12.0,396,0
2010,regular,2,,Coaches Poll,314,UConn,Big East,13.0,388,0
2010,regular,2,,Coaches Poll,343,Washington,Pac-12,14.0,366,0
2010,regular,2,,Coaches Poll,216,Ohio State,Big Ten,15.0,306,0
2010,regular,2,,Coaches Poll,170,Michigan,Big Ten,16.0,305,0
2010,regular,2,,Coaches Poll,217,Oklahoma,Big 12,17.0,260,0
2010,regular,2,,Coaches Poll,173,Minnesota,Big Ten,18.0,163,0
2010,regular,2,,Coaches Poll,101,Georgia Tech,ACC,19.0,162,0
2010,regular,2,,Coaches Poll,97,Georgetown,Big East,20.0,158,0
2010,regular,2,,Coaches Poll,64,Dayton,A-10,21.0,157,0
2010,regular,2,,Coaches Poll,150,Louisville,Big East,22.0,136,0
2010,regular,2,,Coaches Poll,52,Clemson,ACC,23.0,111,0
2010,regular,2,,Coaches Poll,286,Syracuse,Big East,24.0,79,0
2010,regular,2,,Coaches Poll,118,Illinois,Big Ten,25.0,70,0
2010,regular,2,,Coaches Poll,160,Maryland,ACC,,64,0
2010,regular,2,,Coaches Poll,264,Siena,MAAC,,46,0
2010,regular,2,,Coaches Poll,336,Vanderbilt,SEC,,42,0
2010,regular,2,,Coaches Poll,313,UCLA,Pac-12,,26,0
2010,regular,2,,Coaches Poll,218,Oklahoma State,Big 12,,21,0
2010,regular,2,,Coaches Poll,213,Notre Dame,Big East,,20,0
2010,regular,2,,Coaches Poll,18,BYU,Mountain West,,18,0
2010,regular,2,,Coaches Poll,177,Missouri,Big 12,,17,0
2010,regular,2,,Coaches Poll,174,Mississippi State,SEC,,16,0
2010,regular,2,,Coaches Poll,132,Kansas State,Big 12,,12,0
2010,regular,2,,Coaches Poll,102,Gonzaga,WCC,,10,0
2010,regular,2,,Coaches Poll,87,Florida,SEC,,10,0
2010,regular,2,,Coaches Poll,229,Pittsburgh,Big East,,9,0
2010,regular,2,,Coaches Poll,342,Wake Forest,ACC,,8,0
2010,regular,2,,Coaches Poll,304,Tulsa,CUSA,,7,0
2010,regular,2,,Coaches Poll,359,Xavier,A-10,,6,0
2010,regular,2,,Coaches Poll,329,Utah State,WAC,,4,0
2010,regular,2,,Coaches Poll,293,Texas A&M,Big 12,,4,0
2010,regular,2,,Coaches Poll,273,Southern Illinois,MVC,,4,0
2010,regular,2,,Coaches Poll,257,San Diego State,Mountain West,,4,0
2010,regular,2,,Coaches Poll,322,UNLV,Mountain West,,3,0
2010,regular,2,,Coaches Poll,163,Memphis,CUSA,,3,0
2010,regular,2,,Coaches Poll,220,Ole Miss,SEC,,3,0
2010,regular,2,,Coaches Poll,26,Boston College,ACC,,3,0
2010,regular,2,,Coaches Poll,253,Saint Mary's,WCC,,2,0
2010,regular,2,,Coaches Poll,60,Cornell,Ivy,,2,0
2010,regular,2,,Coaches Poll,209,Northern Iowa,MVC,,1,0
2010,regular,3,,AP Top 25,131,Kansas,Big 12,1.0,1613,56
2010,regular,3,,AP Top 25,169,Michigan State,Big Ten,2.0,1538,7
