Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Student-Athlete Meals (Non-Travel),Excess Transfers Back,Total Coaching Severance,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,"Facilities, Debt Service, and Equipment",Coaches Compensation,Non-Coaching Athletics Staff Compensation,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,"Conference/NCAA Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees
University of North Carolina at Wilmington,199218,2022,No Football Subdivision,,"$15,141,319.00 ","$149,018.00 ",$0.00 ,"$363,367.00 ","$201,932.00 ","$134,765.00 ","$14,500.00 ","$329,987.00 ","$2,353,839.00 ","$1,967,649.00 ","$3,303,680.00 ","$3,738,000.00 ","$2,584,582.00 ","$15,989,714.00 ","$634,766.00 ","$514,794.00 ","$1,511,099.00 ","$202,000.00 ","$779,499.00 ","$652,718.00 ","$861,349.00 "
University of North Carolina at Wilmington,199218,2023,No Football Subdivision,,"$17,252,853.00 ","$174,502.00 ",$0.00 ,"$108,166.00 ","$223,090.00 ","$130,126.00 ","$15,712.00 ","$316,492.00 ","$2,664,620.00 ","$2,828,203.00 ","$3,550,985.00 ","$4,102,739.00 ","$3,138,218.00 ","$18,049,805.00 ","$1,041,662.00 ","$791,926.00 ","$2,187,261.00 ","$212,500.00 ","$639,847.00 ","$923,153.00 ","$1,102,114.00 "
University of North Carolina at Wilmington,199218,2024,No Football Subdivision,,"$19,897,780.00 ","$213,080.00 ",$0.00 ,$0.00 ,"$309,531.00 ","$153,002.00 ","$21,118.00 ","$315,344.00 ","$3,207,974.00 ","$3,174,409.00 ","$3,987,575.00 ","$5,136,154.00 ","$3,379,593.00 ","$20,412,963.00 ","$1,195,916.00 ","$828,405.00 ","$1,660,987.00 ","$254,000.00 ","$841,919.00 ","$1,180,062.00 ","$1,716,363.00 "
Western Carolina University,200004,2005,Football Championship Subdivision,,"$7,001,101.00 ",,$0.00 ,$0.00 ,"$534,566.00 ","$168,789.00 ","$25,000.00 ","$97,567.00 ","$495,439.00 ","$1,746,857.00 ","$1,486,089.00 ","$1,133,346.00 ","$1,313,448.00 ","$6,782,432.00 ","$336,062.00 ","$62,810.00 ","$467,285.00 ","$608,003.00 ","$240,684.00 ","$210,540.00 ","$2,435,707.00 "
Western Carolina University,200004,2006,Football Championship Subdivision,,"$7,527,394.00 ",,$0.00 ,$0.00 ,"$721,991.00 ","$233,633.00 ","$36,020.00 ","$144,545.00 ","$575,429.00 ","$1,595,264.00 ","$1,737,337.00 ","$1,064,372.00 ","$1,418,803.00 ","$7,092,896.00 ","$318,279.00 ","$120,218.00 ","$390,592.00 ","$449,120.00 ","$242,690.00 ","$216,650.00 ","$2,758,228.00 "
Western Carolina University,200004,2007,Football Championship Subdivision,,"$7,650,503.00 ",,$0.00 ,$0.00 ,"$817,696.00 ","$77,115.00 ","$8,750.00 ","$139,293.00 ","$950,134.00 ","$1,220,401.00 ","$1,741,243.00 ","$1,288,040.00 ","$1,407,831.00 ","$7,232,815.00 ","$479,675.00 ","$127,263.00 ","$510,380.00 ","$742,600.00 ","$278,483.00 ","$268,047.00 ","$2,073,876.00 "
Western Carolina University,200004,2008,Football Championship Subdivision,,"$8,420,162.00 ",,$0.00 ,$0.00 ,"$1,013,010.00 ","$283,959.00 ","$13,500.00 ","$186,548.00 ","$1,008,405.00 ","$1,056,140.00 ","$2,030,782.00 ","$1,429,283.00 ","$1,398,535.00 ","$8,437,862.00 ","$291,112.00 ","$230,888.00 ","$294,474.00 ","$939,657.00 ","$339,443.00 ","$205,023.00 ","$3,207,012.00 "
Western Carolina University,200004,2009,Football Championship Subdivision,,"$8,761,910.00 ",,$0.00 ,$0.00 ,"$1,199,858.00 ","$367,314.00 ","$44,000.00 ","$171,405.00 ","$1,062,563.00 ","$1,151,334.00 ","$2,091,389.00 ","$1,544,598.00 ","$1,129,449.00 ","$8,448,364.00 ","$336,333.00 ","$288,122.00 ","$646,305.00 ","$757,975.00 ","$463,903.00 ","$343,173.00 ","$2,849,409.00 "
Western Carolina University,200004,2010,Football Championship Subdivision,,"$8,495,436.00 ",,$0.00 ,$0.00 ,"$693,321.00 ","$282,114.00 ","$4,500.00 ","$183,299.00 ","$888,064.00 ","$1,534,181.00 ","$2,325,903.00 ","$1,788,911.00 ","$795,143.00 ","$8,055,920.00 ","$239,377.00 ","$315,364.00 ","$596,727.00 ","$556,000.00 ","$474,670.00 ","$240,777.00 ","$2,797,293.00 "
Western Carolina University,200004,2011,Football Championship Subdivision,,"$8,667,706.00 ",,$0.00 ,$0.00 ,"$766,828.00 ","$301,004.00 ","$31,500.00 ","$188,760.00 ","$837,319.00 ","$1,455,510.00 ","$2,212,388.00 ","$1,986,872.00 ","$887,525.00 ","$8,589,522.00 ","$234,307.00 ","$272,024.00 ","$943,323.00 ","$625,000.00 ","$509,412.00 ","$335,039.00 ","$2,742,664.00 "
Western Carolina University,200004,2012,Football Championship Subdivision,,"$11,605,915.00 ",,$0.00 ,$0.00 ,"$983,767.00 ","$368,491.00 ","$59,500.00 ","$146,310.00 ","$825,840.00 ","$1,734,750.00 ","$2,588,553.00 ","$2,316,470.00 ","$2,582,234.00 ","$11,087,825.00 ","$344,459.00 ","$278,071.00 ","$768,333.00 ","$670,000.00 ","$506,901.00 ","$223,083.00 ","$3,221,568.00 "
Western Carolina University,200004,2013,Football Championship Subdivision,,"$11,387,194.00 ",,$0.00 ,$0.00 ,"$1,071,039.00 ","$316,304.00 ","$39,000.00 ","$167,712.00 ","$964,501.00 ","$1,538,414.00 ","$2,385,629.00 ","$2,174,970.00 ","$2,729,625.00 ","$11,244,361.00 ","$256,768.00 ","$389,305.00 ","$917,016.00 ","$1,154,000.00 ","$455,719.00 ","$399,552.00 ","$2,450,541.00 "
Western Carolina University,200004,2014,Football Championship Subdivision,,"$11,466,187.00 ",,$0.00 ,$0.00 ,"$683,676.00 ","$347,305.00 ","$50,000.00 ","$163,252.00 ","$1,081,886.00 ","$1,707,536.00 ","$2,358,741.00 ","$2,247,243.00 ","$2,826,548.00 ","$11,436,428.00 ","$116,301.00 ","$352,919.00 ","$1,051,886.00 ","$1,459,228.00 ","$542,095.00 ","$332,396.00 ","$2,137,520.00 "
Western Carolina University,200004,2015,Football Championship Subdivision,,"$12,170,138.00 ",,$0.00 ,"$39,073.00 ","$911,271.00 ","$261,414.00 ","$230,250.00 ","$155,033.00 ","$944,239.00 ","$1,668,626.00 ","$2,511,381.00 ","$2,550,008.00 ","$2,898,843.00 ","$12,079,694.00 ","$365,583.00 ","$342,559.00 ","$1,336,935.00 ","$1,339,500.00 ","$488,997.00 ","$404,484.00 ","$2,188,500.00 "
Western Carolina University,200004,2016,Football Championship Subdivision,,"$13,049,483.00 ",$0.00 ,$0.00 ,$0.00 ,"$931,274.00 ","$268,957.00 ","$48,000.00 ","$185,600.00 ","$1,072,469.00 ","$2,167,060.00 ","$2,724,995.00 ","$2,512,286.00 ","$3,138,842.00 ","$13,174,782.00 ","$176,282.00 ","$405,711.00 ","$1,602,572.00 ","$1,590,700.00 ","$523,917.00 ","$397,617.00 ","$2,544,329.00 "
Western Carolina University,200004,2017,Football Championship Subdivision,,"$13,421,220.00 ",$0.00 ,$0.00 ,"$10,541.00 ","$955,862.00 ","$228,866.00 ","$208,000.00 ","$181,277.00 ","$1,010,925.00 ","$2,240,535.00 ","$2,752,556.00 ","$2,607,102.00 ","$3,225,556.00 ","$13,723,606.00 ","$409,584.00 ","$403,239.00 ","$1,917,778.00 ","$1,280,027.00 ","$625,273.00 ","$403,833.00 ","$2,567,205.00 "
Western Carolina University,200004,2018,Football Championship Subdivision,,"$14,291,807.00 ",$0.00 ,$0.00 ,"$274,693.00 ","$1,192,174.00 ","$235,241.00 ","$82,000.00 ","$211,321.00 ","$1,038,276.00 ","$2,360,628.00 ","$2,781,260.00 ","$2,726,466.00 ","$3,389,748.00 ","$14,720,226.00 ","$522,055.00 ","$394,643.00 ","$2,331,055.00 ","$1,044,475.00 ","$787,408.00 ","$437,466.00 ","$2,735,816.00 "
Western Carolina University,200004,2019,Football Championship Subdivision,,"$13,920,437.00 ",$0.00 ,$0.00 ,"$26,379.00 ","$1,239,433.00 ","$196,135.00 ","$39,000.00 ","$250,598.00 ","$1,044,881.00 ","$2,423,123.00 ","$2,972,478.00 ","$2,953,070.00 ","$2,775,340.00 ","$14,882,283.00 ","$500,653.00 ","$428,648.00 ","$2,354,387.00 ","$925,440.00 ","$595,549.00 ","$469,702.00 ","$2,750,949.00 "
Western Carolina University,200004,2020,Football Championship Subdivision,,"$14,588,851.00 ",$0.00 ,$0.00 ,"$22,528.00 ","$1,598,495.00 ","$195,596.00 ","$43,728.00 ","$210,098.00 ","$963,706.00 ","$2,412,152.00 ","$3,038,929.00 ","$3,254,073.00 ","$2,849,546.00 ","$15,000,042.00 ","$419,046.00 ","$408,450.00 ","$1,891,849.00 ","$1,234,000.00 ","$523,179.00 ","$441,772.00 ","$3,046,570.00 "
Western Carolina University,200004,2021,Football Championship Subdivision,,"$14,729,374.00 ",$0.00 ,$0.00 ,"$69,277.00 ","$988,832.00 ","$87,517.00 ","$9,840.00 ","$17,575.00 ","$949,068.00 ","$2,986,705.00 ","$3,252,425.00 ","$3,222,352.00 ","$3,145,783.00 ","$14,567,011.00 ","$409,074.00 ","$348,221.00 ","$1,743,825.00 ","$936,000.00 ","$775,649.00 ","$165,585.00 ","$3,065,465.00 "
Western Carolina University,200004,2022,Football Championship Subdivision,,"$17,040,389.00 ","$66,062.00 ",$0.00 ,"$192,013.00 ","$1,301,953.00 ","$83,510.00 ","$14,100.00 ","$305,717.00 ","$1,454,375.00 ","$3,590,534.00 ","$3,725,908.00 ","$3,289,099.00 ","$3,017,118.00 ","$16,396,597.00 ","$594,849.00 ","$503,245.00 ","$1,782,909.00 ","$955,000.00 ","$889,277.00 ","$316,317.00 ","$4,559,169.00 "
Western Carolina University,200004,2023,Football Championship Subdivision,,"$17,256,411.00 ","$58,892.00 ",$0.00 ,"$155,000.00 ","$1,130,954.00 ","$64,582.00 ","$109,600.00 ","$260,865.00 ","$1,562,420.00 ","$3,526,086.00 ","$3,670,048.00 ","$3,479,357.00 ","$3,238,607.00 ","$17,097,579.00 ","$829,332.00 ","$525,929.00 ","$2,324,810.00 ","$729,000.00 ","$1,354,211.00 ","$658,647.00 ","$3,448,473.00 "
Western Carolina University,200004,2024,Football Championship Subdivision,,"$18,000,249.00 ","$66,825.00 ",$0.00 ,"$204,533.00 ","$1,228,375.00 ","$127,206.00 ","$11,400.00 ","$241,655.00 ","$1,656,865.00 ","$3,767,957.00 ","$3,727,664.00 ","$3,470,188.00 ","$3,497,581.00 ","$18,395,877.00 ","$884,579.00 ","$509,612.00 ","$1,682,472.00 ","$1,068,500.00 ","$982,656.00 ","$646,582.00 ","$5,384,414.00 "
University of North Dakota,200280,2005,Division II,,,,,,,,,,,,,,,,,,,,,,
University of North Dakota,200280,2006,Division II,,,,,,,,,,,,,,,,,,,,,,
University of North Dakota,200280,2007,Division II,,,,,,,,,,,,,,,,,,,,,,
University of North Dakota,200280,2008,Division II,,,,,,,,,,,,,,,,,,,,,,
University of North Dakota,200280,2009,Football Championship Subdivision,,"$15,648,901.00 ",,$0.00 ,,"$1,667,504.00 ","$515,268.00 ","$346,320.00 ","$346,205.00 ","$2,127,686.00 ","$3,448,199.00 ","$2,986,991.00 ","$1,659,616.00 ","$2,551,112.00 ","$16,062,262.00 ","$1,115,614.00 ","$616,246.00 ","$2,608,953.00 ","$344,250.00 ","$205,385.00 ","$3,465,362.00 ","$4,810,761.00 "
University of North Dakota,200280,2010,Football Championship Subdivision,,"$18,011,480.00 ",,$0.00 ,$0.00 ,"$2,032,835.00 ","$494,666.00 ","$378,980.00 ","$399,689.00 ","$2,970,438.00 ","$3,831,630.00 ","$3,070,295.00 ","$1,932,931.00 ","$2,900,016.00 ","$18,197,490.00 ","$913,523.00 ","$799,996.00 ","$3,447,921.00 ","$770,500.00 ","$298,110.00 ","$3,576,178.00 ","$5,291,635.00 "
University of North Dakota,200280,2011,Football Championship Subdivision,,"$18,595,731.00 ",,$0.00 ,$0.00 ,"$2,262,418.00 ","$548,276.00 ","$277,260.00 ","$416,380.00 ","$2,620,307.00 ","$3,912,938.00 ","$3,291,144.00 ","$2,192,051.00 ","$3,074,957.00 ","$18,716,164.00 ","$922,783.00 ","$784,611.00 ","$3,180,929.00 ","$654,250.00 ","$394,071.00 ","$3,777,153.00 ","$5,701,923.00 "
University of North Dakota,200280,2012,Football Championship Subdivision,,"$20,073,382.00 ",,$0.00 ,$0.00 ,"$2,903,155.00 ","$553,356.00 ","$334,427.00 ","$448,396.00 ","$2,643,978.00 ","$4,046,166.00 ","$3,516,435.00 ","$2,235,313.00 ","$3,392,156.00 ","$19,389,929.00 ","$1,391,532.00 ","$771,621.00 ","$3,108,472.00 ","$675,500.00 ","$288,064.00 ","$3,889,681.00 ","$5,936,899.00 "
University of North Dakota,200280,2013,Football Championship Subdivision,,"$22,077,150.00 ",,$0.00 ,$0.00 ,"$3,374,825.00 ","$644,491.00 ","$329,308.00 ","$401,641.00 ","$3,053,540.00 ","$4,580,346.00 ","$3,619,189.00 ","$2,250,345.00 ","$3,823,465.00 ","$22,160,308.00 ","$1,283,844.00 ","$990,891.00 ","$3,492,414.00 ","$774,720.00 ","$564,052.00 ","$4,078,364.00 ","$7,944,846.00 "
University of North Dakota,200280,2014,Football Championship Subdivision,,"$23,936,729.00 ",,$0.00 ,"$47,713.00 ","$3,618,389.00 ","$725,150.00 ","$228,758.00 ","$494,348.00 ","$3,611,210.00 ","$4,798,854.00 ","$4,076,734.00 ","$2,452,175.00 ","$3,883,398.00 ","$23,815,870.00 ","$590,489.00 ","$1,112,135.00 ","$3,428,740.00 ","$272,709.00 ","$757,756.00 ","$4,296,792.00 ","$10,213,919.00 "
University of North Dakota,200280,2015,Football Championship Subdivision,,"$24,295,578.00 ",,$0.00 ,"$36,039.00 ","$3,092,428.00 ","$971,434.00 ","$308,368.00 ","$529,271.00 ","$4,420,270.00 ","$3,597,745.00 ","$4,376,477.00 ","$2,691,530.00 ","$4,272,016.00 ","$24,287,775.00 ","$1,885,528.00 ","$916,768.00 ","$3,696,937.00 ","$684,500.00 ","$2,202,449.00 ","$4,298,043.00 ","$7,343,918.00 "
University of North Dakota,200280,2016,Football Championship Subdivision,,"$26,327,877.00 ","$105,315.00 ",$0.00 ,"$12,993.00 ","$2,294,054.00 ","$535,942.00 ","$245,804.00 ","$460,646.00 ","$4,391,417.00 ","$6,138,875.00 ","$4,445,216.00 ","$3,047,674.00 ","$4,649,941.00 ","$24,880,019.00 ","$1,522,160.00 ","$1,346,371.00 ","$3,167,902.00 ","$834,000.00 ","$1,557,929.00 ","$4,520,724.00 ","$8,589,810.00 "
University of North Dakota,200280,2017,Football Championship Subdivision,,"$26,727,343.00 ","$299,774.00 ",$0.00 ,$0.00 ,"$1,403,747.00 ","$911,781.00 ","$193,777.00 ","$420,782.00 ","$3,773,584.00 ","$6,872,659.00 ","$4,544,953.00 ","$2,974,042.00 ","$5,332,244.00 ","$28,201,349.00 ","$1,430,275.00 ","$793,435.00 ","$4,029,864.00 ","$671,078.00 ","$3,617,497.00 ","$4,551,261.00 ","$9,600,249.00 "
University of North Dakota,200280,2018,Football Championship Subdivision,,"$27,455,093.00 ","$239,815.00 ",$0.00 ,"$261,003.00 ","$1,443,011.00 ","$843,225.00 ","$119,125.00 ","$433,490.00 ","$3,495,608.00 ","$8,245,179.00 ","$3,980,510.00 ","$3,170,877.00 ","$5,223,250.00 ","$28,656,183.00 ","$1,670,854.00 ","$1,059,726.00 ","$4,692,303.00 ","$910,200.00 ","$2,166,798.00 ","$5,163,473.00 ","$9,379,909.00 "
University of North Dakota,200280,2019,Football Championship Subdivision,,"$30,414,914.00 ","$258,492.00 ",$0.00 ,$0.00 ,"$1,534,579.00 ","$799,558.00 ","$339,189.00 ","$445,986.00 ","$3,797,302.00 ","$10,738,088.00 ","$4,211,510.00 ","$2,836,604.00 ","$5,453,606.00 ","$30,499,909.00 ","$1,941,530.00 ","$1,008,946.00 ","$5,414,439.00 ","$890,056.00 ","$1,969,042.00 ","$4,994,577.00 ","$10,807,357.00 "
University of North Dakota,200280,2020,Football Championship Subdivision,,"$28,646,449.00 ","$275,951.00 ",$0.00 ,"$172,255.00 ","$1,457,494.00 ","$976,334.00 ","$312,610.00 ","$308,904.00 ","$3,121,617.00 ","$8,921,879.00 ","$4,495,478.00 ","$3,107,671.00 ","$5,496,256.00 ","$28,632,782.00 ","$1,657,546.00 ","$993,570.00 ","$3,711,584.00 ","$633,500.00 ","$1,372,836.00 ","$4,919,814.00 ","$11,985,781.00 "
University of North Dakota,200280,2021,Football Championship Subdivision,,"$25,166,587.00 ","$255,746.00 ",$0.00 ,"$35,038.00 ","$1,274,254.00 ","$1,123,128.00 ",$0.00 ,"$108,088.00 ","$2,336,330.00 ","$6,097,796.00 ","$4,848,007.00 ","$3,163,082.00 ","$5,925,118.00 ","$25,128,147.00 ","$1,572,860.00 ","$379,631.00 ","$3,507,499.00 ","$112,500.00 ","$1,990,501.00 ","$766,385.00 ","$13,714,955.00 "
University of North Dakota,200280,2022,Football Championship Subdivision,,"$30,837,768.00 ","$243,510.00 ",$0.00 ,"$67,513.00 ","$1,301,760.00 ","$1,137,554.00 ","$327,539.00 ","$450,267.00 ","$4,443,893.00 ","$8,968,978.00 ","$4,758,463.00 ","$3,200,355.00 ","$5,937,936.00 ","$30,859,877.00 ","$2,327,565.00 ","$1,041,243.00 ","$3,877,419.00 ","$712,500.00 ","$2,248,996.00 ","$5,874,403.00 ","$11,693,936.00 "
University of North Dakota,200280,2023,Football Championship Subdivision,,"$33,092,635.00 ","$333,921.00 ",$0.00 ,$0.00 ,"$2,197,955.00 ","$1,164,863.00 ","$268,170.00 ","$532,156.00 ","$5,413,387.00 ","$8,802,584.00 ","$4,783,392.00 ","$3,421,073.00 ","$6,175,134.00 ","$33,377,645.00 ","$2,560,770.00 ","$1,326,314.00 ","$5,699,033.00 ","$717,500.00 ","$2,642,469.00 ","$5,403,735.00 ","$11,944,009.00 "
University of North Dakota,200280,2024,Football Championship Subdivision,,"$36,845,108.00 ","$405,101.00 ",$0.00 ,"$36,664.00 ","$2,701,184.00 ","$1,408,562.00 ","$455,588.00 ","$605,691.00 ","$4,781,712.00 ","$10,499,598.00 ","$5,585,711.00 ","$3,983,467.00 ","$6,381,830.00 ","$36,995,926.00 ","$2,948,587.00 ","$1,486,169.00 ","$5,889,084.00 ","$902,900.00 ","$2,769,299.00 ","$6,538,417.00 ","$13,377,655.00 "
North Dakota State University,200332,2005,Football Championship Subdivision,,"$7,784,835.00 ",,$0.00 ,$0.00 ,"$1,177,859.00 ","$56,368.00 ","$378,077.00 ","$274,872.00 ","$1,249,081.00 ","$220,954.00 ","$1,748,879.00 ","$1,230,334.00 ","$1,448,411.00 ","$7,784,835.00 ","$746,326.00 ","$349,670.00 ","$2,073,160.00 ","$92,000.00 ","$99,252.00 ","$855,259.00 ","$2,705,646.00 "
North Dakota State University,200332,2006,Football Championship Subdivision,,"$8,889,021.00 ",,$0.00 ,"$66,000.00 ","$995,669.00 ","$74,806.00 ","$136,512.00 ","$314,139.00 ","$1,565,542.00 ","$278,101.00 ","$1,958,593.00 ","$1,637,952.00 ","$1,861,707.00 ","$8,889,021.00 ","$826,980.00 ","$370,098.00 ","$2,426,975.00 ","$317,800.00 ","$86,000.00 ","$949,125.00 ","$3,022,987.00 "
North Dakota State University,200332,2007,Football Championship Subdivision,,"$10,226,444.00 ",,$0.00 ,"$15,913.00 ","$1,357,541.00 ","$142,504.00 ","$216,428.00 ","$348,313.00 ","$1,815,928.00 ","$396,889.00 ","$2,169,175.00 ","$1,713,983.00 ","$2,049,770.00 ","$10,226,444.00 ","$1,004,328.00 ","$455,340.00 ","$2,267,929.00 ","$704,000.00 ","$55,515.00 ","$1,138,672.00 ","$3,690,350.00 "
North Dakota State University,200332,2008,Football Championship Subdivision,,"$11,668,000.00 ",,$0.00 ,$0.00 ,"$1,854,494.00 ","$162,396.00 ","$242,914.00 ","$348,750.00 ","$2,014,604.00 ","$478,042.00 ","$2,512,042.00 ","$1,837,222.00 ","$2,217,536.00 ","$11,656,603.00 ","$1,447,706.00 ","$696,551.00 ","$1,945,940.00 ","$647,236.00 ","$28,091.00 ","$1,332,994.00 ","$4,590,643.00 "
North Dakota State University,200332,2009,Football Championship Subdivision,,"$13,101,951.00 ",,$0.00 ,$0.00 ,"$1,959,162.00 ","$168,211.00 ","$291,288.00 ","$327,604.00 ","$2,195,418.00 ","$555,090.00 ","$2,888,939.00 ","$2,233,626.00 ","$2,482,613.00 ","$13,218,670.00 ","$1,599,323.00 ","$787,818.00 ","$2,092,115.00 ","$435,250.00 ","$64,436.00 ","$1,738,148.00 ","$5,440,543.00 "
North Dakota State University,200332,2010,Football Championship Subdivision,,"$14,424,439.00 ",,$0.00 ,"$3,880.00 ","$1,965,247.00 ","$359,147.00 ","$204,150.00 ","$338,540.00 ","$2,353,777.00 ","$1,065,337.00 ","$3,059,355.00 ","$2,347,134.00 ","$2,727,872.00 ","$14,466,950.00 ","$1,752,398.00 ","$870,038.00 ","$2,502,028.00 ","$494,000.00 ","$82,432.00 ","$1,638,848.00 ","$6,061,447.00 "
North Dakota State University,200332,2011,Football Championship Subdivision,,"$15,351,245.00 ",,$0.00 ,$0.00 ,"$2,207,139.00 ","$232,180.00 ","$294,968.00 ","$382,582.00 ","$2,698,302.00 ","$733,845.00 ","$3,291,194.00 ","$2,661,868.00 ","$2,849,167.00 ","$15,273,267.00 ","$1,589,610.00 ","$1,243,926.00 ","$2,068,086.00 ","$533,000.00 ","$512,202.00 ","$2,014,583.00 ","$6,246,120.00 "
North Dakota State University,200332,2012,Football Championship Subdivision,,"$16,831,447.00 ",,$0.00 ,"$42,394.00 ","$2,340,509.00 ","$234,110.00 ","$341,677.00 ","$364,112.00 ","$3,438,131.00 ","$880,189.00 ","$3,451,244.00 ","$2,745,624.00 ","$2,993,457.00 ","$16,825,511.00 ","$1,861,050.00 ","$955,174.00 ","$2,632,918.00 ","$598,500.00 ","$600,870.00 ","$2,915,196.00 ","$6,199,246.00 "
North Dakota State University,200332,2013,Football Championship Subdivision,,"$18,702,969.00 ",,$0.00 ,"$3,868.00 ","$2,060,389.00 ","$294,498.00 ","$374,734.00 ","$385,431.00 ","$4,265,308.00 ","$1,353,870.00 ","$3,685,089.00 ","$3,008,865.00 ","$3,270,917.00 ","$18,861,510.00 ","$2,002,876.00 ","$1,280,879.00 ","$3,099,346.00 ","$433,000.00 ","$800,881.00 ","$3,438,326.00 ","$6,719,154.00 "
North Dakota State University,200332,2014,Football Championship Subdivision,,"$20,618,838.00 ",,$0.00 ,"$157,812.00 ","$2,428,260.00 ","$266,140.00 ","$414,971.00 ","$412,060.00 ","$4,630,665.00 ","$1,464,740.00 ","$3,973,886.00 ","$3,409,214.00 ","$3,461,090.00 ","$20,712,638.00 ","$2,118,449.00 ","$1,539,931.00 ","$3,660,022.00 ","$654,000.00 ","$1,000,591.00 ","$3,745,595.00 ","$6,857,289.00 "
North Dakota State University,200332,2015,Football Championship Subdivision,,"$22,268,430.00 ",,$0.00 ,"$32,307.00 ","$2,359,746.00 ","$257,540.00 ","$335,145.00 ","$429,486.00 ","$5,191,924.00 ","$2,496,658.00 ","$4,223,862.00 ","$3,440,018.00 ","$3,501,744.00 ","$22,316,980.00 ","$2,471,495.00 ","$1,748,448.00 ","$4,067,171.00 ","$469,500.00 ","$1,001,184.00 ","$4,498,064.00 ","$6,561,057.00 "
North Dakota State University,200332,2016,Football Championship Subdivision,,"$23,517,458.00 ","$241,363.00 ",$0.00 ,"$29,280.00 ","$2,247,291.00 ","$493,505.00 ","$194,800.00 ","$467,736.00 ","$5,304,489.00 ","$2,783,575.00 ","$4,508,854.00 ","$3,589,175.00 ","$3,657,390.00 ","$25,278,776.00 ","$2,344,481.00 ","$1,863,521.00 ","$6,241,102.00 ","$252,354.00 ","$1,024,024.00 ","$4,840,815.00 ","$7,293,422.00 "
North Dakota State University,200332,2017,Football Championship Subdivision,,"$28,124,505.00 ","$245,690.00 ",$0.00 ,"$76,309.00 ","$2,573,897.00 ","$394,139.00 ","$363,845.00 ","$488,779.00 ","$5,122,619.00 ","$5,984,929.00 ","$4,626,341.00 ","$3,775,236.00 ","$4,472,721.00 ","$27,267,507.00 ","$2,379,292.00 ","$1,910,876.00 ","$6,638,701.00 ","$862,500.00 ","$1,971,676.00 ","$5,624,229.00 ","$6,461,176.00 "
North Dakota State University,200332,2018,Football Championship Subdivision,,"$28,025,664.00 ","$251,962.00 ",$0.00 ,"$51,950.00 ","$2,214,034.00 ","$439,265.00 ","$562,032.00 ","$511,811.00 ","$5,637,160.00 ","$4,745,363.00 ","$4,954,689.00 ","$3,915,154.00 ","$4,742,244.00 ","$28,144,888.00 ","$2,534,329.00 ","$2,470,005.00 ","$6,718,703.00 ","$229,000.00 ","$1,590,393.00 ","$5,721,955.00 ","$7,392,593.00 "
North Dakota State University,200332,2019,Football Championship Subdivision,,"$27,489,584.00 ","$400,244.00 ",$0.00 ,"$290,931.00 ","$2,006,573.00 ","$365,508.00 ","$565,750.00 ","$499,391.00 ","$6,020,672.00 ","$3,368,152.00 ","$5,050,459.00 ","$4,098,177.00 ","$4,823,727.00 ","$27,252,716.00 ","$2,620,541.00 ","$2,568,080.00 ","$5,509,515.00 ","$237,400.00 ","$1,813,693.00 ","$6,379,573.00 ","$6,736,004.00 "
North Dakota State University,200332,2020,Football Championship Subdivision,,"$28,375,430.00 ","$410,425.00 ",$0.00 ,"$372,582.00 ","$1,644,077.00 ","$553,769.00 ","$476,683.00 ","$337,050.00 ","$5,622,645.00 ","$4,814,091.00 ","$5,115,084.00 ","$4,281,727.00 ","$4,747,297.00 ","$27,662,982.00 ","$2,369,605.00 ","$2,681,347.00 ","$5,198,489.00 ","$792,400.00 ","$1,392,136.00 ","$6,281,604.00 ","$7,614,207.00 "
North Dakota State University,200332,2021,Football Championship Subdivision,,"$22,006,716.00 ","$338,243.00 ",$0.00 ,"$152,394.00 ","$1,012,776.00 ","$468,646.00 ","$120,764.00 ","$59,467.00 ","$2,219,736.00 ","$3,717,729.00 ","$4,792,383.00 ","$3,962,172.00 ","$5,162,406.00 ","$22,169,077.00 ","$2,056,864.00 ","$2,472,035.00 ","$9,782,541.00 ","$159,500.00 ","$633,736.00 ","$1,830,938.00 ","$4,082,676.00 "
North Dakota State University,200332,2022,Football Championship Subdivision,,"$28,432,381.00 ","$431,812.00 ",$0.00 ,"$83,441.00 ","$1,832,566.00 ","$359,193.00 ","$548,981.00 ","$463,267.00 ","$5,704,755.00 ","$4,460,353.00 ","$5,295,224.00 ","$4,215,443.00 ","$5,037,346.00 ","$29,295,443.00 ","$4,043,402.00 ","$2,967,666.00 ","$6,636,653.00 ","$309,300.00 ","$1,777,982.00 ","$5,961,999.00 ","$6,220,309.00 "
North Dakota State University,200332,2023,Football Championship Subdivision,,"$31,870,398.00 ","$536,468.00 ",$0.00 ,"$99,847.00 ","$1,826,968.00 ","$419,574.00 ","$528,687.00 ","$462,624.00 ","$6,594,333.00 ","$6,332,078.00 ","$5,507,763.00 ","$4,515,582.00 ","$5,046,474.00 ","$32,377,629.00 ","$4,475,532.00 ","$3,078,803.00 ","$8,453,089.00 ","$780,250.00 ","$1,474,928.00 ","$5,897,659.00 ","$6,890,788.00 "
North Dakota State University,200332,2024,Football Championship Subdivision,,,,,,,,,,,,,,,,,,,,,,
