gameid,season,seasontype,startdate,team,conference,opponent,opponentconference,seasonlabel,tournament,starttimetbd,teamid,teamseed,opponentid,opponentseed,neutralsite,ishome,conferencegame,gametype,notes
77749,2012,regular,2011-11-11T17:00:00.000Z,New Orleans,Indep.,New Mexico,Mountain West,20112012,,True,193,,191,,False,False,False,STD,
77750,2012,regular,2011-11-11T19:00:00.000Z,Kansas City,Summit,Northwest Missouri St,,20112012,,False,130,,1402,,False,True,False,STD,
77750,2012,regular,2011-11-11T19:00:00.000Z,Northwest Missouri St,,Kansas City,Summit,20112012,,False,1402,,130,,False,False,False,STD,
77751,2012,regular,2011-11-11T20:00:00.000Z,Sacred Heart,NEC,Hartford,Am. East,20112012,,False,250,,363,,True,True,False,TRNMNT,
77751,2012,regular,2011-11-11T20:00:00.000Z,Hartford,Am. East,Sacred Heart,NEC,20112012,,False,363,,250,,True,False,False,TRNMNT,
77752,2012,regular,2011-11-11T21:30:00.000Z,Arizona State,Pac-12,Montana State,Big Sky,20112012,,False,10,,180,,False,True,False,STD,
77752,2012,regular,2011-11-11T21:30:00.000Z,Montana State,Big Sky,Arizona State,Pac-12,20112012,,False,180,,10,,False,False,False,STD,
77753,2012,regular,2011-11-11T22:00:00.000Z,Indiana State,MVC,Eastern Illinois,OVC,20112012,,False,122,,77,,False,True,False,STD,
77753,2012,regular,2011-11-11T22:00:00.000Z,Eastern Illinois,OVC,Indiana State,MVC,20112012,,False,77,,122,,False,False,False,STD,
77755,2012,regular,2011-11-11T22:00:00.000Z,Boston University,Am. East,Northeastern,CAA,20112012,,False,27,,205,,False,True,False,STD,
77755,2012,regular,2011-11-11T22:00:00.000Z,Northeastern,CAA,Boston University,Am. East,20112012,,False,205,,27,,False,False,False,STD,
77754,2012,regular,2011-11-11T22:00:00.000Z,Brown,Ivy,Johnson & Wales (CO),,20112012,,False,30,,1211,,False,True,False,STD,
77754,2012,regular,2011-11-11T22:00:00.000Z,Johnson & Wales (CO),,Brown,Ivy,20112012,,False,1211,,30,,False,False,False,STD,
77756,2012,regular,2011-11-11T22:30:00.000Z,Quinnipiac,NEC,Fairfield,MAAC,20112012,,False,238,,83,,True,True,False,TRNMNT,
77756,2012,regular,2011-11-11T22:30:00.000Z,Fairfield,MAAC,Quinnipiac,NEC,20112012,,False,83,,238,,True,False,False,TRNMNT,
77757,2012,regular,2011-11-11T23:00:00.000Z,Presbyterian,Big South,Montreat,,20112012,,False,233,,751,,False,True,True,STD,
77757,2012,regular,2011-11-11T23:00:00.000Z,Montreat,,Presbyterian,Big South,20112012,,False,751,,233,,False,False,True,STD,
77758,2012,regular,2011-11-11T23:30:00.000Z,Utah Valley,Great West,Simpson University (CA),,20112012,,False,332,,1141,,False,True,True,STD,
77758,2012,regular,2011-11-11T23:30:00.000Z,Simpson University (CA),,Utah Valley,Great West,20112012,,False,1141,,332,,False,False,True,STD,
77775,2012,regular,2011-11-12T00:00:00.000Z,Bowling Green,MAC,Howard,MEAC,20112012,,False,28,,114,,False,True,False,STD,
77775,2012,regular,2011-11-12T00:00:00.000Z,Howard,MEAC,Bowling Green,MAC,20112012,,False,114,,28,,False,False,False,STD,
77743,2012,regular,2011-11-12T00:00:00.000Z,Michigan,Big Ten,Ferris State,,20112012,,False,170,,1299,,False,True,False,STD,
77743,2012,regular,2011-11-12T00:00:00.000Z,Ferris State,,Michigan,Big Ten,20112012,,False,1299,,170,,False,False,False,STD,
77738,2012,regular,2011-11-12T00:00:00.000Z,Louisville,Big East,UT Martin,OVC,20112012,,False,150,,325,,False,True,False,STD,
77738,2012,regular,2011-11-12T00:00:00.000Z,UT Martin,OVC,Louisville,Big East,20112012,,False,325,,150,,False,False,False,STD,
77737,2012,regular,2011-11-12T00:00:00.000Z,Florida,SEC,Jackson State,SWAC,20112012,,False,87,,126,,False,True,False,STD,
77737,2012,regular,2011-11-12T00:00:00.000Z,Jackson State,SWAC,Florida,SEC,20112012,,False,126,,87,,False,False,False,STD,
77733,2012,regular,2011-11-12T00:00:00.000Z,Kentucky,SEC,Marist,MAAC,20112012,,False,135,,156,,False,True,False,STD,
77733,2012,regular,2011-11-12T00:00:00.000Z,Marist,MAAC,Kentucky,SEC,20112012,,False,156,,135,,False,False,False,STD,
77735,2012,regular,2011-11-12T00:00:00.000Z,UConn,Big East,Columbia,Ivy,20112012,,False,314,,58,,False,True,False,STD,
77735,2012,regular,2011-11-12T00:00:00.000Z,Columbia,Ivy,UConn,Big East,20112012,,False,58,,314,,False,False,False,STD,
77770,2012,regular,2011-11-12T00:00:00.000Z,Detroit Mercy,Horizon,Lake Erie,,20112012,,False,69,,899,,False,True,False,STD,
77770,2012,regular,2011-11-12T00:00:00.000Z,Lake Erie,,Detroit Mercy,Horizon,20112012,,False,899,,69,,False,False,False,STD,
77771,2012,regular,2011-11-12T00:00:00.000Z,Buffalo,MAC,Saint Peter's,MAAC,20112012,,False,33,,254,,False,True,False,STD,
77771,2012,regular,2011-11-12T00:00:00.000Z,Saint Peter's,MAAC,Buffalo,MAC,20112012,,False,254,,33,,False,False,False,STD,
77772,2012,regular,2011-11-12T00:00:00.000Z,App State,SoCon,Lees-McRae,,20112012,,False,9,,1010,,False,True,False,STD,
77772,2012,regular,2011-11-12T00:00:00.000Z,Lees-McRae,,App State,SoCon,20112012,,False,1010,,9,,False,False,False,STD,
77773,2012,regular,2011-11-12T00:00:00.000Z,Coastal Carolina,Big South,Covenant,,20112012,,False,54,,840,,False,True,True,STD,
77773,2012,regular,2011-11-12T00:00:00.000Z,Covenant,,Coastal Carolina,Big South,20112012,,False,840,,54,,False,False,True,STD,
77774,2012,regular,2011-11-12T00:00:00.000Z,Villanova,Big East,Monmouth,NEC,20112012,,False,338,,178,,False,True,False,STD,
77774,2012,regular,2011-11-12T00:00:00.000Z,Monmouth,NEC,Villanova,Big East,20112012,,False,178,,338,,False,False,False,STD,
77776,2012,regular,2011-11-12T00:00:00.000Z,St. Bonaventure,A-10,Cornell,Ivy,20112012,,False,277,,60,,False,True,False,STD,
77776,2012,regular,2011-11-12T00:00:00.000Z,Cornell,Ivy,St. Bonaventure,A-10,20112012,,False,60,,277,,False,False,False,STD,
77777,2012,regular,2011-11-12T00:00:00.000Z,New Hampshire,Am. East,Suffolk,,20112012,,False,190,,1365,,False,True,False,STD,
77777,2012,regular,2011-11-12T00:00:00.000Z,Suffolk,,New Hampshire,Am. East,20112012,,False,1365,,190,,False,False,False,STD,
77778,2012,regular,2011-11-12T00:00:00.000Z,Wake Forest,ACC,Loyola Maryland,MAAC,20112012,,False,342,,152,,False,True,False,STD,
77778,2012,regular,2011-11-12T00:00:00.000Z,Loyola Maryland,MAAC,Wake Forest,ACC,20112012,,False,152,,342,,False,False,False,STD,
77779,2012,regular,2011-11-12T00:00:00.000Z,NC State,ACC,UNC Asheville,Big South,20112012,,False,185,,319,,False,True,False,STD,
77779,2012,regular,2011-11-12T00:00:00.000Z,UNC Asheville,Big South,NC State,ACC,20112012,,False,319,,185,,False,False,False,STD,
77780,2012,regular,2011-11-12T00:00:00.000Z,East Carolina,CUSA,Milligan,,20112012,,False,74,,786,,False,True,False,STD,
77780,2012,regular,2011-11-12T00:00:00.000Z,Milligan,,East Carolina,CUSA,20112012,,False,786,,74,,False,False,False,STD,
77781,2012,regular,2011-11-12T00:00:00.000Z,Michigan State,Big Ten,North Carolina,ACC,20112012,,False,169,,200,,True,True,False,TRNMNT,
77781,2012,regular,2011-11-12T00:00:00.000Z,North Carolina,ACC,Michigan State,Big Ten,20112012,,False,200,,169,,True,False,False,TRNMNT,
77782,2012,regular,2011-11-12T00:00:00.000Z,Harvard,Ivy,MIT,,20112012,,False,107,,1093,,False,True,False,STD,
77782,2012,regular,2011-11-12T00:00:00.000Z,MIT,,Harvard,Ivy,20112012,,False,1093,,107,,False,False,False,STD,
77783,2012,regular,2011-11-12T00:00:00.000Z,IU Indianapolis,Summit,Anderson (IN),,20112012,,False,115,,823,,False,True,False,STD,
77783,2012,regular,2011-11-12T00:00:00.000Z,Anderson (IN),,IU Indianapolis,Summit,20112012,,False,823,,115,,False,False,False,STD,
77784,2012,regular,2011-11-12T00:00:00.000Z,Indiana,Big Ten,Stony Brook,Am. East,20112012,,False,121,,285,,False,True,False,STD,
77784,2012,regular,2011-11-12T00:00:00.000Z,Stony Brook,Am. East,Indiana,Big Ten,20112012,,False,285,,121,,False,False,False,STD,
77785,2012,regular,2011-11-12T00:00:00.000Z,Florida State,ACC,Jacksonville,ASUN,20112012,,False,90,,127,,False,True,False,STD,
77785,2012,regular,2011-11-12T00:00:00.000Z,Jacksonville,ASUN,Florida State,ACC,20112012,,False,127,,90,,False,False,False,STD,
77786,2012,regular,2011-11-12T00:00:00.000Z,George Washington,A-10,Maryland Eastern Shore,MEAC,20112012,,False,96,,159,,False,True,False,STD,
77786,2012,regular,2011-11-12T00:00:00.000Z,Maryland Eastern Shore,MEAC,George Washington,A-10,20112012,,False,159,,96,,False,False,False,STD,
77739,2012,regular,2011-11-12T00:00:00.000Z,Pittsburgh,Big East,UAlbany,Am. East,20112012,,False,229,,306,,False,True,False,STD,
77739,2012,regular,2011-11-12T00:00:00.000Z,UAlbany,Am. East,Pittsburgh,Big East,20112012,,False,306,,229,,False,False,False,STD,
77741,2012,regular,2011-11-12T00:00:00.000Z,Xavier,A-10,Morgan State,MEAC,20112012,,False,359,,182,,False,True,False,STD,
77741,2012,regular,2011-11-12T00:00:00.000Z,Morgan State,MEAC,Xavier,A-10,20112012,,False,182,,359,,False,False,False,STD,
77759,2012,regular,2011-11-12T00:00:00.000Z,Tennessee,SEC,UNC Greensboro,SoCon,20112012,,False,292,,320,,False,True,False,TRNMNT,
77759,2012,regular,2011-11-12T00:00:00.000Z,UNC Greensboro,SoCon,Tennessee,SEC,20112012,,False,320,,292,,False,False,False,TRNMNT,
77760,2012,regular,2011-11-12T00:00:00.000Z,South Carolina,SEC,Western Carolina,SoCon,20112012,,False,266,,348,,False,True,False,STD,
77760,2012,regular,2011-11-12T00:00:00.000Z,Western Carolina,SoCon,South Carolina,SEC,20112012,,False,348,,266,,False,False,False,STD,
77761,2012,regular,2011-11-12T00:00:00.000Z,Robert Morris,NEC,Rider,MAAC,20112012,,False,244,,243,,False,True,False,STD,
77761,2012,regular,2011-11-12T00:00:00.000Z,Rider,MAAC,Robert Morris,NEC,20112012,,False,243,,244,,False,False,False,STD,
77762,2012,regular,2011-11-12T00:00:00.000Z,Radford,Big South,Delaware,CAA,20112012,,False,239,,66,,False,True,False,STD,
77762,2012,regular,2011-11-12T00:00:00.000Z,Delaware,CAA,Radford,Big South,20112012,,False,66,,239,,False,False,False,STD,
77763,2012,regular,2011-11-12T00:00:00.000Z,Purdue,Big Ten,Northern Illinois,MAC,20112012,,False,236,,208,,False,True,False,STD,
77763,2012,regular,2011-11-12T00:00:00.000Z,Northern Illinois,MAC,Purdue,Big Ten,20112012,,False,208,,236,,False,False,False,STD,
77764,2012,regular,2011-11-12T00:00:00.000Z,Miami,ACC,Tennessee Tech,OVC,20112012,,False,168,,291,,False,True,False,STD,
77764,2012,regular,2011-11-12T00:00:00.000Z,Tennessee Tech,OVC,Miami,ACC,20112012,,False,291,,168,,False,False,False,STD,
77765,2012,regular,2011-11-12T00:00:00.000Z,Longwood,Indep.,Navy,Patriot,20112012,,False,147,,187,,False,True,False,STD,
77765,2012,regular,2011-11-12T00:00:00.000Z,Navy,Patriot,Longwood,Indep.,20112012,,False,187,,147,,False,False,False,STD,
77766,2012,regular,2011-11-12T00:00:00.000Z,Liberty,Big South,Randolph College,,20112012,,False,142,,538,,False,True,True,STD,
77766,2012,regular,2011-11-12T00:00:00.000Z,Randolph College,,Liberty,Big South,20112012,,False,538,,142,,False,False,True,STD,
77767,2012,regular,2011-11-12T00:00:00.000Z,La Salle,A-10,Lafayette,Patriot,20112012,,False,137,,138,,False,True,False,STD,
77767,2012,regular,2011-11-12T00:00:00.000Z,Lafayette,Patriot,La Salle,A-10,20112012,,False,138,,137,,False,False,False,STD,
77768,2012,regular,2011-11-12T00:00:00.000Z,Hofstra,CAA,Long Island University,NEC,20112012,,False,110,,146,,False,True,False,STD,
77768,2012,regular,2011-11-12T00:00:00.000Z,Long Island University,NEC,Hofstra,CAA,20112012,,False,146,,110,,False,False,False,STD,
77769,2012,regular,2011-11-12T00:00:00.000Z,Eastern Michigan,MAC,UIC,Horizon,20112012,,False,79,,315,,False,True,False,STD,
77769,2012,regular,2011-11-12T00:00:00.000Z,UIC,Horizon,Eastern Michigan,MAC,20112012,,False,315,,79,,False,False,False,STD,
77787,2012,regular,2011-11-12T00:15:00.000Z,Stetson,ASUN,Bethune-Cookman,MEAC,20112012,,False,283,,23,,False,True,False,STD,
77787,2012,regular,2011-11-12T00:15:00.000Z,Bethune-Cookman,MEAC,Stetson,ASUN,20112012,,False,23,,283,,False,False,False,STD,
77791,2012,regular,2011-11-12T00:30:00.000Z,George Mason,CAA,Rhode Island,A-10,20112012,,False,95,,240,,False,True,False,STD,
77791,2012,regular,2011-11-12T00:30:00.000Z,Rhode Island,A-10,George Mason,CAA,20112012,,False,240,,95,,False,False,False,STD,
77796,2012,regular,2011-11-12T00:30:00.000Z,Richmond,A-10,American University,Patriot,20112012,,False,242,,8,,False,True,False,STD,
77796,2012,regular,2011-11-12T00:30:00.000Z,American University,Patriot,Richmond,A-10,20112012,,False,8,,242,,False,False,False,STD,
77794,2012,regular,2011-11-12T00:30:00.000Z,Georgia Southern,SoCon,Valparaiso,Horizon,20112012,,False,99,,335,,False,True,False,STD,
77794,2012,regular,2011-11-12T00:30:00.000Z,Valparaiso,Horizon,Georgia Southern,SoCon,20112012,,False,335,,99,,False,False,False,STD,
77790,2012,regular,2011-11-12T00:30:00.000Z,UMBC,Am. East,Pennsylvania,Ivy,20112012,,False,317,,227,,False,True,False,STD,
77790,2012,regular,2011-11-12T00:30:00.000Z,Pennsylvania,Ivy,UMBC,Am. East,20112012,,False,227,,317,,False,False,False,STD,
77797,2012,regular,2011-11-12T00:30:00.000Z,Southern Utah,Summit,UC Davis,Big West,20112012,,False,276,,307,,True,True,False,TRNMNT,
77797,2012,regular,2011-11-12T00:30:00.000Z,UC Davis,Big West,Southern Utah,Summit,20112012,,False,307,,276,,True,False,False,TRNMNT,
77798,2012,regular,2011-11-12T00:30:00.000Z,Charleston,SoCon,Holy Cross,Patriot,20112012,,False,46,,111,,False,True,False,STD,
77798,2012,regular,2011-11-12T00:30:00.000Z,Holy Cross,Patriot,Charleston,SoCon,20112012,,False,111,,46,,False,False,False,STD,
77799,2012,regular,2011-11-12T00:30:00.000Z,Furman,SoCon,Roanoke,,20112012,,False,93,,1317,,False,True,False,STD,
77799,2012,regular,2011-11-12T00:30:00.000Z,Roanoke,,Furman,SoCon,20112012,,False,1317,,93,,False,False,False,STD,
77801,2012,regular,2011-11-12T00:30:00.000Z,Ole Miss,SEC,UL Monroe,Sun Belt,20112012,,False,220,,316,,False,True,False,STD,
77801,2012,regular,2011-11-12T00:30:00.000Z,UL Monroe,Sun Belt,Ole Miss,SEC,20112012,,False,316,,220,,False,False,False,STD,
77800,2012,regular,2011-11-12T00:30:00.000Z,Rutgers,Big East,Dartmouth,Ivy,20112012,,False,245,,62,,False,True,False,STD,
77800,2012,regular,2011-11-12T00:30:00.000Z,Dartmouth,Ivy,Rutgers,Big East,20112012,,False,62,,245,,False,False,False,STD,
77793,2012,regular,2011-11-12T00:30:00.000Z,Campbell,Big South,Houston Christian,Great West,20112012,,False,41,,112,,False,True,True,STD,
77793,2012,regular,2011-11-12T00:30:00.000Z,Houston Christian,Great West,Campbell,Big South,20112012,,False,112,,41,,False,False,True,STD,
77792,2012,regular,2011-11-12T00:30:00.000Z,Coppin State,MEAC,Cheyney (PA),,20112012,,False,59,,505,,False,True,False,STD,
77792,2012,regular,2011-11-12T00:30:00.000Z,Cheyney (PA),,Coppin State,MEAC,20112012,,False,505,,59,,False,False,False,STD,
77788,2012,regular,2011-11-12T00:30:00.000Z,VCU,CAA,St. Francis (PA),NEC,20112012,,False,333,,278,,False,True,False,STD,
77788,2012,regular,2011-11-12T00:30:00.000Z,St. Francis (PA),NEC,VCU,CAA,20112012,,False,278,,333,,False,False,False,STD,
77789,2012,regular,2011-11-12T00:30:00.000Z,Charlotte,A-10,North Carolina Central,MEAC,20112012,,False,48,,199,,False,True,False,STD,
77789,2012,regular,2011-11-12T00:30:00.000Z,North Carolina Central,MEAC,Charlotte,A-10,20112012,,False,199,,48,,False,False,False,STD,
77795,2012,regular,2011-11-12T00:30:00.000Z,Marshall,CUSA,Alabama State,SWAC,20112012,,False,158,,6,,False,True,False,STD,
77795,2012,regular,2011-11-12T00:30:00.000Z,Alabama State,SWAC,Marshall,CUSA,20112012,,False,6,,158,,False,False,False,STD,
77789,2012,regular,2011-11-12T00:30:00.000Z,Charlotte,CUSA,North Carolina Central,MEAC,20112012,,False,48,,199,,False,True,False,STD,
77789,2012,regular,2011-11-12T00:30:00.000Z,North Carolina Central,MEAC,Charlotte,CUSA,20112012,,False,199,,48,,False,False,False,STD,
77824,2012,regular,2011-11-12T01:00:00.000Z,Arkansas,SEC,South Carolina Upstate,ASUN,20112012,,False,12,,268,,False,True,False,STD,
77824,2012,regular,2011-11-12T01:00:00.000Z,South Carolina Upstate,ASUN,Arkansas,SEC,20112012,,False,268,,12,,False,False,False,STD,
77744,2012,regular,2011-11-12T01:00:00.000Z,Alabama,SEC,North Florida,ASUN,20112012,,False,5,,203,,False,True,False,STD,
77744,2012,regular,2011-11-12T01:00:00.000Z,North Florida,ASUN,Alabama,SEC,20112012,,False,203,,5,,False,False,False,STD,
77748,2012,regular,2011-11-12T01:00:00.000Z,Missouri,Big 12,Southeast Missouri State,OVC,20112012,,False,177,,272,,False,True,False,STD,
77748,2012,regular,2011-11-12T01:00:00.000Z,Southeast Missouri State,OVC,Missouri,Big 12,20112012,,False,272,,177,,False,False,False,STD,
77802,2012,regular,2011-11-12T01:00:00.000Z,Yale,Ivy,Central Connecticut,NEC,20112012,,False,360,,44,,True,True,False,TRNMNT,
77802,2012,regular,2011-11-12T01:00:00.000Z,Central Connecticut,NEC,Yale,Ivy,20112012,,False,44,,360,,True,False,False,TRNMNT,
77803,2012,regular,2011-11-12T01:00:00.000Z,Green Bay,Horizon,University of Mary,,20112012,,False,105,,1265,,False,True,False,STD,
77803,2012,regular,2011-11-12T01:00:00.000Z,University of Mary,,Green Bay,Horizon,20112012,,False,1265,,105,,False,False,False,STD,
77804,2012,regular,2011-11-12T01:00:00.000Z,TCU,Mountain West,Florida Gulf Coast,ASUN,20112012,,False,287,,88,,False,True,False,STD,
77804,2012,regular,2011-11-12T01:00:00.000Z,Florida Gulf Coast,ASUN,TCU,Mountain West,20112012,,False,88,,287,,False,False,False,STD,
77805,2012,regular,2011-11-12T01:00:00.000Z,Stephen F. Austin,Southland,Centenary (LA),,20112012,,False,282,,367,,False,True,True,STD,
77805,2012,regular,2011-11-12T01:00:00.000Z,Centenary (LA),,Stephen F. Austin,Southland,20112012,,False,367,,282,,False,False,True,STD,
77806,2012,regular,2011-11-12T01:00:00.000Z,SMU,CUSA,McMurry,,20112012,,False,248,,615,,False,True,False,STD,
77806,2012,regular,2011-11-12T01:00:00.000Z,McMurry,,SMU,CUSA,20112012,,False,615,,248,,False,False,False,STD,
77807,2012,regular,2011-11-12T01:00:00.000Z,Northwestern State,Southland,LeTourneau,,20112012,,False,211,,648,,False,True,True,STD,
77807,2012,regular,2011-11-12T01:00:00.000Z,LeTourneau,,Northwestern State,Southland,20112012,,False,648,,211,,False,False,True,STD,
77808,2012,regular,2011-11-12T01:00:00.000Z,Middle Tennessee,Sun Belt,Austin Peay,OVC,20112012,,False,171,,17,,False,True,False,STD,
77808,2012,regular,2011-11-12T01:00:00.000Z,Austin Peay,OVC,Middle Tennessee,Sun Belt,20112012,,False,17,,171,,False,False,False,STD,
77809,2012,regular,2011-11-12T01:00:00.000Z,Kansas State,Big 12,Charleston Southern,Big South,20112012,,False,132,,47,,False,True,False,STD,
77809,2012,regular,2011-11-12T01:00:00.000Z,Charleston Southern,Big South,Kansas State,Big 12,20112012,,False,47,,132,,False,False,False,STD,
77810,2012,regular,2011-11-12T01:00:00.000Z,Kansas,Big 12,Towson,CAA,20112012,,False,131,,301,,False,True,False,TRNMNT,
77810,2012,regular,2011-11-12T01:00:00.000Z,Towson,CAA,Kansas,Big 12,20112012,,False,301,,131,,False,False,False,TRNMNT,
77811,2012,regular,2011-11-12T01:00:00.000Z,Iowa,Big Ten,Chicago State,Indep.,20112012,,False,124,,50,,False,True,False,STD,
77811,2012,regular,2011-11-12T01:00:00.000Z,Chicago State,Indep.,Iowa,Big Ten,20112012,,False,50,,124,,False,False,False,STD,
77811,2012,regular,2011-11-12T01:00:00.000Z,Iowa,Big Ten,Chicago State,Great West,20112012,,False,124,,50,,False,True,False,STD,
77811,2012,regular,2011-11-12T01:00:00.000Z,Chicago State,Great West,Iowa,Big Ten,20112012,,False,50,,124,,False,False,False,STD,
77812,2012,regular,2011-11-12T01:00:00.000Z,Davidson,SoCon,Guilford,,20112012,,False,63,,975,,False,True,False,STD,
77812,2012,regular,2011-11-12T01:00:00.000Z,Guilford,,Davidson,SoCon,20112012,,False,975,,63,,False,False,False,STD,
77813,2012,regular,2011-11-12T01:00:00.000Z,North Texas,Sun Belt,St Gregory's,,20112012,,False,204,,1389,,False,True,False,STD,
77813,2012,regular,2011-11-12T01:00:00.000Z,St Gregory's,,North Texas,Sun Belt,20112012,,False,1389,,204,,False,False,False,STD,
77814,2012,regular,2011-11-12T01:00:00.000Z,Clemson,ACC,Gardner-Webb,Big South,20112012,,False,52,,94,,False,True,False,STD,
77814,2012,regular,2011-11-12T01:00:00.000Z,Gardner-Webb,Big South,Clemson,ACC,20112012,,False,94,,52,,False,False,False,STD,
77815,2012,regular,2011-11-12T01:00:00.000Z,Tulsa,CUSA,Little Rock,Sun Belt,20112012,,False,304,,144,,False,True,False,STD,
77815,2012,regular,2011-11-12T01:00:00.000Z,Little Rock,Sun Belt,Tulsa,CUSA,20112012,,False,144,,304,,False,False,False,STD,
77816,2012,regular,2011-11-12T01:00:00.000Z,Oklahoma,Big 12,Idaho State,Big Sky,20112012,,False,217,,116,,False,True,False,STD,
77816,2012,regular,2011-11-12T01:00:00.000Z,Idaho State,Big Sky,Oklahoma,Big 12,20112012,,False,116,,217,,False,False,False,STD,
77817,2012,regular,2011-11-12T01:00:00.000Z,Oklahoma State,Big 12,Texas A&M-Corpus Christi,Southland,20112012,,False,218,,294,,False,True,False,STD,
77817,2012,regular,2011-11-12T01:00:00.000Z,Texas A&M-Corpus Christi,Southland,Oklahoma State,Big 12,20112012,,False,294,,218,,False,False,False,STD,
77818,2012,regular,2011-11-12T01:00:00.000Z,Nebraska,Big Ten,South Dakota,Summit,20112012,,False,188,,269,,False,True,False,STD,
77818,2012,regular,2011-11-12T01:00:00.000Z,South Dakota,Summit,Nebraska,Big Ten,20112012,,False,269,,188,,False,False,False,STD,
77819,2012,regular,2011-11-12T01:00:00.000Z,Minnesota,Big Ten,Bucknell,Patriot,20112012,,False,173,,32,,False,True,False,STD,
77819,2012,regular,2011-11-12T01:00:00.000Z,Bucknell,Patriot,Minnesota,Big Ten,20112012,,False,32,,173,,False,False,False,STD,
77820,2012,regular,2011-11-12T01:00:00.000Z,Western Kentucky,Sun Belt,Saint Joseph's,A-10,20112012,,False,350,,251,,False,True,False,STD,
77820,2012,regular,2011-11-12T01:00:00.000Z,Saint Joseph's,A-10,Western Kentucky,Sun Belt,20112012,,False,251,,350,,False,False,False,STD,
77821,2012,regular,2011-11-12T01:00:00.000Z,Georgia,SEC,Wofford,SoCon,20112012,,False,98,,356,,False,True,False,STD,
77821,2012,regular,2011-11-12T01:00:00.000Z,Wofford,SoCon,Georgia,SEC,20112012,,False,356,,98,,False,False,False,STD,
77822,2012,regular,2011-11-12T01:00:00.000Z,Georgia Tech,ACC,Florida A&M,MEAC,20112012,,False,101,,85,,False,True,False,STD,
77822,2012,regular,2011-11-12T01:00:00.000Z,Florida A&M,MEAC,Georgia Tech,ACC,20112012,,False,85,,101,,False,False,False,STD,
77823,2012,regular,2011-11-12T01:00:00.000Z,Yale,Ivy,Central Connecticut,NEC,20112012,,False,360,,44,,True,True,False,STD,
77823,2012,regular,2011-11-12T01:00:00.000Z,Central Connecticut,NEC,Yale,Ivy,20112012,,False,44,,360,,True,False,False,STD,
77825,2012,regular,2011-11-12T01:00:00.000Z,Auburn,SEC,McNeese,Southland,20112012,,False,16,,162,,False,True,False,STD,
77825,2012,regular,2011-11-12T01:00:00.000Z,McNeese,Southland,Auburn,SEC,20112012,,False,162,,16,,False,False,False,STD,
77826,2012,regular,2011-11-12T01:05:00.000Z,Creighton,MVC,North Carolina A&T,MEAC,20112012,,False,61,,198,,False,True,False,STD,
77826,2012,regular,2011-11-12T01:05:00.000Z,North Carolina A&T,MEAC,Creighton,MVC,20112012,,False,198,,61,,False,False,False,STD,
77827,2012,regular,2011-11-12T01:15:00.000Z,Lipscomb,ASUN,Fort Valley State,,20112012,,False,143,,820,,False,True,False,STD,
77827,2012,regular,2011-11-12T01:15:00.000Z,Fort Valley State,,Lipscomb,ASUN,20112012,,False,820,,143,,False,False,False,STD,
77831,2012,regular,2011-11-12T01:30:00.000Z,Saint Louis,A-10,Tennessee State,OVC,20112012,,False,252,,290,,False,True,False,STD,
