week,season,team,conference,off_plays,off_drives,off_ppa,off_totalPPA,off_successRate,off_explosiveness,off_powerSuccess,off_stuffRate,off_lineYards,off_lineYardsTotal,off_secondLevelYards,off_secondLevelYardsTotal,off_openFieldYards,off_openFieldYardsTotal,off_totalOpportunies,off_pointsPerOpportunity,off_fieldPosition,off_havoc,off_standardDowns,off_passingDowns,off_rushingPlays,off_passingPlays,def_plays,def_drives,def_ppa,def_totalPPA,def_successRate,def_explosiveness,def_powerSuccess,def_stuffRate,def_lineYards,def_lineYardsTotal,def_secondLevelYards,def_secondLevelYardsTotal,def_openFieldYards,def_openFieldYardsTotal,def_totalOpportunies,def_pointsPerOpportunity,def_fieldPosition,def_havoc,def_standardDowns,def_passingDowns,def_rushingPlays,def_passingPlays
1,2026,Kennesaw State,Conference USA,82,14,0.2889238382699472,23.69175473813567,0.573170731707317,1.1398710550423496,0.7777777777777778,0.15217391304347827,3.265217391304348,150,1.3695652173913042,63,2.4347826086956523,112,8,4.375,,,,,,,53,14,-0.24810234792514718,-13.149424440032801,0.1509433962264151,0.8919515753149165,1.0,0.25,1.8333333333333333,44,0.4583333333333333,11,0.125,0,0,0.0,,,,,,
1,2026,Massachusetts,Mid-American,65,12,0.32997264174661556,21.44822171353001,0.5230769230769231,1.040597861761411,0.7142857142857143,0.175,3.375,135,1.4,56,0.65,26,9,4.111111111111111,,,,,,,63,12,0.2030959004306255,12.795041727129407,0.3968253968253968,1.561455323235606,0.6,0.25,1.93,39,0.0,0,0.0,0,5,2.8,,,,,,
1,2026,Memphis,American Athletic,59,12,0.2880707494141955,16.996174215437534,0.4745762711864407,1.08802993636074,1.0,0.06060606060606061,4.03030303030303,133,1.4545454545454546,48,1.6363636363636365,54,5,4.0,,,,,,,81,13,0.09147047509478008,7.409108482677186,0.3333333333333333,1.4614148789186645,1.0,0.17647058823529413,2.7529411764705882,94,1.0882352941176472,37,2.764705882352941,0,7,3.0,,,,,,
1,2026,Minnesota,Big Ten,73,10,0.34214577920961986,24.976641882302253,0.6027397260273972,0.9752231854912969,0.6666666666666666,0.23076923076923078,2.4615384615384617,96,1.0256410256410255,40,0.9487179487179487,37,9,5.0,,,,,,,46,13,-0.38400880272659443,-17.664404925423344,0.10869565217391304,1.6579740660748787,0.0,0.4444444444444444,1.325925925925926,36,0.4074074074074074,11,0.25925925925925924,0,4,1.75,,,,,,
1,2026,Missouri,SEC,79,12,0.37848766838107384,29.90052580210483,0.569620253164557,1.1889365920601833,0.5714285714285714,0.1590909090909091,3.5454545454545454,156,1.2727272727272727,56,0.2727272727272727,12,9,5.0,,,,,,,54,11,0.08892159445717554,4.8017661006874786,0.2962962962962963,1.6125623392745059,1.0,0.25,3.0642857142857145,86,1.3928571428571428,39,2.25,0,3,4.666666666666667,,,,,,
1,2026,NC State,ACC,51,12,-0.1438403681738571,-7.335858776866712,0.3137254901960784,0.533800638173952,1.0,0.13636363636363635,3.140909090909091,69,0.8181818181818182,18,0.22727272727272727,5,2,3.5,,,,,,,71,12,0.27262204040865434,19.35616486901446,0.4788732394366197,1.0612371845133193,0.8333333333333334,0.14285714285714285,3.305357142857143,185,1.0178571428571428,57,0.7678571428571429,0,7,3.857142857142857,,,,,,
1,2026,New Mexico State,Conference USA,67,10,0.16265671619005154,10.897999984733453,0.34328358208955223,1.6364900147680257,1.0,0.1,2.965,59,0.75,15,0.1,2,4,4.25,,,,,,,67,10,0.2906623399155658,19.474376774342907,0.44776119402985076,1.3213901556467058,1.0,0.15789473684210525,3.442105263157895,131,1.1578947368421053,44,1.6842105263157896,0,7,4.857142857142857,,,,,,
1,2026,North Carolina,ACC,58,10,0.1071523441641766,6.214835961522243,0.46551724137931033,0.9192743541669987,0.0,0.14814814814814814,3.425925925925926,93,1.222222222222222,33,0.037037037037037035,1,5,2.6,,,,,,,72,10,-0.045868500416522164,-3.302532029989596,0.3333333333333333,1.2161647220811567,0.8,0.19444444444444445,2.4472222222222224,88,0.6666666666666666,24,1.0833333333333333,0,6,1.6666666666666667,,,,,,
1,2026,North Dakota State,Mountain West,69,10,0.21859413945719935,15.082995622546756,0.42028985507246375,1.1052351273516188,1.0,0.09523809523809523,3.342857142857143,140,1.0952380952380951,46,1.0952380952380951,46,6,4.333333333333333,,,,,,,55,11,-0.323923778153237,-17.815807798428033,0.3090909090909091,0.9822393646403389,0.4,0.21428571428571427,2.289285714285714,64,1.0714285714285714,30,0.6785714285714286,0,4,0.0,,,,,,
1,2026,Rutgers,Big Ten,63,12,0.2030959004306255,12.795041727129407,0.3968253968253968,1.561455323235606,0.6,0.25,1.93,39,0.0,0,0.0,0,5,2.8,,,,,,,65,12,0.32997264174661556,21.44822171353001,0.5230769230769231,1.040597861761411,0.7142857142857143,0.175,3.375,135,1.4,56,0.65,0,9,4.111111111111111,,,,,,
