gameId,date,season,stage,teamId,team,teamAbbrev,isHome,opponentId,opponent,team_score,opp_score,result,team_shootout_score,opp_shootout_score,status,venue,city,attendance,team_foulsCommitted,team_yellowCards,team_redCards,team_offsides,team_wonCorners,team_saves,team_possessionPct,team_totalShots,team_shotsOnTarget,team_shotPct,team_penaltyKickGoals,team_penaltyKickShots,team_accuratePasses,team_totalPasses,team_passPct,team_accurateCrosses,team_totalCrosses,team_crossPct,team_totalLongBalls,team_accurateLongBalls,team_longballPct,team_blockedShots,team_effectiveTackles,team_totalTackles,team_tacklePct,team_interceptions,team_effectiveClearance,team_totalClearance,opp_foulsCommitted,opp_yellowCards,opp_redCards,opp_offsides,opp_wonCorners,opp_saves,opp_possessionPct,opp_totalShots,opp_shotsOnTarget,opp_shotPct,opp_penaltyKickGoals,opp_penaltyKickShots,opp_accuratePasses,opp_totalPasses,opp_passPct,opp_accurateCrosses,opp_totalCrosses,opp_crossPct,opp_totalLongBalls,opp_accurateLongBalls,opp_longballPct,opp_blockedShots,opp_effectiveTackles,opp_totalTackles,opp_tacklePct,opp_interceptions,opp_effectiveClearance,opp_totalClearance
760424,2026-06-15,2026,group-stage,659,Tunisia,TUN,False,466,Sweden,1,5,L,,,FT,Estadio BBVA,Guadalupe,50987,8,1,0,6,2,1,51.3,6,2,0.3,0,0,292,371,0.8,3,13,0.2,53,24,0.5,1,12,21,0.6,6,13,13,10,0,0,3,4,1,48.7,13,7,0.5,0,0,278,356,0.8,3,12,0.3,58,22,0.4,3,9,14,0.6,6,23,23
760424,2026-06-15,2026,group-stage,466,Sweden,SWE,True,659,Tunisia,5,1,W,,,FT,Estadio BBVA,Guadalupe,50987,10,0,0,3,4,1,48.7,13,7,0.5,0,0,278,356,0.8,3,12,0.3,58,22,0.4,3,9,14,0.6,6,23,23,8,1,0,6,2,1,51.3,6,2,0.3,0,0,292,371,0.8,3,13,0.2,53,24,0.5,1,12,21,0.6,6,13,13
760426,2026-06-15,2026,group-stage,2620,Egypt,EGY,False,459,Belgium,1,1,D,,,FT,Lumen Field,"Seattle, Washington",66775,15,2,0,1,7,3,46.4,14,3,0.2,0,0,323,398,0.8,2,13,0.2,53,20,0.4,7,17,28,0.6,16,17,17,15,2,0,0,2,2,53.6,15,3,0.2,0,0,391,455,0.9,6,16,0.4,30,18,0.6,5,11,17,0.6,10,25,25
760426,2026-06-15,2026,group-stage,459,Belgium,BEL,True,2620,Egypt,1,1,D,,,FT,Lumen Field,"Seattle, Washington",66775,15,2,0,0,2,2,53.6,15,3,0.2,0,0,391,455,0.9,6,16,0.4,30,18,0.6,5,11,17,0.6,10,25,25,15,2,0,1,7,3,46.4,14,3,0.2,0,0,323,398,0.8,2,13,0.2,53,20,0.4,7,17,28,0.6,16,17,17
760428,2026-06-15,2026,group-stage,2597,Cape Verde,CPV,False,164,Spain,0,0,D,,,FT,Mercedes-Benz Stadium,"Atlanta, Georgia",67640,1,1,0,3,1,7,25.7,6,1,0.2,0,0,205,278,0.7,1,4,0.3,56,19,0.3,2,11,18,0.6,15,46,46,10,1,0,2,11,1,74.3,27,7,0.3,0,0,734,800,0.9,6,36,0.2,30,24,0.8,8,12,13,0.9,6,7,7
760428,2026-06-15,2026,group-stage,164,Spain,ESP,True,2597,Cape Verde,0,0,D,,,FT,Mercedes-Benz Stadium,"Atlanta, Georgia",67640,10,1,0,2,11,1,74.3,27,7,0.3,0,0,734,800,0.9,6,36,0.2,30,24,0.8,8,12,13,0.9,6,7,7,1,1,0,3,1,7,25.7,6,1,0.2,0,0,205,278,0.7,1,4,0.3,56,19,0.3,2,11,18,0.6,15,46,46
760429,2026-06-15,2026,group-stage,212,Uruguay,URU,False,655,Saudi Arabia,1,1,D,,,FT,Hard Rock Stadium,"Miami Gardens, Florida",62764,6,0,0,6,14,2,66.8,27,10,0.4,0,0,540,612,0.9,16,47,0.3,41,24,0.6,7,2,3,0.7,10,17,17,11,1,0,0,4,9,33.2,7,3,0.4,0,0,236,322,0.7,3,6,0.5,41,10,0.2,1,8,11,0.7,9,43,43
760429,2026-06-15,2026,group-stage,655,Saudi Arabia,KSA,True,212,Uruguay,1,1,D,,,FT,Hard Rock Stadium,"Miami Gardens, Florida",62764,11,1,0,0,4,9,33.2,7,3,0.4,0,0,236,322,0.7,3,6,0.5,41,10,0.2,1,8,11,0.7,9,43,43,6,0,0,6,14,2,66.8,27,10,0.4,0,0,540,612,0.9,16,47,0.3,41,24,0.6,7,2,3,0.7,10,17,17
760427,2026-06-16,2026,group-stage,2666,New Zealand,NZL,False,469,Iran,2,2,D,,,FT,SoFi Stadium,"Inglewood, California",70108,8,0,0,0,1,2,51.5,14,8,0.6,0,0,376,446,0.8,1,12,0.1,40,21,0.5,2,10,13,0.8,15,26,26,10,1,0,2,4,6,48.5,17,4,0.2,0,0,314,409,0.8,6,19,0.3,61,27,0.4,5,10,17,0.6,11,27,27
760427,2026-06-16,2026,group-stage,469,Iran,IRN,True,2666,New Zealand,2,2,D,,,FT,SoFi Stadium,"Inglewood, California",70108,10,1,0,2,4,6,48.5,17,4,0.2,0,0,314,409,0.8,6,19,0.3,61,27,0.4,5,10,17,0.6,11,27,27,8,0,0,0,1,2,51.5,14,8,0.6,0,0,376,446,0.8,1,12,0.1,40,21,0.5,2,10,13,0.8,15,26,26
