gameId,date,season,teamId,team,isHome,opponentId,opponent,team_points,opp_points,team_fieldGoalsMade,team_fieldGoalsAttempted,team_freeThrowsMade,team_freeThrowsAttempted,team_threePointsMade,team_threePointsAttempted,team_offensiveRebounds,team_totalRebounds,team_assists,team_turnovers,team_personalFouls,team_steals,team_blockedShots,team_fieldGoalPercentage,team_threePointPercentage,team_freeThrowPercentage,opp_fieldGoalsMade,opp_fieldGoalsAttempted,opp_freeThrowsMade,opp_freeThrowsAttempted,opp_threePointsMade,opp_threePointsAttempted,opp_offensiveRebounds,opp_totalRebounds,opp_assists,opp_turnovers,opp_personalFouls,opp_steals,opp_blockedShots,opp_fieldGoalPercentage,opp_threePointPercentage,opp_freeThrowPercentage
6516309,2026-01-01,2026,2591,Tarleton St.,False,658,Utah Valley,49,74,18,48,10,15,3,17,16,39,12,29,16,12,5,37.5%,17.6%,66.7%,27,63,12,14,8,21,15,33,22,17,20,18,4,42.9%,38.1%,85.7%
6516334,2026-01-01,2026,1183,Arkansas,True,2027,Vanderbilt,71,88,25,52,14,17,7,19,8,31,5,22,17,7,3,48.1%,36.8%,82.3%,33,72,10,16,12,34,16,37,19,11,16,11,4,45.8%,35.3%,62.5%
6516334,2026-01-01,2026,2027,Vanderbilt,False,1183,Arkansas,88,71,33,72,10,16,12,34,16,37,19,11,16,11,4,45.8%,35.3%,62.5%,25,52,14,17,7,19,8,31,5,22,17,7,3,48.1%,36.8%,82.3%
6516363,2026-01-01,2026,2145,Georgia Tech,True,1284,Notre Dame,95,90,35,66,20,24,5,21,11,42,27,19,15,9,1,53.0%,23.8%,83.3%,35,74,12,19,8,16,14,36,22,16,18,13,3,47.3%,50.0%,63.2%
6516363,2026-01-01,2026,1284,Notre Dame,False,2145,Georgia Tech,90,95,35,74,12,19,8,16,14,36,22,16,18,13,3,47.3%,50.0%,63.2%,35,66,20,24,5,21,11,42,27,19,15,9,1,53.0%,23.8%,83.3%
6516462,2026-01-01,2026,2165,Iowa,True,2273,Nebraska,86,76,28,57,23,28,7,20,10,30,20,14,15,8,3,49.1%,35.0%,82.1%,29,58,12,15,6,20,10,31,11,18,22,8,1,50.0%,30.0%,80.0%
6516462,2026-01-01,2026,2273,Nebraska,False,2165,Iowa,76,86,29,58,12,15,6,20,10,31,11,18,22,8,1,50.0%,30.0%,80.0%,28,57,23,28,7,20,10,30,20,14,15,8,3,49.1%,35.0%,82.1%
6516530,2026-01-01,2026,2398,North Florida,True,2375,Lipscomb,65,67,25,57,8,10,7,23,6,33,13,20,17,13,4,43.9%,30.4%,80.0%,24,58,12,17,7,23,9,32,9,17,13,14,5,41.4%,30.4%,70.6%
6516530,2026-01-01,2026,2375,Lipscomb,False,2398,North Florida,67,65,24,58,12,17,7,23,9,32,9,17,13,14,5,41.4%,30.4%,70.6%,25,57,8,10,7,23,6,33,13,20,17,13,4,43.9%,30.4%,80.0%
6516631,2026-01-01,2026,1170,Missouri,True,289,Texas,71,89,23,43,13,16,12,19,7,30,15,30,20,4,3,53.5%,63.2%,81.3%,34,75,13,18,8,21,21,34,12,11,13,18,4,45.3%,38.1%,72.2%
6516631,2026-01-01,2026,289,Texas,False,1170,Missouri,89,71,34,75,13,18,8,21,21,34,12,11,13,18,4,45.3%,38.1%,72.2%,23,43,13,16,12,19,7,30,15,30,20,4,3,53.5%,63.2%,81.3%
6516750,2026-01-01,2026,1416,Wofford,True,51542,Southern Wesleyan,89,43,37,77,6,13,9,31,15,59,19,15,17,16,5,48.0%,29.0%,46.2%,14,68,10,17,5,31,11,38,5,21,15,5,2,20.6%,16.1%,58.8%
6516750,2026-01-01,2026,51542,Southern Wesleyan,False,1416,Wofford,43,89,14,68,10,17,5,31,11,38,5,21,15,5,2,20.6%,16.1%,58.8%,37,77,6,13,9,31,15,59,19,15,17,16,5,48.0%,29.0%,46.2%
6516801,2026-01-01,2026,1276,NC State,True,2008,Stanford,74,46,28,60,14,17,4,9,11,42,12,16,11,9,8,46.7%,44.4%,82.3%,18,60,6,10,4,23,12,35,5,21,19,7,1,30.0%,17.4%,60.0%
