season,seasonType,week,poll,rank,team,conference,points
2021,regular,1,AP Top 25,5,Georgia,SEC,1364
2021,regular,1,AP Top 25,6,Texas A&M,SEC,1223
2021,regular,1,AP Top 25,7,Iowa State,Big 12,1160
2021,regular,1,AP Top 25,8,Cincinnati,American Athletic,1014
2021,regular,1,AP Top 25,9,Notre Dame,FBS Independents,1009
2021,regular,1,AP Top 25,10,North Carolina,ACC,999
2021,regular,1,AP Top 25,11,Oregon,Pac-12,968
2021,regular,1,AP Top 25,12,Wisconsin,Big Ten,743
2021,regular,1,AP Top 25,13,Florida,SEC,728
2021,regular,1,AP Top 25,14,Miami,ACC,663
2021,regular,1,AP Top 25,15,USC,Pac-12,660
2021,regular,1,AP Top 25,16,LSU,SEC,631
2021,regular,1,AP Top 25,17,Indiana,Big Ten,549
2021,regular,1,AP Top 25,18,Iowa,Big Ten,513
2021,regular,1,AP Top 25,19,Penn State,Big Ten,456
2021,regular,1,AP Top 25,20,Washington,Pac-12,449
2021,regular,1,AP Top 25,21,Texas,Big 12,350
2021,regular,1,AP Top 25,22,Coastal Carolina,Sun Belt,232
2021,regular,1,AP Top 25,23,Louisiana,Sun Belt,208
2021,regular,1,AP Top 25,24,Utah,Pac-12,176
2021,regular,1,AP Top 25,25,Arizona State,Pac-12,125
2021,regular,1,Coaches Poll,1,Alabama,SEC,1621
2021,regular,1,Coaches Poll,2,Clemson,ACC,1508
2021,regular,1,Coaches Poll,3,Oklahoma,Big 12,1481
2021,regular,1,Coaches Poll,4,Ohio State,Big Ten,1435
2021,regular,1,Coaches Poll,5,Georgia,SEC,1386
2021,regular,1,Coaches Poll,6,Texas A&M,SEC,1286
2021,regular,1,Coaches Poll,7,Notre Dame,FBS Independents,1139
2021,regular,1,Coaches Poll,8,Iowa State,Big 12,1131
2021,regular,1,Coaches Poll,9,North Carolina,ACC,999
2021,regular,1,Coaches Poll,10,Cincinnati,American Athletic,979
2021,regular,1,Coaches Poll,11,Florida,SEC,870
2021,regular,1,Coaches Poll,12,Oregon,Pac-12,842
2021,regular,1,Coaches Poll,13,LSU,SEC,664
2021,regular,1,Coaches Poll,14,USC,Pac-12,655
2021,regular,1,Coaches Poll,15,Wisconsin,Big Ten,654
2021,regular,1,Coaches Poll,16,Miami,ACC,575
2021,regular,1,Coaches Poll,17,Indiana,Big Ten,573
2021,regular,1,Coaches Poll,18,Iowa,Big Ten,554
2021,regular,1,Coaches Poll,19,Texas,Big 12,427
2021,regular,1,Coaches Poll,20,Penn State,Big Ten,422
2021,regular,1,Coaches Poll,21,Washington,Pac-12,404
2021,regular,1,Coaches Poll,22,Oklahoma State,Big 12,216
2021,regular,1,Coaches Poll,23,Louisiana,Sun Belt,153
2021,regular,1,Coaches Poll,24,Coastal Carolina,Sun Belt,150
2021,regular,1,Coaches Poll,25,Ole Miss,SEC,149
2021,regular,1,FCS Coaches Poll,1,Sam Houston,AWC,682
2021,regular,1,FCS Coaches Poll,2,James Madison,CAA,667
2021,regular,1,FCS Coaches Poll,3,North Dakota State,MVFC,633
2021,regular,1,FCS Coaches Poll,4,South Dakota State,MVFC,620
2021,regular,1,FCS Coaches Poll,5,Delaware,CAA,567
2021,regular,1,FCS Coaches Poll,6,Weber State,Big Sky,552
2021,regular,1,FCS Coaches Poll,7,North Dakota,MVFC,475
2021,regular,1,FCS Coaches Poll,8,Jacksonville State,AWC,437
2021,regular,1,FCS Coaches Poll,9,Montana,Big Sky,436
2021,regular,1,FCS Coaches Poll,10,Southern Illinois,MVFC,418
2021,regular,1,FCS Coaches Poll,11,Montana State,Big Sky,383
2021,regular,1,FCS Coaches Poll,12,Monmouth,Big South,382
2021,regular,1,FCS Coaches Poll,13,Central Arkansas,AWC,363
2021,regular,1,FCS Coaches Poll,14,Eastern Washington,Big Sky,287
2021,regular,1,FCS Coaches Poll,15,Villanova,CAA,284
2021,regular,1,FCS Coaches Poll,16,Northern Iowa,MVFC,268
2021,regular,1,FCS Coaches Poll,17,SE Louisiana,Southland,267
2021,regular,1,FCS Coaches Poll,18,Chattanooga,Southern,204
2021,regular,1,FCS Coaches Poll,19,VMI,Southern,167
2021,regular,1,FCS Coaches Poll,20,Kennesaw State,Big South,165
2021,regular,1,FCS Coaches Poll,21,UC Davis,Big Sky,135
2021,regular,1,FCS Coaches Poll,22,Richmond,CAA,104
2021,regular,1,FCS Coaches Poll,23,Nicholls,Southland,88
2021,regular,1,FCS Coaches Poll,24,North Carolina A&T,Big South,75
2021,regular,1,FCS Coaches Poll,25,Austin Peay,OVC,65
2021,regular,2,AFCA Division II Coaches Poll,1,West Florida,Gulf South,744
2021,regular,2,AFCA Division II Coaches Poll,2,Ferris State,GLIAC,703
2021,regular,2,AFCA Division II Coaches Poll,3,Minnesota State Mankato,Northern Sun,668
2021,regular,2,AFCA Division II Coaches Poll,4,Northwest Missouri St,Mid America,629
2021,regular,2,AFCA Division II Coaches Poll,5,Valdosta State,Gulf South,599
2021,regular,2,AFCA Division II Coaches Poll,6,Lenoir-Rhyne,South Atlantic,593
2021,regular,2,AFCA Division II Coaches Poll,7,East Texas A&M,Lone Star,560
2021,regular,2,AFCA Division II Coaches Poll,8,Slippery Rock,Pennsylvania State Athletic,547
2021,regular,2,AFCA Division II Coaches Poll,9,Colorado School Of Mines,Rocky Mountain,504
2021,regular,2,AFCA Division II Coaches Poll,10,Notre Dame College,Mountain East,499
2021,regular,2,AFCA Division II Coaches Poll,11,Ouachita Baptist,Great American,433
2021,regular,2,AFCA Division II Coaches Poll,12,Indianapolis,Great Lakes,399
2021,regular,2,AFCA Division II Coaches Poll,13,Shepherd,Pennsylvania State Athletic,368
2021,regular,2,AFCA Division II Coaches Poll,14,Grand Valley State University,GLIAC,308
2021,regular,2,AFCA Division II Coaches Poll,15,Indiana-Pennsylvania,Pennsylvania State Athletic,266
2021,regular,2,AFCA Division II Coaches Poll,16,Tiffin,Great Midwest Athletic,236
2021,regular,2,AFCA Division II Coaches Poll,17,Harding University,Great American,227
2021,regular,2,AFCA Division II Coaches Poll,18,Kutztown University,Pennsylvania State Athletic,220
2021,regular,2,AFCA Division II Coaches Poll,19,CSU Pueblo,Rocky Mountain,201
2021,regular,2,AFCA Division II Coaches Poll,20,Minnesota Duluth,Northern Sun,189
2021,regular,2,AFCA Division II Coaches Poll,21,Wingate,South Atlantic,156
2021,regular,2,AFCA Division II Coaches Poll,22,Angelo State,Lone Star,134
2021,regular,2,AFCA Division II Coaches Poll,23,Pittsburg St,Mid America,123
2021,regular,2,AFCA Division II Coaches Poll,24,West Georgia,Gulf South,71
2021,regular,2,AFCA Division II Coaches Poll,25,Bowie State,CIAA,58
2021,regular,2,AP Top 25,1,Alabama,SEC,1571
2021,regular,2,AP Top 25,2,Georgia,SEC,1507
2021,regular,2,AP Top 25,3,Ohio State,Big Ten,1437
2021,regular,2,AP Top 25,4,Oklahoma,Big 12,1374
2021,regular,2,AP Top 25,5,Texas A&M,SEC,1288
2021,regular,2,AP Top 25,6,Clemson,ACC,1231
2021,regular,2,AP Top 25,7,Cincinnati,American Athletic,1136
2021,regular,2,AP Top 25,8,Notre Dame,FBS Independents,1070
2021,regular,2,AP Top 25,9,Iowa State,Big 12,1045
2021,regular,2,AP Top 25,10,Iowa,Big Ten,942
2021,regular,2,AP Top 25,11,Penn State,Big Ten,908
2021,regular,2,AP Top 25,12,Oregon,Pac-12,883
2021,regular,2,AP Top 25,13,Florida,SEC,842
2021,regular,2,AP Top 25,14,USC,Pac-12,789
2021,regular,2,AP Top 25,15,Texas,Big 12,683
2021,regular,2,AP Top 25,16,UCLA,Pac-12,668
2021,regular,2,AP Top 25,17,Coastal Carolina,Sun Belt,384
2021,regular,2,AP Top 25,18,Wisconsin,Big Ten,376
2021,regular,2,AP Top 25,19,Virginia Tech,ACC,359
2021,regular,2,AP Top 25,20,Ole Miss,SEC,335
2021,regular,2,AP Top 25,21,Utah,Pac-12,334
2021,regular,2,AP Top 25,22,Miami,ACC,229
2021,regular,2,AP Top 25,23,Arizona State,Pac-12,222
2021,regular,2,AP Top 25,24,North Carolina,ACC,198
2021,regular,2,AP Top 25,25,Auburn,SEC,83
2021,regular,2,Coaches Poll,1,Alabama,SEC,1624
2021,regular,2,Coaches Poll,2,Georgia,SEC,1537
2021,regular,2,Coaches Poll,3,Ohio State,Big Ten,1491
2021,regular,2,Coaches Poll,4,Oklahoma,Big 12,1397
2021,regular,2,Coaches Poll,5,Texas A&M,SEC,1334
2021,regular,2,Coaches Poll,6,Clemson,ACC,1239
2021,regular,2,Coaches Poll,7,Notre Dame,FBS Independents,1197
2021,regular,2,Coaches Poll,8,Cincinnati,American Athletic,1113
2021,regular,2,Coaches Poll,9,Florida,SEC,1058
2021,regular,2,Coaches Poll,10,Iowa State,Big 12,1057
2021,regular,2,Coaches Poll,11,Oregon,Pac-12,920
2021,regular,2,Coaches Poll,12,Iowa,Big Ten,914
2021,regular,2,Coaches Poll,13,Penn State,Big Ten,872
2021,regular,2,Coaches Poll,14,USC,Pac-12,828
2021,regular,2,Coaches Poll,15,Texas,Big 12,653
2021,regular,2,Coaches Poll,16,UCLA,Pac-12,538
2021,regular,2,Coaches Poll,17,Wisconsin,Big Ten,359
2021,regular,2,Coaches Poll,18,Utah,Pac-12,294
2021,regular,2,Coaches Poll,19,Coastal Carolina,Sun Belt,289
2021,regular,2,Coaches Poll,20,Ole Miss,SEC,285
2021,regular,2,Coaches Poll,21,Virginia Tech,ACC,274
2021,regular,2,Coaches Poll,22,North Carolina,ACC,252
2021,regular,2,Coaches Poll,23,Oklahoma State,Big 12,243
2021,regular,2,Coaches Poll,24,Miami,ACC,186
2021,regular,2,Coaches Poll,25,Arizona State,Pac-12,181
2021,regular,2,FCS Coaches Poll,1,Sam Houston,AWC,681
2021,regular,2,FCS Coaches Poll,2,James Madison,CAA,655
2021,regular,2,FCS Coaches Poll,3,South Dakota State,MVFC,649
2021,regular,2,FCS Coaches Poll,4,North Dakota State,MVFC,583
2021,regular,2,FCS Coaches Poll,5,Montana,Big Sky,573
2021,regular,2,FCS Coaches Poll,6,Delaware,CAA,537
2021,regular,2,FCS Coaches Poll,7,North Dakota,MVFC,477
2021,regular,2,FCS Coaches Poll,8,Eastern Washington,Big Sky,474
2021,regular,2,FCS Coaches Poll,9,Southern Illinois,MVFC,415
2021,regular,2,FCS Coaches Poll,10,Weber State,Big Sky,387
2021,regular,2,FCS Coaches Poll,11,Villanova,CAA,362
2021,regular,2,FCS Coaches Poll,12,UC Davis,Big Sky,348
2021,regular,2,FCS Coaches Poll,13,Montana State,Big Sky,334
2021,regular,2,FCS Coaches Poll,14,SE Louisiana,Southland,298
2021,regular,2,FCS Coaches Poll,15,Northern Iowa,MVFC,293
2021,regular,2,FCS Coaches Poll,16,Central Arkansas,AWC,271
2021,regular,2,FCS Coaches Poll,17,Jacksonville State,AWC,258
2021,regular,2,FCS Coaches Poll,18,Austin Peay,OVC,218
2021,regular,2,FCS Coaches Poll,19,East Tennessee State,Southern,202
2021,regular,2,FCS Coaches Poll,20,VMI,Southern,194
2021,regular,2,FCS Coaches Poll,21,Monmouth,Big South,188
2021,regular,2,FCS Coaches Poll,22,Richmond,CAA,145
2021,regular,2,FCS Coaches Poll,23,Kennesaw State,Big South,144
2021,regular,2,FCS Coaches Poll,24,Chattanooga,Southern,59
2021,regular,2,FCS Coaches Poll,25,Missouri State,MVFC,58
2021,regular,3,AP Top 25,1,Alabama,SEC,1572
2021,regular,3,AP Top 25,2,Georgia,SEC,1514
2021,regular,3,AP Top 25,3,Oklahoma,Big 12,1402
2021,regular,3,AP Top 25,4,Oregon,Pac-12,1355
2021,regular,3,AP Top 25,5,Iowa,Big Ten,1263
2021,regular,3,AP Top 25,6,Clemson,ACC,1246
2021,regular,3,AP Top 25,7,Texas A&M,SEC,1206
2021,regular,3,AP Top 25,8,Cincinnati,American Athletic,1149
2021,regular,3,AP Top 25,9,Ohio State,Big Ten,1029
2021,regular,3,AP Top 25,10,Penn State,Big Ten,1005
2021,regular,3,AP Top 25,11,Florida,SEC,935
2021,regular,3,AP Top 25,12,Notre Dame,FBS Independents,926
2021,regular,3,AP Top 25,13,UCLA,Pac-12,804
2021,regular,3,AP Top 25,14,Iowa State,Big 12,593
2021,regular,3,AP Top 25,15,Virginia Tech,ACC,591
2021,regular,3,AP Top 25,16,Coastal Carolina,Sun Belt,562
2021,regular,3,AP Top 25,17,Ole Miss,SEC,550
2021,regular,3,AP Top 25,18,Wisconsin,Big Ten,499
2021,regular,3,AP Top 25,19,Arizona State,Pac-12,341
2021,regular,3,AP Top 25,20,Arkansas,SEC,277
2021,regular,3,AP Top 25,21,North Carolina,ACC,268
2021,regular,3,AP Top 25,22,Auburn,SEC,233
2021,regular,3,AP Top 25,23,BYU,FBS Independents,213
2021,regular,3,AP Top 25,24,Miami,ACC,177
2021,regular,3,AP Top 25,25,Michigan,Big Ten,163
2021,regular,3,Coaches Poll,1,Alabama,SEC,1624
2021,regular,3,Coaches Poll,2,Georgia,SEC,1558
2021,regular,3,Coaches Poll,3,Oklahoma,Big 12,1454
2021,regular,3,Coaches Poll,4,Oregon,Pac-12,1356
2021,regular,3,Coaches Poll,5,Texas A&M,SEC,1307
2021,regular,3,Coaches Poll,6,Clemson,ACC,1279
2021,regular,3,Coaches Poll,7,Iowa,Big Ten,1165
2021,regular,3,Coaches Poll,8,Cincinnati,American Athletic,1114
2021,regular,3,Coaches Poll,9,Florida,SEC,1095
2021,regular,3,Coaches Poll,10,Notre Dame,FBS Independents,1059
2021,regular,3,Coaches Poll,11,Ohio State,Big Ten,1041
2021,regular,3,Coaches Poll,12,Penn State,Big Ten,995
2021,regular,3,Coaches Poll,13,UCLA,Pac-12,787
2021,regular,3,Coaches Poll,14,Iowa State,Big 12,611
2021,regular,3,Coaches Poll,15,Virginia Tech,ACC,591
2021,regular,3,Coaches Poll,16,Ole Miss,SEC,546
2021,regular,3,Coaches Poll,17,Wisconsin,Big Ten,537
2021,regular,3,Coaches Poll,18,Coastal Carolina,Sun Belt,492
2021,regular,3,Coaches Poll,19,North Carolina,ACC,300
2021,regular,3,Coaches Poll,20,Auburn,SEC,264
2021,regular,3,Coaches Poll,21,Arizona State,Pac-12,246
2021,regular,3,Coaches Poll,22,Oklahoma State,Big 12,222
2021,regular,3,Coaches Poll,23,BYU,FBS Independents,213
2021,regular,3,Coaches Poll,24,Arkansas,SEC,196
2021,regular,3,Coaches Poll,25,Michigan,Big Ten,180
2021,regular,3,FCS Coaches Poll,1,Sam Houston,AWC,697
2021,regular,3,FCS Coaches Poll,2,James Madison,CAA,657
2021,regular,3,FCS Coaches Poll,3,South Dakota State,MVFC,641
2021,regular,3,FCS Coaches Poll,4,North Dakota State,MVFC,601
2021,regular,3,FCS Coaches Poll,5,Montana,Big Sky,599
2021,regular,3,FCS Coaches Poll,6,Eastern Washington,Big Sky,522
2021,regular,3,FCS Coaches Poll,7,Delaware,CAA,521
2021,regular,3,FCS Coaches Poll,8,Weber State,Big Sky,439
2021,regular,3,FCS Coaches Poll,9,Southern Illinois,MVFC,422
2021,regular,3,FCS Coaches Poll,9,Villanova,CAA,422
2021,regular,3,FCS Coaches Poll,11,Jacksonville State,AWC,397
2021,regular,3,FCS Coaches Poll,12,UC Davis,Big Sky,383
2021,regular,3,FCS Coaches Poll,13,Montana State,Big Sky,361
2021,regular,3,FCS Coaches Poll,14,North Dakota,MVFC,356
2021,regular,3,FCS Coaches Poll,15,Northern Iowa,MVFC,330
2021,regular,3,FCS Coaches Poll,16,SE Louisiana,Southland,298
2021,regular,3,FCS Coaches Poll,17,East Tennessee State,Southern,269
2021,regular,3,FCS Coaches Poll,18,Richmond,CAA,183
2021,regular,3,FCS Coaches Poll,19,Missouri State,MVFC,180
2021,regular,3,FCS Coaches Poll,20,Monmouth,Big South,170
2021,regular,3,FCS Coaches Poll,21,Austin Peay,OVC,131
2021,regular,3,FCS Coaches Poll,22,Chattanooga,Southern,103
2021,regular,3,FCS Coaches Poll,23,New Hampshire,CAA,71
2021,regular,3,FCS Coaches Poll,24,Central Arkansas,AWC,64
2021,regular,3,FCS Coaches Poll,25,Furman,Southern,58
2021,regular,4,AP Top 25,1,Alabama,SEC,1547
2021,regular,4,AP Top 25,2,Georgia,SEC,1491
2021,regular,4,AP Top 25,3,Oregon,Pac-12,1385
2021,regular,4,AP Top 25,4,Oklahoma,Big 12,1302
2021,regular,4,AP Top 25,5,Iowa,Big Ten,1298
2021,regular,4,AP Top 25,6,Penn State,Big Ten,1197
2021,regular,4,AP Top 25,7,Texas A&M,SEC,1158
2021,regular,4,AP Top 25,8,Cincinnati,American Athletic,1145
2021,regular,4,AP Top 25,9,Clemson,ACC,1074
2021,regular,4,AP Top 25,10,Ohio State,Big Ten,976
2021,regular,4,AP Top 25,11,Florida,SEC,930
2021,regular,4,AP Top 25,12,Notre Dame,FBS Independents,874
2021,regular,4,AP Top 25,13,Ole Miss,SEC,717
2021,regular,4,AP Top 25,14,Iowa State,Big 12,664
2021,regular,4,AP Top 25,15,BYU,FBS Independents,603
2021,regular,4,AP Top 25,16,Arkansas,SEC,537
2021,regular,4,AP Top 25,17,Coastal Carolina,Sun Belt,526
2021,regular,4,AP Top 25,18,Wisconsin,Big Ten,513
2021,regular,4,AP Top 25,19,Michigan,Big Ten,456
2021,regular,4,AP Top 25,20,Michigan State,Big Ten,389
2021,regular,4,AP Top 25,21,North Carolina,ACC,306
2021,regular,4,AP Top 25,22,Fresno State,Mountain West,201
2021,regular,4,AP Top 25,23,Auburn,SEC,166
2021,regular,4,AP Top 25,24,UCLA,Pac-12,142
2021,regular,4,AP Top 25,25,Kansas State,Big 12,127
2021,regular,4,Coaches Poll,1,Alabama,SEC,1616
2021,regular,4,Coaches Poll,2,Georgia,SEC,1558
2021,regular,4,Coaches Poll,3,Oklahoma,Big 12,1429
2021,regular,4,Coaches Poll,4,Oregon,Pac-12,1427
2021,regular,4,Coaches Poll,5,Texas A&M,SEC,1283
2021,regular,4,Coaches Poll,6,Iowa,Big Ten,1263
2021,regular,4,Coaches Poll,7,Clemson,ACC,1166
2021,regular,4,Coaches Poll,8,Penn State,Big Ten,1130
2021,regular,4,Coaches Poll,9,Cincinnati,American Athletic,1125
2021,regular,4,Coaches Poll,10,Notre Dame,FBS Independents,1048
2021,regular,4,Coaches Poll,11,Florida,SEC,1000
2021,regular,4,Coaches Poll,12,Ohio State,Big Ten,989
2021,regular,4,Coaches Poll,13,Ole Miss,SEC,759
2021,regular,4,Coaches Poll,14,Iowa State,Big 12,700
2021,regular,4,Coaches Poll,15,Wisconsin,Big Ten,589
2021,regular,4,Coaches Poll,16,BYU,FBS Independents,504
2021,regular,4,Coaches Poll,17,Coastal Carolina,Sun Belt,500
2021,regular,4,Coaches Poll,18,Arkansas,SEC,474
2021,regular,4,Coaches Poll,19,Michigan,Big Ten,423
2021,regular,4,Coaches Poll,20,North Carolina,ACC,411
2021,regular,4,Coaches Poll,21,Michigan State,Big Ten,344
2021,regular,4,Coaches Poll,22,Oklahoma State,Big 12,300
2021,regular,4,Coaches Poll,23,Auburn,SEC,171
2021,regular,4,Coaches Poll,24,UCLA,Pac-12,170
2021,regular,4,Coaches Poll,25,Fresno State,Mountain West,85
2021,regular,4,FCS Coaches Poll,1,Sam Houston,AWC,696
2021,regular,4,FCS Coaches Poll,2,James Madison,CAA,667
2021,regular,4,FCS Coaches Poll,3,South Dakota State,MVFC,636
2021,regular,4,FCS Coaches Poll,4,Montana,Big Sky,586
2021,regular,4,FCS Coaches Poll,5,North Dakota State,MVFC,583
2021,regular,4,FCS Coaches Poll,6,Eastern Washington,Big Sky,508
2021,regular,4,FCS Coaches Poll,7,Villanova,CAA,490
2021,regular,4,FCS Coaches Poll,8,Southern Illinois,MVFC,455
2021,regular,4,FCS Coaches Poll,9,Jacksonville State,AWC,447
2021,regular,4,FCS Coaches Poll,10,UC Davis,Big Sky,403
2021,regular,4,FCS Coaches Poll,11,Delaware,CAA,399
2021,regular,4,FCS Coaches Poll,12,Montana State,Big Sky,385
2021,regular,4,FCS Coaches Poll,13,North Dakota,MVFC,381
2021,regular,4,FCS Coaches Poll,14,Northern Iowa,MVFC,354
2021,regular,4,FCS Coaches Poll,15,Weber State,Big Sky,313
2021,regular,4,FCS Coaches Poll,16,SE Louisiana,Southland,295
2021,regular,4,FCS Coaches Poll,17,East Tennessee State,Southern,290
2021,regular,4,FCS Coaches Poll,18,Missouri State,MVFC,209
2021,regular,4,FCS Coaches Poll,19,Monmouth,Big South,199
2021,regular,4,FCS Coaches Poll,20,Austin Peay,OVC,143
2021,regular,4,FCS Coaches Poll,21,Richmond,CAA,126
2021,regular,4,FCS Coaches Poll,22,New Hampshire,CAA,105
2021,regular,4,FCS Coaches Poll,23,Chattanooga,Southern,99
2021,regular,4,FCS Coaches Poll,24,Kennesaw State,Big South,67
2021,regular,4,FCS Coaches Poll,24,Central Arkansas,AWC,67
2021,regular,5,AP Top 25,1,Alabama,SEC,1546
2021,regular,5,AP Top 25,2,Georgia,SEC,1492
2021,regular,5,AP Top 25,3,Oregon,Pac-12,1411
2021,regular,5,AP Top 25,4,Penn State,Big Ten,1283
2021,regular,5,AP Top 25,5,Iowa,Big Ten,1277
2021,regular,5,AP Top 25,6,Oklahoma,Big 12,1212
2021,regular,5,AP Top 25,7,Cincinnati,American Athletic,1154
2021,regular,5,AP Top 25,8,Arkansas,SEC,1094
2021,regular,5,AP Top 25,9,Notre Dame,FBS Independents,1076
2021,regular,5,AP Top 25,10,Florida,SEC,1019
2021,regular,5,AP Top 25,11,Ohio State,Big Ten,1005
2021,regular,5,AP Top 25,12,Ole Miss,SEC,852
2021,regular,5,AP Top 25,13,BYU,FBS Independents,748
2021,regular,5,AP Top 25,14,Michigan,Big Ten,677
2021,regular,5,AP Top 25,15,Texas A&M,SEC,651
2021,regular,5,AP Top 25,16,Coastal Carolina,Sun Belt,613
2021,regular,5,AP Top 25,17,Michigan State,Big Ten,581
2021,regular,5,AP Top 25,18,Fresno State,Mountain West,415
2021,regular,5,AP Top 25,19,Oklahoma State,Big 12,341
2021,regular,5,AP Top 25,20,UCLA,Pac-12,316
2021,regular,5,AP Top 25,21,Baylor,Big 12,233
2021,regular,5,AP Top 25,22,Auburn,SEC,197
2021,regular,5,AP Top 25,23,NC State,ACC,145
2021,regular,5,AP Top 25,24,Wake Forest,ACC,142
2021,regular,5,AP Top 25,25,Clemson,ACC,138
2021,regular,5,Coaches Poll,1,Alabama,SEC,1624
2021,regular,5,Coaches Poll,2,Georgia,SEC,1558
2021,regular,5,Coaches Poll,3,Oregon,Pac-12,1467
2021,regular,5,Coaches Poll,4,Oklahoma,Big 12,1395
2021,regular,5,Coaches Poll,5,Iowa,Big Ten,1319
2021,regular,5,Coaches Poll,6,Penn State,Big Ten,1286
2021,regular,5,Coaches Poll,7,Notre Dame,FBS Independents,1187
2021,regular,5,Coaches Poll,8,Cincinnati,American Athletic,1185
2021,regular,5,Coaches Poll,9,Florida,SEC,1101
2021,regular,5,Coaches Poll,10,Ohio State,Big Ten,1030
2021,regular,5,Coaches Poll,11,Arkansas,SEC,1016
2021,regular,5,Coaches Poll,12,Ole Miss,SEC,916
2021,regular,5,Coaches Poll,13,Texas A&M,SEC,744
2021,regular,5,Coaches Poll,14,Michigan,Big Ten,674
2021,regular,5,Coaches Poll,15,BYU,FBS Independents,670
2021,regular,5,Coaches Poll,16,Michigan State,Big Ten,583
2021,regular,5,Coaches Poll,16,Coastal Carolina,Sun Belt,583
2021,regular,5,Coaches Poll,18,Oklahoma State,Big 12,459
2021,regular,5,Coaches Poll,19,Clemson,ACC,389
2021,regular,5,Coaches Poll,20,UCLA,Pac-12,312
2021,regular,5,Coaches Poll,21,Fresno State,Mountain West,251
2021,regular,5,Coaches Poll,22,Auburn,SEC,244
2021,regular,5,Coaches Poll,23,Kentucky,SEC,179
2021,regular,5,Coaches Poll,24,Baylor,Big 12,134
2021,regular,5,Coaches Poll,25,Wake Forest,ACC,119
2021,regular,5,FCS Coaches Poll,1,Sam Houston,AWC,698
2021,regular,5,FCS Coaches Poll,2,James Madison,CAA,658
2021,regular,5,FCS Coaches Poll,3,South Dakota State,MVFC,652
2021,regular,5,FCS Coaches Poll,4,Montana,Big Sky,614
2021,regular,5,FCS Coaches Poll,5,North Dakota State,MVFC,589
2021,regular,5,FCS Coaches Poll,6,Eastern Washington,Big Sky,557
2021,regular,5,FCS Coaches Poll,7,Southern Illinois,MVFC,494
2021,regular,5,FCS Coaches Poll,8,UC Davis,Big Sky,479
2021,regular,5,FCS Coaches Poll,9,Villanova,CAA,426
2021,regular,5,FCS Coaches Poll,10,Delaware,CAA,425
2021,regular,5,FCS Coaches Poll,11,North Dakota,MVFC,400
2021,regular,5,FCS Coaches Poll,12,Montana State,Big Sky,387
2021,regular,5,FCS Coaches Poll,13,Northern Iowa,MVFC,365
2021,regular,5,FCS Coaches Poll,14,East Tennessee State,Southern,334
2021,regular,5,FCS Coaches Poll,15,SE Louisiana,Southland,317
2021,regular,5,FCS Coaches Poll,16,Missouri State,MVFC,275
2021,regular,5,FCS Coaches Poll,17,Jacksonville State,AWC,224
2021,regular,5,FCS Coaches Poll,18,Weber State,Big Sky,158
2021,regular,5,FCS Coaches Poll,19,Chattanooga,Southern,143
2021,regular,5,FCS Coaches Poll,20,Kennesaw State,Big South,127
