season,seasontype,week,poll,rank,team,conference,points
2017,regular,1,AP Top 25,2,Ohio State,Big Ten,1414
2017,regular,1,AP Top 25,3,Florida State,ACC,1396
2017,regular,1,AP Top 25,4,USC,Pac-12,1325
2017,regular,1,AP Top 25,5,Clemson,ACC,1201
2017,regular,1,AP Top 25,6,Penn State,Big Ten,1196
2017,regular,1,AP Top 25,7,Oklahoma,Big 12,1170
2017,regular,1,AP Top 25,8,Washington,Pac-12,1150
2017,regular,1,AP Top 25,9,Wisconsin,Big Ten,926
2017,regular,1,AP Top 25,10,Oklahoma State,Big 12,889
2017,regular,1,AP Top 25,11,Michigan,Big Ten,881
2017,regular,1,AP Top 25,12,Auburn,SEC,880
2017,regular,1,AP Top 25,13,LSU,SEC,784
2017,regular,1,AP Top 25,14,Stanford,Pac-12,695
2017,regular,1,AP Top 25,15,Georgia,SEC,690
2017,regular,1,AP Top 25,16,Louisville,ACC,629
2017,regular,1,AP Top 25,17,Florida,SEC,624
2017,regular,1,AP Top 25,18,Miami,ACC,492
2017,regular,1,AP Top 25,19,South Florida,American Athletic,327
2017,regular,1,AP Top 25,20,Kansas State,Big 12,317
2017,regular,1,AP Top 25,21,Virginia Tech,ACC,240
2017,regular,1,AP Top 25,22,West Virginia,Big 12,207
2017,regular,1,AP Top 25,23,Texas,Big 12,173
2017,regular,1,AP Top 25,24,Washington State,Pac-12,133
2017,regular,1,AP Top 25,25,Tennessee,SEC,114
2017,regular,1,Coaches Poll,1,Alabama,SEC,1603
2017,regular,1,Coaches Poll,2,Ohio State,Big Ten,1512
2017,regular,1,Coaches Poll,3,Florida State,ACC,1434
2017,regular,1,Coaches Poll,4,USC,Pac-12,1415
2017,regular,1,Coaches Poll,5,Clemson,ACC,1367
2017,regular,1,Coaches Poll,6,Penn State,Big Ten,1257
2017,regular,1,Coaches Poll,7,Washington,Pac-12,1245
2017,regular,1,Coaches Poll,8,Oklahoma,Big 12,1237
2017,regular,1,Coaches Poll,9,Michigan,Big Ten,959
2017,regular,1,Coaches Poll,10,Wisconsin,Big Ten,936
2017,regular,1,Coaches Poll,11,Oklahoma State,Big 12,912
2017,regular,1,Coaches Poll,12,LSU,SEC,834
2017,regular,1,Coaches Poll,13,Auburn,SEC,819
2017,regular,1,Coaches Poll,14,Stanford,Pac-12,732
2017,regular,1,Coaches Poll,15,Georgia,SEC,701
2017,regular,1,Coaches Poll,16,Florida,SEC,681
2017,regular,1,Coaches Poll,17,Louisville,ACC,676
2017,regular,1,Coaches Poll,18,Miami,ACC,472
2017,regular,1,Coaches Poll,19,Kansas State,Big 12,339
2017,regular,1,Coaches Poll,20,West Virginia,Big 12,319
2017,regular,1,Coaches Poll,21,South Florida,American Athletic,247
2017,regular,1,Coaches Poll,22,Virginia Tech,ACC,235
2017,regular,1,Coaches Poll,23,Texas,Big 12,193
2017,regular,1,Coaches Poll,24,Tennessee,SEC,155
2017,regular,1,Coaches Poll,25,Utah,Pac-12,109
2017,regular,1,FCS Coaches Poll,1,James Madison,CAA,642
2017,regular,1,FCS Coaches Poll,2,North Dakota State,MVFC,618
2017,regular,1,FCS Coaches Poll,3,Sam Houston,Southland,577
2017,regular,1,FCS Coaches Poll,4,Eastern Washington,Big Sky,525
2017,regular,1,FCS Coaches Poll,5,Jacksonville State,OVC,493
2017,regular,1,FCS Coaches Poll,6,South Dakota State,MVFC,479
2017,regular,1,FCS Coaches Poll,7,Richmond,CAA,474
2017,regular,1,FCS Coaches Poll,8,Youngstown State,MVFC,450
2017,regular,1,FCS Coaches Poll,9,Villanova,CAA,413
2017,regular,1,FCS Coaches Poll,10,North Dakota,Big Sky,412
2017,regular,1,FCS Coaches Poll,11,Wofford,Southern,381
2017,regular,1,FCS Coaches Poll,12,The Citadel,Southern,333
2017,regular,1,FCS Coaches Poll,13,Chattanooga,Southern,330
2017,regular,1,FCS Coaches Poll,14,Charleston Southern,Big South,261
2017,regular,1,FCS Coaches Poll,15,Central Arkansas,Southland,251
2017,regular,1,FCS Coaches Poll,16,New Hampshire,CAA,244
2017,regular,1,FCS Coaches Poll,17,Lehigh,Patriot,177
2017,regular,1,FCS Coaches Poll,18,Illinois State,MVFC,149
2017,regular,1,FCS Coaches Poll,19,Samford,Southern,144
2017,regular,1,FCS Coaches Poll,20,Northern Iowa,MVFC,136
2017,regular,1,FCS Coaches Poll,21,Grambling,SWAC,133
2017,regular,1,FCS Coaches Poll,22,Weber State,Big Sky,102
2017,regular,1,FCS Coaches Poll,23,Cal Poly,Big Sky,85
2017,regular,1,FCS Coaches Poll,24,North Carolina Central,MEAC,83
2017,regular,1,FCS Coaches Poll,25,North Carolina A&T,MEAC,78
2017,regular,2,AFCA Division II Coaches Poll,1,Northwest Missouri St,Mid America,850
2017,regular,2,AFCA Division II Coaches Poll,2,Ferris State,GLIAC,810
2017,regular,2,AFCA Division II Coaches Poll,3,East Texas A&M,Lone Star,782
2017,regular,2,AFCA Division II Coaches Poll,4,Shepherd,Mountain East,715
2017,regular,2,AFCA Division II Coaches Poll,5,PennWest California,Pennsylvania State Athletic,703
2017,regular,2,AFCA Division II Coaches Poll,6,Indiana-Pennsylvania,Pennsylvania State Athletic,674
2017,regular,2,AFCA Division II Coaches Poll,7,Sioux Falls,Northern Sun,617
2017,regular,2,AFCA Division II Coaches Poll,8,Minnesota State Mankato,Northern Sun,561
2017,regular,2,AFCA Division II Coaches Poll,9,LIU Post,Northeast 10,560
2017,regular,2,AFCA Division II Coaches Poll,10,North Alabama,Gulf South,532
2017,regular,2,AFCA Division II Coaches Poll,11,Colorado Mesa,Rocky Mountain,453
2017,regular,2,AFCA Division II Coaches Poll,12,Grand Valley State University,GLIAC,417
2017,regular,2,AFCA Division II Coaches Poll,13,Midwestern State,Lone Star,402
2017,regular,2,AFCA Division II Coaches Poll,14,Emporia State University,Mid America,397
2017,regular,2,AFCA Division II Coaches Poll,15,Indianapolis,Great Lakes,389
2017,regular,2,AFCA Division II Coaches Poll,16,Albany State GA,SIAC,369
2017,regular,2,AFCA Division II Coaches Poll,17,West Georgia,Gulf South,261
2017,regular,2,AFCA Division II Coaches Poll,18,CSU Pueblo,Rocky Mountain,244
2017,regular,2,AFCA Division II Coaches Poll,19,Arkansas Tech,Great American,180
2017,regular,2,AFCA Division II Coaches Poll,20,Minnesota Duluth,Northern Sun,171
2017,regular,2,AFCA Division II Coaches Poll,21,Fort Hays State,Mid America,152
2017,regular,2,AFCA Division II Coaches Poll,22,Azusa Pacific,Great Northwest,115
2017,regular,2,AFCA Division II Coaches Poll,23,Central Washington,Great Northwest,103
2017,regular,2,AFCA Division II Coaches Poll,24,Delta State,Gulf South,92
2017,regular,2,AFCA Division II Coaches Poll,25,Slippery Rock,Pennsylvania State Athletic,69
2017,regular,2,AP Top 25,1,Alabama,SEC,1524
2017,regular,2,AP Top 25,2,Ohio State,Big Ten,1445
2017,regular,2,AP Top 25,3,Clemson,ACC,1317
2017,regular,2,AP Top 25,4,Penn State,Big Ten,1303
2017,regular,2,AP Top 25,5,Oklahoma,Big 12,1253
2017,regular,2,AP Top 25,6,USC,Pac-12,1224
2017,regular,2,AP Top 25,7,Washington,Pac-12,1083
2017,regular,2,AP Top 25,8,Michigan,Big Ten,1051
2017,regular,2,AP Top 25,9,Wisconsin,Big Ten,979
2017,regular,2,AP Top 25,10,Florida State,ACC,976
2017,regular,2,AP Top 25,11,Oklahoma State,Big 12,950
2017,regular,2,AP Top 25,12,LSU,SEC,898
2017,regular,2,AP Top 25,13,Auburn,SEC,873
2017,regular,2,AP Top 25,14,Stanford,Pac-12,772
2017,regular,2,AP Top 25,15,Georgia,SEC,685
2017,regular,2,AP Top 25,16,Miami,ACC,537
2017,regular,2,AP Top 25,17,Louisville,ACC,529
2017,regular,2,AP Top 25,18,Virginia Tech,ACC,490
2017,regular,2,AP Top 25,19,Kansas State,Big 12,398
2017,regular,2,AP Top 25,20,Washington State,Pac-12,216
2017,regular,2,AP Top 25,21,South Florida,American Athletic,207
2017,regular,2,AP Top 25,22,Florida,SEC,164
2017,regular,2,AP Top 25,23,TCU,Big 12,154
2017,regular,2,AP Top 25,24,Notre Dame,FBS Independents,141
2017,regular,2,AP Top 25,25,Tennessee,SEC,124
2017,regular,2,Coaches Poll,1,Alabama,SEC,1619
2017,regular,2,Coaches Poll,2,Ohio State,Big Ten,1526
2017,regular,2,Coaches Poll,3,Clemson,ACC,1466
2017,regular,2,Coaches Poll,4,Penn State,Big Ten,1343
2017,regular,2,Coaches Poll,5,USC,Pac-12,1338
2017,regular,2,Coaches Poll,6,Oklahoma,Big 12,1274
2017,regular,2,Coaches Poll,7,Washington,Pac-12,1202
2017,regular,2,Coaches Poll,8,Michigan,Big Ten,1105
2017,regular,2,Coaches Poll,9,Florida State,ACC,1044
2017,regular,2,Coaches Poll,10,Oklahoma State,Big 12,1020
2017,regular,2,Coaches Poll,11,Wisconsin,Big Ten,963
2017,regular,2,Coaches Poll,12,LSU,SEC,941
2017,regular,2,Coaches Poll,13,Auburn,SEC,863
2017,regular,2,Coaches Poll,14,Stanford,Pac-12,839
2017,regular,2,Coaches Poll,15,Georgia,SEC,767
2017,regular,2,Coaches Poll,16,Louisville,ACC,574
2017,regular,2,Coaches Poll,17,Miami,ACC,549
2017,regular,2,Coaches Poll,18,Virginia Tech,ACC,502
2017,regular,2,Coaches Poll,19,Kansas State,Big 12,434
2017,regular,2,Coaches Poll,20,South Florida,American Athletic,257
2017,regular,2,Coaches Poll,21,Tennessee,SEC,197
2017,regular,2,Coaches Poll,22,Washington State,Pac-12,192
2017,regular,2,Coaches Poll,23,Utah,Pac-12,185
2017,regular,2,Coaches Poll,24,Florida,SEC,179
2017,regular,2,Coaches Poll,25,Notre Dame,FBS Independents,116
2017,regular,2,FCS Coaches Poll,1,James Madison,CAA,649
2017,regular,2,FCS Coaches Poll,2,North Dakota State,MVFC,622
2017,regular,2,FCS Coaches Poll,3,Sam Houston,Southland,596
2017,regular,2,FCS Coaches Poll,4,South Dakota State,MVFC,525
2017,regular,2,FCS Coaches Poll,5,Jacksonville State,OVC,514
2017,regular,2,FCS Coaches Poll,6,Eastern Washington,Big Sky,466
2017,regular,2,FCS Coaches Poll,6,Youngstown State,MVFC,466
2017,regular,2,FCS Coaches Poll,8,Villanova,CAA,447
2017,regular,2,FCS Coaches Poll,9,Richmond,CAA,404
2017,regular,2,FCS Coaches Poll,10,Wofford,Southern,363
2017,regular,2,FCS Coaches Poll,11,North Dakota,Big Sky,355
2017,regular,2,FCS Coaches Poll,12,New Hampshire,CAA,313
2017,regular,2,FCS Coaches Poll,13,The Citadel,Southern,297
2017,regular,2,FCS Coaches Poll,14,Chattanooga,Southern,286
2017,regular,2,FCS Coaches Poll,15,Illinois State,MVFC,279
2017,regular,2,FCS Coaches Poll,16,Central Arkansas,Southland,239
2017,regular,2,FCS Coaches Poll,17,Samford,Southern,219
2017,regular,2,FCS Coaches Poll,18,Charleston Southern,Big South,203
2017,regular,2,FCS Coaches Poll,19,Lehigh,Patriot,182
2017,regular,2,FCS Coaches Poll,20,Weber State,Big Sky,150
2017,regular,2,FCS Coaches Poll,21,North Carolina A&T,MEAC,124
2017,regular,2,FCS Coaches Poll,21,Northern Iowa,MVFC,124
2017,regular,2,FCS Coaches Poll,23,Grambling,SWAC,83
2017,regular,2,FCS Coaches Poll,24,Tennessee State,OVC,81
2017,regular,2,FCS Coaches Poll,25,Colgate,Patriot,71
2017,regular,3,AFCA Division II Coaches Poll,1,Northwest Missouri St,Mid America,850
2017,regular,3,AFCA Division II Coaches Poll,2,Ferris State,GLIAC,811
2017,regular,3,AFCA Division II Coaches Poll,3,East Texas A&M,Lone Star,779
2017,regular,3,AFCA Division II Coaches Poll,4,Shepherd,Mountain East,737
2017,regular,3,AFCA Division II Coaches Poll,5,PennWest California,Pennsylvania State Athletic,693
2017,regular,3,AFCA Division II Coaches Poll,6,Indiana-Pennsylvania,Pennsylvania State Athletic,673
2017,regular,3,AFCA Division II Coaches Poll,7,Sioux Falls,Northern Sun,619
2017,regular,3,AFCA Division II Coaches Poll,8,Minnesota State Mankato,Northern Sun,607
2017,regular,3,AFCA Division II Coaches Poll,9,LIU Post,Northeast 10,572
2017,regular,3,AFCA Division II Coaches Poll,10,North Alabama,Gulf South,547
2017,regular,3,AFCA Division II Coaches Poll,11,Colorado Mesa,Rocky Mountain,501
2017,regular,3,AFCA Division II Coaches Poll,12,Grand Valley State University,GLIAC,456
2017,regular,3,AFCA Division II Coaches Poll,13,Midwestern State,Lone Star,443
2017,regular,3,AFCA Division II Coaches Poll,14,Indianapolis,Great Lakes,402
2017,regular,3,AFCA Division II Coaches Poll,15,Emporia State University,Mid America,367
2017,regular,3,AFCA Division II Coaches Poll,16,Arkansas Tech,Great American,300
2017,regular,3,AFCA Division II Coaches Poll,17,Delta State,Gulf South,268
2017,regular,3,AFCA Division II Coaches Poll,18,Fort Hays State,Mid America,259
2017,regular,3,AFCA Division II Coaches Poll,19,CSU Pueblo,Rocky Mountain,257
2017,regular,3,AFCA Division II Coaches Poll,20,Central Washington,Great Northwest,247
2017,regular,3,AFCA Division II Coaches Poll,21,Slippery Rock,Pennsylvania State Athletic,166
2017,regular,3,AFCA Division II Coaches Poll,22,Humboldt State,Great Northwest,77
2017,regular,3,AFCA Division II Coaches Poll,23,Bowie State,CIAA,72
2017,regular,3,AFCA Division II Coaches Poll,24,Assumption,Northeast 10,60
2017,regular,3,AFCA Division II Coaches Poll,25,Catawba,South Atlantic,54
2017,regular,3,AP Top 25,1,Alabama,SEC,1522
2017,regular,3,AP Top 25,2,Oklahoma,Big 12,1447
2017,regular,3,AP Top 25,3,Clemson,ACC,1380
2017,regular,3,AP Top 25,4,USC,Pac-12,1324
2017,regular,3,AP Top 25,5,Penn State,Big Ten,1299
2017,regular,3,AP Top 25,6,Washington,Pac-12,1124
2017,regular,3,AP Top 25,7,Michigan,Big Ten,1107
2017,regular,3,AP Top 25,8,Ohio State,Big Ten,1003
2017,regular,3,AP Top 25,9,Oklahoma State,Big 12,1002
2017,regular,3,AP Top 25,10,Wisconsin,Big Ten,993
2017,regular,3,AP Top 25,11,Florida State,ACC,944
2017,regular,3,AP Top 25,12,LSU,SEC,935
2017,regular,3,AP Top 25,13,Georgia,SEC,882
2017,regular,3,AP Top 25,14,Louisville,ACC,658
2017,regular,3,AP Top 25,15,Auburn,SEC,591
2017,regular,3,AP Top 25,16,Virginia Tech,ACC,559
2017,regular,3,AP Top 25,17,Miami,ACC,542
2017,regular,3,AP Top 25,18,Kansas State,Big 12,475
2017,regular,3,AP Top 25,19,Stanford,Pac-12,364
2017,regular,3,AP Top 25,20,TCU,Big 12,352
2017,regular,3,AP Top 25,21,Washington State,Pac-12,233
2017,regular,3,AP Top 25,22,South Florida,American Athletic,188
2017,regular,3,AP Top 25,23,Tennessee,SEC,159
2017,regular,3,AP Top 25,24,Florida,SEC,146
2017,regular,3,AP Top 25,25,UCLA,Pac-12,119
2017,regular,3,Coaches Poll,1,Alabama,SEC,1497
2017,regular,3,Coaches Poll,2,Clemson,ACC,1386
2017,regular,3,Coaches Poll,3,Oklahoma,Big 12,1385
2017,regular,3,Coaches Poll,4,USC,Pac-12,1308
2017,regular,3,Coaches Poll,5,Penn State,Big Ten,1256
2017,regular,3,Coaches Poll,6,Washington,Pac-12,1173
2017,regular,3,Coaches Poll,7,Michigan,Big Ten,1082
2017,regular,3,Coaches Poll,8,Oklahoma State,Big 12,1026
2017,regular,3,Coaches Poll,9,Ohio State,Big Ten,962
2017,regular,3,Coaches Poll,10,Florida State,ACC,926
2017,regular,3,Coaches Poll,11,LSU,SEC,920
2017,regular,3,Coaches Poll,12,Wisconsin,Big Ten,919
2017,regular,3,Coaches Poll,13,Georgia,SEC,830
2017,regular,3,Coaches Poll,14,Louisville,ACC,658
2017,regular,3,Coaches Poll,15,Miami,ACC,551
2017,regular,3,Coaches Poll,16,Virginia Tech,ACC,509
2017,regular,3,Coaches Poll,17,Auburn,SEC,488
2017,regular,3,Coaches Poll,18,Kansas State,Big 12,487
2017,regular,3,Coaches Poll,19,Stanford,Pac-12,372
2017,regular,3,Coaches Poll,20,TCU,Big 12,271
2017,regular,3,Coaches Poll,21,South Florida,American Athletic,249
2017,regular,3,Coaches Poll,22,Washington State,Pac-12,244
2017,regular,3,Coaches Poll,23,Tennessee,SEC,219
2017,regular,3,Coaches Poll,24,Utah,Pac-12,182
2017,regular,3,Coaches Poll,25,Florida,SEC,134
2017,regular,3,FCS Coaches Poll,1,James Madison,CAA,648
2017,regular,3,FCS Coaches Poll,2,North Dakota State,MVFC,626
2017,regular,3,FCS Coaches Poll,3,Sam Houston,Southland,585
2017,regular,3,FCS Coaches Poll,4,South Dakota State,MVFC,574
2017,regular,3,FCS Coaches Poll,5,Youngstown State,MVFC,515
2017,regular,3,FCS Coaches Poll,6,Richmond,CAA,455
2017,regular,3,FCS Coaches Poll,6,Jacksonville State,OVC,455
2017,regular,3,FCS Coaches Poll,8,Villanova,CAA,438
2017,regular,3,FCS Coaches Poll,9,Wofford,Southern,415
2017,regular,3,FCS Coaches Poll,10,North Dakota,Big Sky,405
2017,regular,3,FCS Coaches Poll,11,New Hampshire,CAA,402
2017,regular,3,FCS Coaches Poll,12,Eastern Washington,Big Sky,364
2017,regular,3,FCS Coaches Poll,13,The Citadel,Southern,349
2017,regular,3,FCS Coaches Poll,14,Illinois State,MVFC,273
2017,regular,3,FCS Coaches Poll,15,Chattanooga,Southern,260
2017,regular,3,FCS Coaches Poll,16,Central Arkansas,Southland,250
2017,regular,3,FCS Coaches Poll,17,Samford,Southern,213
2017,regular,3,FCS Coaches Poll,18,Northern Iowa,MVFC,181
2017,regular,3,FCS Coaches Poll,19,Charleston Southern,Big South,175
2017,regular,3,FCS Coaches Poll,20,North Carolina A&T,MEAC,134
2017,regular,3,FCS Coaches Poll,21,Weber State,Big Sky,123
2017,regular,3,FCS Coaches Poll,22,Western Illinois,MVFC,112
2017,regular,3,FCS Coaches Poll,23,South Dakota,MVFC,102
2017,regular,3,FCS Coaches Poll,24,Tennessee State,OVC,93
2017,regular,3,FCS Coaches Poll,25,Grambling,SWAC,87
2017,regular,4,AFCA Division II Coaches Poll,1,Northwest Missouri St,Mid America,850
2017,regular,4,AFCA Division II Coaches Poll,2,East Texas A&M,Lone Star,808
2017,regular,4,AFCA Division II Coaches Poll,3,Shepherd,Mountain East,763
2017,regular,4,AFCA Division II Coaches Poll,4,Indiana-Pennsylvania,Pennsylvania State Athletic,717
2017,regular,4,AFCA Division II Coaches Poll,5,PennWest California,Pennsylvania State Athletic,691
2017,regular,4,AFCA Division II Coaches Poll,6,Minnesota State Mankato,Northern Sun,665
2017,regular,4,AFCA Division II Coaches Poll,7,Sioux Falls,Northern Sun,663
2017,regular,4,AFCA Division II Coaches Poll,8,Colorado Mesa,Rocky Mountain,599
2017,regular,4,AFCA Division II Coaches Poll,9,Grand Valley State University,GLIAC,515
2017,regular,4,AFCA Division II Coaches Poll,10,Indianapolis,Great Lakes,487
2017,regular,4,AFCA Division II Coaches Poll,11,Arkansas Tech,Great American,454
2017,regular,4,AFCA Division II Coaches Poll,12,Midwestern State,Lone Star,451
2017,regular,4,AFCA Division II Coaches Poll,13,Delta State,Gulf South,428
2017,regular,4,AFCA Division II Coaches Poll,14,Fort Hays State,Mid America,394
2017,regular,4,AFCA Division II Coaches Poll,15,Ferris State,GLIAC,329
2017,regular,4,AFCA Division II Coaches Poll,16,Central Washington,Great Northwest,325
2017,regular,4,AFCA Division II Coaches Poll,17,CSU Pueblo,Rocky Mountain,294
2017,regular,4,AFCA Division II Coaches Poll,18,Slippery Rock,Pennsylvania State Athletic,253
2017,regular,4,AFCA Division II Coaches Poll,19,Humboldt State,Great Northwest,215
2017,regular,4,AFCA Division II Coaches Poll,20,Ashland,GLIAC,210
2017,regular,4,AFCA Division II Coaches Poll,21,Bowie State,CIAA,209
2017,regular,4,AFCA Division II Coaches Poll,22,Assumption,Northeast 10,176
2017,regular,4,AFCA Division II Coaches Poll,23,Catawba,South Atlantic,170
2017,regular,4,AFCA Division II Coaches Poll,24,LIU Post,Northeast 10,125
2017,regular,4,AFCA Division II Coaches Poll,25,Winona State,Northern Sun,59
2017,regular,4,AP Top 25,1,Alabama,SEC,1504
2017,regular,4,AP Top 25,2,Clemson,ACC,1446
2017,regular,4,AP Top 25,3,Oklahoma,Big 12,1432
2017,regular,4,AP Top 25,4,Penn State,Big Ten,1306
2017,regular,4,AP Top 25,5,USC,Pac-12,1241
2017,regular,4,AP Top 25,6,Oklahoma State,Big 12,1154
2017,regular,4,AP Top 25,7,Washington,Pac-12,1141
2017,regular,4,AP Top 25,8,Michigan,Big Ten,1081
2017,regular,4,AP Top 25,9,Wisconsin,Big Ten,1031
2017,regular,4,AP Top 25,10,Ohio State,Big Ten,1015
2017,regular,4,AP Top 25,11,Georgia,SEC,940
2017,regular,4,AP Top 25,12,Florida State,ACC,922
2017,regular,4,AP Top 25,13,Virginia Tech,ACC,730
2017,regular,4,AP Top 25,14,Miami,ACC,606
2017,regular,4,AP Top 25,15,Auburn,SEC,596
2017,regular,4,AP Top 25,16,TCU,Big 12,553
2017,regular,4,AP Top 25,17,Mississippi State,SEC,532
2017,regular,4,AP Top 25,18,Washington State,Pac-12,419
2017,regular,4,AP Top 25,19,Louisville,ACC,356
2017,regular,4,AP Top 25,20,Florida,SEC,308
2017,regular,4,AP Top 25,21,South Florida,American Athletic,272
2017,regular,4,AP Top 25,22,San Diego State,Mountain West,201
2017,regular,4,AP Top 25,23,Utah,Pac-12,194
2017,regular,4,AP Top 25,24,Oregon,Pac-12,158
2017,regular,4,AP Top 25,25,LSU,SEC,153
2017,regular,4,Coaches Poll,1,Alabama,SEC,1618
2017,regular,4,Coaches Poll,2,Clemson,ACC,1535
2017,regular,4,Coaches Poll,3,Oklahoma,Big 12,1505
2017,regular,4,Coaches Poll,4,Penn State,Big Ten,1364
2017,regular,4,Coaches Poll,5,USC,Pac-12,1348
2017,regular,4,Coaches Poll,6,Washington,Pac-12,1277
2017,regular,4,Coaches Poll,7,Oklahoma State,Big 12,1219
2017,regular,4,Coaches Poll,8,Michigan,Big Ten,1171
2017,regular,4,Coaches Poll,9,Ohio State,Big Ten,1052
2017,regular,4,Coaches Poll,10,Wisconsin,Big Ten,1032
2017,regular,4,Coaches Poll,11,Florida State,ACC,985
2017,regular,4,Coaches Poll,12,Georgia,SEC,978
2017,regular,4,Coaches Poll,13,Virginia Tech,ACC,775
2017,regular,4,Coaches Poll,14,Miami,ACC,659
2017,regular,4,Coaches Poll,15,TCU,Big 12,602
2017,regular,4,Coaches Poll,16,Auburn,SEC,555
2017,regular,4,Coaches Poll,17,South Florida,American Athletic,446
2017,regular,4,Coaches Poll,18,Washington State,Pac-12,441
2017,regular,4,Coaches Poll,19,Mississippi State,SEC,412
2017,regular,4,Coaches Poll,20,Louisville,ACC,382
2017,regular,4,Coaches Poll,21,Utah,Pac-12,324
2017,regular,4,Coaches Poll,22,Florida,SEC,312
2017,regular,4,Coaches Poll,23,LSU,SEC,243
2017,regular,4,Coaches Poll,24,Oregon,Pac-12,208
2017,regular,4,Coaches Poll,25,San Diego State,Mountain West,141
2017,regular,4,FCS Coaches Poll,1,James Madison,CAA,649
2017,regular,4,FCS Coaches Poll,2,North Dakota State,MVFC,625
2017,regular,4,FCS Coaches Poll,3,Sam Houston,Southland,591
2017,regular,4,FCS Coaches Poll,4,South Dakota State,MVFC,575
2017,regular,4,FCS Coaches Poll,5,Youngstown State,MVFC,530
2017,regular,4,FCS Coaches Poll,6,Richmond,CAA,506
2017,regular,4,FCS Coaches Poll,7,Jacksonville State,OVC,497
2017,regular,4,FCS Coaches Poll,8,Villanova,CAA,476
2017,regular,4,FCS Coaches Poll,9,Wofford,Southern,432
2017,regular,4,FCS Coaches Poll,10,The Citadel,Southern,372
2017,regular,4,FCS Coaches Poll,11,Eastern Washington,Big Sky,369
2017,regular,4,FCS Coaches Poll,12,Illinois State,MVFC,334
2017,regular,4,FCS Coaches Poll,13,Central Arkansas,Southland,309
2017,regular,4,FCS Coaches Poll,14,South Dakota,MVFC,288
2017,regular,4,FCS Coaches Poll,15,North Carolina A&T,MEAC,256
2017,regular,4,FCS Coaches Poll,16,New Hampshire,CAA,213
2017,regular,4,FCS Coaches Poll,17,Samford,Southern,211
2017,regular,4,FCS Coaches Poll,18,Weber State,Big Sky,196
2017,regular,4,FCS Coaches Poll,19,North Dakota,Big Sky,168
2017,regular,4,FCS Coaches Poll,20,Tennessee State,OVC,166
2017,regular,4,FCS Coaches Poll,21,Western Illinois,MVFC,162
2017,regular,4,FCS Coaches Poll,22,Grambling,SWAC,104
2017,regular,4,FCS Coaches Poll,23,Nicholls,Southland,76
2017,regular,4,FCS Coaches Poll,24,Northern Iowa,MVFC,56
2017,regular,4,FCS Coaches Poll,25,Holy Cross,Patriot,49
2017,regular,5,AFCA Division II Coaches Poll,1,Northwest Missouri St,Mid America,850
2017,regular,5,AFCA Division II Coaches Poll,2,East Texas A&M,Lone Star,783
2017,regular,5,AFCA Division II Coaches Poll,3,Shepherd,Mountain East,770
2017,regular,5,AFCA Division II Coaches Poll,4,Indiana-Pennsylvania,Pennsylvania State Athletic,740
2017,regular,5,AFCA Division II Coaches Poll,5,Minnesota State Mankato,Northern Sun,711
2017,regular,5,AFCA Division II Coaches Poll,6,Sioux Falls,Northern Sun,679
2017,regular,5,AFCA Division II Coaches Poll,7,Indianapolis,Great Lakes,616
