id,season,week,season_type,start_date,completed,neutral_site,conference_game,venue_id,venue,home_id,home_team,home_conference,home_points,away_id,away_team,away_conference,away_points
401404062,2022,2,,,1,,,,LaVell Edwards Stadium,,,,,,,,
401403979,2022,2,,,1,,,,Valley Children's Stadium,,,,,,,,
401403875,2022,2,,,1,,,,Arizona Stadium,,,,,,,,
401411109,2022,3,,,1,,,,L&N Federal Credit Union Stadium,,,,,,,,
401415217,2022,3,,,1,,,,War Memorial Stadium,,,,,,,,
401411114,2022,3,,,1,,,,Lane Stadium,,,,,,,,
401403884,2022,3,,,1,,,,Kroger Field,,,,,,,,
401404136,2022,3,,,1,,,,Michie Stadium,,,,,,,,
401405083,2022,3,,,1,,,,Ryan Field,,,,,,,,
401403888,2022,3,,,1,,,,Williams-Brice Stadium,,,,,,,,
401405084,2022,3,,,1,,,,JMA Wireless Dome,,,,,,,,
401404071,2022,3,,,1,,,,McLane Stadium,,,,,,,,
401403887,2022,3,,,1,,,,Memorial Stadium,,,,,,,,
401404149,2022,3,,,1,,,,Michigan Stadium,,,,,,,,
401426563,2022,3,,,1,,,,"Memorial Stadium (Bloomington, IN)",,,,,,,,
401404070,2022,3,,,1,,,,"Memorial Stadium (Lincoln, NE)",,,,,,,,
401415623,2022,3,,,1,,,,Paul Brown Stadium,,,,,,,,
401416603,2022,3,,,1,,,,Dix Stadium,,,,,,,,
401416602,2022,3,,,1,,,,Kelly/Shorts Stadium,,,,,,,,
401404073,2022,3,,,1,,,,Milan Puskar Stadium,,,,,,,,
401416601,2022,3,,,1,,,,Brooks Stadium (SC),,,,,,,,
401405089,2022,3,,,1,,,,Lincoln Financial Field,,,,,,,,
401411113,2022,3,,,1,,,,Scott Stadium,,,,,,,,
401403991,2022,3,,,1,,,,Rose Bowl,,,,,,,,
401404069,2022,3,,,1,,,,Jack Trice Stadium,,,,,,,,
401416600,2022,3,,,1,,,,Scheumann Stadium,,,,,,,,
401403987,2022,3,,,1,,,,Notre Dame Stadium,,,,,,,,
401404074,2022,3,,,1,,,,Bill Snyder Family Stadium,,,,,,,,
401426558,2022,3,,,1,,,,Allegiant Stadium,,,,,,,,
401405085,2022,3,,,1,,,,Camp Randall Stadium,,,,,,,,
401403882,2022,3,,,1,,,,Jordan-Hare Stadium,,,,,,,,
401414780,2022,3,,,1,,,,Warren McGuirk Alumni Stadium,,,,,,,,
401403989,2022,3,,,1,,,,Autzen Stadium,,,,,,,,
401426333,2022,3,,,1,,,,Kidd Brewer Stadium,,,,,,,,
401403891,2022,3,,,1,,,,Huskie Stadium,,,,,,,,
401426560,2022,3,,,1,,,,Protective Stadium,,,,,,,,
401403886,2022,3,,,1,,,,Bobby Dodd Stadium,,,,,,,,
401403988,2022,3,,,1,,,,Huntington Bank Stadium,,,,,,,,
401404068,2022,3,,,1,,,,TDECU Stadium,,,,,,,,
401403880,2022,3,,,1,,,,Bryant-Denny Stadium,,,,,,,,
401415218,2022,3,,,1,,,,Albertsons Stadium,,,,,,,,
401404159,2022,3,,,1,,,,Allegacy Federal Credit Union Stadium,,,,,,,,
401415029,2022,3,,,1,,,,Doyt L. Perry Stadium,,,,,,,,
401403995,2022,3,,,1,,,,Gesa Field,,,,,,,,
401411112,2022,3,,,1,,,,Wallace Wade Stadium,,,,,,,,
401415621,2022,3,,,1,,,,Dowdy-Ficklen Stadium,,,,,,,,
401403885,2022,3,,,1,,,,Tiger Stadium (LA),,,,,,,,
401404072,2022,3,,,1,,,,Carter-Finley Stadium,,,,,,,,
401403889,2022,3,,,1,,,,Neyland Stadium,,,,,,,,
401404075,2022,3,,,1,,,,Boone Pickens Stadium,,,,,,,,
401413216,2022,3,,,1,,,,Chapman Stadium,,,,,,,,
401415622,2022,3,,,1,,,,Simmons Bank Liberty Stadium,,,,,,,,
401426557,2022,3,,,1,,,,"Johnny ""Red"" Floyd Stadium",,,,,,,,
